year,subject_name,question_html,option_a,option_b,option_c,option_d,correct_option
2019,Current Affairs," <p>Consider the following statements:</p><p>1.      The United Nations Convention against Corruption (UNCAC) has a ‘Protocol against the Smuggling of Migrants by Land, Sea and Air’.</p><p>2.      The UNCAC is the ever-first legally binding global anti-corruption instrument.</p><p>3.      A highlight of the United Nations Convention against Transnational Organized Crime (UNTOC) is the inclusion of a specific chapter aimed at returning assets to their rightful owners from whom they had been taken illicitly.</p><p>4.      The United Nations Office on Drugs and Crime (UNODC) is mandated by its members States to assist in the implementation of both UNCAC and UNTOC.</p><p>Which of the statements given above are correct?</p>",(a) 1 and 3 only,"(b) 2, 3 and 4 only",(c) 2 and 4 only,"(d) 1, 2, 3 and 4",c
2019,Environment," <p>Consider the following statements:</p><p>1.      As per recent amendment to the Indian Forest Act, 1927, forest dwellers have the right to fell the bamboos grown on forest areas.</p><p>2.      As per the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006, bamboo is a minor forest produce.</p><p>3.      The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forests Rights) Act, 2006 allows ownership of minor forest produce to forest dwellers.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 3 only,"(d) 1, 2 and 3",b
2019,Polity and Governance,"         <p>Which Article of the Constitution of India safeguards one’s right to marry the person of one’s choice?</p>
      ",(a) Article 19,(b) Article 21,(c) Article 25,(d) Article 29,b
2019,Science and Technology," <p>Consider the following statements:</p><p>1.      According to the Indian Patents Act, a biological process to create a seed can be patented in India.</p><p>2.      In India, there is no Intellectual Property Appellate Board.</p><p>3.      Plant varieties are not eligible in the patented in India.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 and 3 only,(b) 2 and 3 only,(c) 3 only,"(d) 1, 2 and 3",c
2019,Environment," <p>Consider the following statements:</p><p>The Environment Protection Act, 1986 empowers the Government of India to</p><p>1.      state the requirement of public participation in the process of environmental protection, and the procedure and manner in which it is sought</p><p>2.      lay down the standards for emission or discharge of environmental pollutants from various sources</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,b
2019,Environment," <p>As per the Solid Waste Management Rules, 2016 in India, which one of the following statements is correct?</p>",(a) Waste generator has to segregate waste five categories.,"(b) The Rules are applicable to notified urban local bodies, notified towns and all industrial townships only.",(c) The Rules provide for exact and elaborate criteria for the identification of sites for landfills and waste processing facilities.,(d) It is mandatory the part of waste generator that the waste generated in one district cannot be moved to another district.,c
2019,Current Affairs," <p>Consider the following statements:</p><p>As per the Industrial Employment (Standing Orders) Central (Amendment) Rules, 2018</p><p>1.      if rules for fixed-term employment are implemented, it becomes easier for the firms/companies to lay off workers</p><p>2.      no notice of termination of employment shall be necessary in the case of temporary workman</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,c
2019,Science and Technology," <p>In the context of digital technologies for entertainment, consider the following statements:</p><p>1.      In Augmented Reality (AR), a simulated environment is created and the physical world is completely shut out.</p><p>2.      In Virtual Reality (VR), images generated from a computer are projected onto real-life objects or surroundings.</p><p>3.      AR allows individuals to be present in the world and improves the experience using the camera of smart-phones or PC.</p><p>4.      VR closes the world, and transposes an individual, providing complete immersion experience.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 and 2 only,(b) 3 and 4,"(c) 1, 2 and 3",(d) 4 only,b
2019,Current Affairs, <p>The word ‘Denisovan’ is sometimes mentioned in media in reference to </p>,(a) fossils of a kind of dinosaurs,(b) an early human species,(c) a cave system found in North-East India,(d) a geological period in the history of Indian subcontinent,b
2019,Science and Technology," <p>With reference to the recent developments in science, which one of the following statements is <em><strong>not</strong> </em>correct?</p>",(a) Functional chromosomes can be created by joining segments of DNA taken from cells of different species.,(b) Pieces of artificial functional DNA can be created in laboratories.,(c) A piece of DNA taken out from an animal cell can be made to replicate outside a living cell in a laboratory.,(d) Cells taken out from plants and animals can be made to undergo cell division in laboratory petri dishes.,a
2019,Science and Technology, <p>Consider the following statements:</p><p>A digital signature is</p><p>1.      an electronic record that identifies the certifying authority issuing it</p><p>2.      used to serve as a proof of identity of an individual to access information or serve on Internet</p><p>3.      an electronic method of signing an electronic document and ensuring that the original content is unchanged</p><p>Which of the statements given above is/are correct?</p>,(a) 1 only,(b) 2 and 3 only,(c) 3 only,"(d) 1, 2 and 3",c
2019,Science and Technology," <p>In the context of wearable technology, which of the following tasks is/are accomplished by wearable devices?</p><p>1.      Location identification of a person</p><p>2.      Sleep monitoring of a person</p><p>3.      Assisting the hearing impaired person</p><p>Select the correct answer using the code given below.</p>",(a) 1 only,(b) 2 and 3 only,(c) 3 only,"(d) 1, 2 and 3",d
2019,Science and Technology, <p>‘RNA interference (RNAi)’ technology has gained popularity in the last few years. Why?</p><p>1.      It is used in developing gene silencing therapies.</p><p>2.      It can be used in developing therapies for the treatment of cancer.</p><p>3.      It can be used to develop hormone replacement therapies.</p><p>4.      It can be used to produce crop plants that are resistant to viral pathogens.</p><p>Select the correct answer using the code given below.</p>,"(a) 1, 2 and 4",(b) 2 and 3,(c) 1 and 3,(d) 1 and 4 only,a
2019,Science and Technology," <p>Recently, scientists observed the merger of giant ‘blackholes’ billions of light-years away from the Earth. What is the significance of this observation?</p>",(a) ‘Higgs boson particles’ were detected.,(b) ‘Gravitational waves’ were detected.,(c) Possibility of inter-galactic space travel through ‘wormhole’ was confirmed.,(d) It enabled the scientists to understand ‘singularity’.,b
2019,Science and Technology, <p>Which of the following are the reasons for the occurrence of multi-drug resistance in microbial pathogens in India?</p><p>1.      Genetic predisposition of some people</p><p>2.      Taking incorrect doses of antibiotics to cure diseases</p><p>3.      Using antibiotics in livestock farming</p><p>4.      Multiple chronic diseases in some people</p><p>Select the correct answer using the code given below.</p>,(a) 1 and 2,(b) 2 and 3 only,"(c) 1, 3 and 4","(d) 2, 3 and 4",b
2019,Science and Technology, <p>What is Cas9 protein that is often mentioned in news?</p>,(a) A molecular scissors used in targeted gene editing,(b) A biosensor used in the accurate detection of pathogens in patients,(c) A gene that makes plants pest-resistant,(d) A herbicidal substance synthesized in genetically modified crops,a
2019,Science and Technology, <p>Which one of the following statements is <em><strong>not</strong></em> correct?  </p>,(a) Hepatitis B virus is transmitted much like HIV.,"(b) Hepatitis B, unlike Hepatitis C, does not have a vaccine.","(c) Globally, the number of people infected with Hepatitis B and C viruses are several times more than those infected with HIV.",(d) Some of those infected with Hepatitis B and C viruses do not show the symptoms for many years.,b
2019,Ancient and Medieval History,"         <p>With reference to Mughal India, what is/are the difference/differences between Jagirdar and Zamindar?</p><p>1.      Jagirdars were holders or land assignments in lieu of judicial and police duties, whereas Zamindars were holders of revenue rights without obligation to perform any duty other than revenue collection.</p><p>2.      Land assignments to Jagirdars were hereditary and revenue rights or Zamindars were not hereditary.</p><p>Select the correct answer using the code given below.</p>
      ",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,d
2019,Economics," <p>With reference to land reforms in independent India, which one of the following statements is correct?</p>",(a) The ceiling laws were aimed at family holdings and not individual holdings.,(b) The major aim of land reforms was providing agricultural land to all the landless.,(c) It resulted in cultivation of cash crops as a predominant form of cultivation.,(d) Land reforms permitted no exemptions to the ceiling limits.,b
2019,Current Affairs, <p>The Global Competitiveness Report is published by the</p>,(a) International Monetary Fund,(b) United Nations Conference on Trade and Development,(c) World Economic Forum,(d) World Bank,c
2019,History of Modern India,"         <p>Consider the following statements about ‘the Charter Act of 1813’:</p><p>1.      It ended the trade monopoly of the East India Company in India except for trade in tea and trade with China.</p><p>2.      It asserted the sovereignty of the British Crown over the Indian territories held by the Company.</p><p>3.      The revenues of India were now controlled by the British Parliament.</p><p>Which of the statements given above are correct?  </p>
      ",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",a
2019,History of Modern India,"         <p>With reference to Swadeshi Movement consider the following statements:</p><p>1.      It contributed to the revival of the indigenous artisan crafts and industries.</p><p>2.      The National Council of Education was established as a part of Swadeshi Movement.</p><p>Which of the statements given above is/are correct?</p>
      ",(a) 1 only,(b) 2 only,(c) Both 1 and 1,(d) Neither 1 nor 2,c
2019,History of Modern India,"         <p>Consider the following pairs:</p><table border=""1"" data-mce-selected=""1""><tbody><tr><td width=""100""><strong>Movement/Organization </strong></td><td width=""100""><strong>Leader</strong></td></tr><tr><td width=""100"">1. All India Anti-Untouchability League :</td><td width=""100"">Mahatma Gandhi</td></tr><tr><td width=""100"">2. All India Kisan Sabha :</td><td width=""100"">Swami Sahajanand Saraswati</td></tr><tr><td width=""100"">3. Self-Respect Movement :</td><td width=""100"">E. V. Ramaswami Naicker</td></tr></tbody></table><p>Which of the pairs given above is/are correctly matched?</p>
      ",(a) 1 only,(b) 1 and 2 only,(c) 2 and 3 only,"(d) 1, 2 and 3",d
2019,Ancient and Medieval History, <p>Which one of the following is <em><strong>not</strong></em> a Harappan site?  </p>,(a) Chanhudaro,(b) Kot Diji,(c) Sohgaura,(d) Desalpur,c
2019,Ancient and Medieval History,"         <p>In which of the following relief sculpture inscriptions is ‘Ranyo Ashoka’ (King Ashoka) mentioned along with the stone portrait of Ashoka?</p>
      ",(a) Kanganahalli,(b) Sanchi,(c) Shahbazgarhi,(d) Sohgaura,a
2019,Art and Culture, <p>Consider the following statements:</p><p>1. Deification of the Buddha</p><p>2. Trading the path of Bodhisattvas</p><p>3. Image worship and rituals</p><p>Which of the above is/are the feature/features of Mahayana Buddhism?</p>,(a) 1 only,(b) 1 and 2 only,(c) 2 and 3 only,"(d) 1, 2 and 3",d
2019,Ancient and Medieval History,"         <p>With refence to forced labour (Vishti) in India during the Gupta period, which one of the following statements is correct?</p>
      ","(a) It was considered a source of income for the State, a sort of tax paid by the people.",(b) It was totally absent in the Madhya Pradesh and Kathiawar region of the Gupta Empire.,(c) The forced labourer was entitled to weekly wages.,(d) The eldest son of the labourer was sent as the forced labourer.,a
2019,History of Modern India, <p>Which one of the following groups of plants were domesticated in the ‘New World’ and introduced into the ‘Old World’?</p>,"(a) Tobacco, cocoa and rubber","(b) Tobacco, cotton and rubber","(c) Cotton, coffee and sugarcane","(d) Rubber, coffee and wheat",a
2019,Environment, <p>Consider the following statements:</p><p>1.      Asiatic lion is naturally found in India only.</p><p>2.      Double-humped camel is naturally found in India only.</p><p>3.      One-horned rhinoceros is naturally found in India only.</p><p>Which of the statements given above is/are correct?</p>,(a) 1 only,(b) 2 only,(c) 1 and 3 only,"(d) 1, 2 and 3",a
2019,Geography,"         <p>Consider the following pairs:</p><table border=""1""><tbody><tr><td width=""100""><strong>Famous Place</strong></td><td width=""100""><strong>River</strong></td></tr><tr><td width=""100"">1. Pandharpur :</td><td width=""100"">Chandrabhaga</td></tr><tr><td width=""100"">2. Tiruchirappalli :</td><td width=""100"">Cauvery</td></tr><tr><td width=""100"">3. Hampi :</td><td width=""100"">Malaprabha</td></tr></tbody></table><p>Which of the pairs given above are correctly matched?</p>
      ",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",a
2019,Economics," <p>In a given year in India, official poverty lines are higher in some States than in others because</p>",(a) poverty rates vary from State to State,(b) price levels vary from State to State,(c) Gross State Product varies from State to State,(d) quality of public distribution varies from State to State,b
2019,Environment, <p>In the context of which of the following do some scientists suggest the used of cirrus cloud thinning technique and the injection of sulphate aerosol into stratosphere?</p>,(a) Creating the artificial rains in some regions,(b) Reducing the frequency and intensity of tropical cyclones,(c) Reducing the adverse effects of solar wind on the Earth,(d) Reducing the global warming,d
2019,Environment, <p>In the context of which one of the following are the terms ‘pyrolysis and plasma gasification’ mentioned? </p>,(a) Extraction of rare earth elements,(b) Natural gas extraction technologies,(c) Hydrogen fuel-based automobiles,(d) Waste-to-energy technologies,d
2019,Environment, <p>Which of the following are in Agasthyamala Biosphere Reserve? </p>,"(a) Neyyar, Peppara and Shendurney Wildlife Sanctuaries; and Kalakad Mundanthurai Tiger Reserve","(b) Mudumalai, Sathyamangalam and Wayanand Wildlife Sanctuaries; and Silent Valley National Park","(c) Kaundinya, Gundla Brahmeswaram and Papikonda Wildlife Sanctuaries; and Mukurthi National Park",(d) Kawal and Sri Venkateswara Wildlife Sanctuaries; and Nagarjunasagar-Srisailam Tiger Reserve,a
2019,Environment, <p>Consider the following statements:</p><p>1.      Some species of turtles are herbivores.</p><p>2.      Some species of fish are herbivores.</p><p>3.      Some species of marine mammals are herbivores.</p><p>4.      Some species of snakes are viviparous.</p><p>Which of the statements given above are correct?</p>,(a) 1 and 3 only,"(b) 2, 3 and 4 only",(c) 2 and 4 only,"(d) 1, 2, 3 and 4",d
2019,Environment," <p>Consider the following pairs:</p><table border=""1""><tbody><tr><td width=""100""><strong>Wildlife</strong></td><td width=""100""><strong>Naturally found in</strong></td></tr><tr><td width=""100"">1. Blue-finned Mahseer :</td><td width=""100"">Cauvery River</td></tr><tr><td width=""100"">2. Irrawaddy Dolphin :</td><td width=""100"">Chambal River</td></tr><tr><td width=""100"">3. Rusty-spotted Cat :</td><td width=""100"">Eastern Ghats</td></tr></tbody></table><p>Which of the pairs given above are correctly </p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",c
2019,Environment, <p>Why is there a great concern about the ‘microbeads’ that are released into environment?</p>,(a) They are considered harmful to marine ecosystems.,(b) They are considered to cause skin cancer in children.,(c) They are small enough to be absorbed by crop plants in irrigated fields.,(d) They are often found to be used as food adulterants.,a
2019,Art and Culture, <p>Building ‘Kalyaana Mandapas’ was a notable feature in the temple construction in the kingdom of </p>,(a) Chalukya,(b) Chandela,(c) Rashtrakuta,(d) Vijayanagara,d
2019,Ancient and Medieval History," <p>Consider the following statements:</p><p>1.      In the revenue administration of Delhi Sultanate, the in-charge of revenue collection was known as ‘Amil’.</p><p>2.      The Iqta system of Sultans of Delhi was an ancient indigenous institution.</p><p>3.      The office of ‘Mir Bakshi’ came into existence during the reign of Khalji Sultans of Delhi.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 1 and 2 only,(c) 3 only,"(d) 1, 2 and 3",a
2019,Ancient and Medieval History,"         <p>Consider the following statements:</p><p>1.      Saint Nimbarka was a contemporary of Akbar.</p><p>2.      Saint Kabir was greatly influenced by Shaikh Ahmad Sirhindi.</p><p>Which of the statements given above is/are correct?</p>
      ",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,d
2019,History of Modern India,"         <p>With reference to the British colonial rule in India, consider the following statements:</p><p>1.      Mahatma Gandhi was instrumental in the abolition of the system of ‘indentured labour’.</p><p>2.      In Lord Chelmsford’s War Conference’, Mahatma Gandhi did not support the resolution on recruiting Indians for World War.</p><p>3.      Consequent upon the breaking of Salt Law by Indian people, the Indian National Congress was declared illegal by the colonial rulers.</p><p>Which of the statements given above are correct?</p>
      ",(a) 1 and 2 only,(b) 1 and 3 only,(c) 2 and 3 only,"(d) 1, 2 and 3",b
2019,History of Modern India," <p>With reference to Indian National Movement, consider the following pairs:</p><table border=""1"" data-mce-selected=""1""><tbody><tr><td width=""100""><strong>Person</strong></td><td width=""100""><strong>Position held</strong></td></tr><tr><td width=""100"">1. Sir Tej Bahadur Sapru :</td><td width=""100""> President, All India Liberal Federation</td></tr><tr><td width=""100"">2. K. C. Neogy :</td><td width=""100""> Member, The Constituent Assembly</td></tr><tr><td width=""100"">3. P. C. Joshi :</td><td width=""100"">General Secretary, Communist Party of India</td></tr></tbody></table><p>Which of the pairs given above is/are correctly matched?</p>",(a) 1 only,(b) 1 and 2 only,(c) 3 only,"(d) 1, 2 and 3",d
2019,Ancient and Medieval History,"         <p>With reference to Mian Tansen, which one of the following statements is <em><strong>not</strong></em> correct?  </p>
      ",(a) Tansen was the title given to him by Emperor Akbar.,(b) Tansen composed Dhrupada on Hindu gods and goddesses.,(c) Tansen composed songs on his patrons.,(d) Tansen invented many Ragas.,a
2019,Ancient and Medieval History,"         <p>Who among the following Mughal Emperors shifted emphasis from illustrated manuscripts to album and individual portrait?</p>
      ",(a) Humayun,(b) Akbar,(c) Jahangir,(d) Shah Jahan,c
2019,Environment, <p>Which one of the following National Parks lies completely in the temperate alpine</p>,(a) Manas National Park,(b) Namdahpa National Park,(c) Neora Valley National Park,(d) Valley of Flowers National Park,d
2019,Current Affairs, <p>Atal Innovation Mission is set up under the</p>,(a) Department of Science and Technology,(b) Ministry of Labour and Employment,(c) NITI Aayog,(d) Ministry of Skill Development and Entrepreneurship,c
2019,Geography,"         <p>On 21st June, the Sun</p>
      ",(a) does not set below the horizon at the Arctic Circle,(b) does not set below the horizon at Antarctic Circle,(c) shines vertically overhead at noon on the Equator,(d) shines vertically overhead at the Tropic of Capricorn,a
2019,Environment, <p>Consider the following statements:</p><p>1.      Agricultural soils release nitrogen oxides into environment.</p><p>2.      Cattle release ammonia into environment.</p><p>3.      Poultry industry releases reactive nitrogen compounds into environment.</p><p>Which of the statements given above is/are correct?</p>,(a) 1 and 3 only,(b) 2 and 3 only,(c) 2 only,"(d) 1, 2 and 3",d
2019,Geography,"         <p>What is common to the places known as Aliyar, Isapur and Kangsabati?</p>
      ",(a) Recently discovered uranium deposits,(b) Tropical rain forests,(c) Underground cave systems,(d) Water reservoirs,d
2019,Environment," <p>In the context of proposals to the use of hydrogen-enriched CNG (H-CNG) as fuel for buses in public transport, consider the following statements:</p><p>1.      The main advantage of the use of H-CNG is the elimination of carbon monoxide emissions.</p><p>2.      H-CNG as fuel reduces carbon dioxide and hydrocarbon emissions.</p><p>3.      Hydrogen up to one-fifth by volume can be blended with CNG as fuel for buses.</p><p>4.      H-CNG makes the fuel less expensive than CNG.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 2 and 3 only,(c) 4 only,"(d) 1, 2, 3 and 4",b
2019,Geography,"         <p>Why are dewdrops <em><strong>not</strong> </em>formed on a cloudy night?</p>
      ",(a) Clouds absorb the radiation released from the Earth’s surface.,(b) Clouds reflect back the Earth’s radiation.,(c) The Earth’s surface would have low temperature on cloudy nights.,(d) Clouds deflect the blowing wind to ground level.,b
2019,Polity and Governance,<p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime Minister beyond judicial review.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The Supreme Court of India struck down the 99th Amendment to the Constitution of India as being violative of the independence of judiciary.</p><p>Which of the statements given above is/are correct?</p>,1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
2019,Polity and Governance,"         <p>Consider the following statements:</p><p>1.      The motion to impeach a Judge of the Supreme Court of Indian cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act, 1968.</p><p>2.      The Constitution of India defines and gives details of what constitutes ‘incapacity and proved misbehaviour’ of the Judges of the Supreme Court of India.</p><p>3.      The details of the process of impeachment of the Judges of the Supreme Court of India are given in the Judges (Inquiry) Act, 1968.</p><p>4.      If the motion for the impeachment of a Judge is taken up for voting, the law requires the motion to be backed by each House of the Parliament and supported by a majority of total membership of that House and by not less than two-thirds of total members of that House present and voting</p><p>Which of the statements given above is/are correct?</p>
      ",(a) 1 and 2,(b) 3 only,(c) 3 and 4 only,"(d) 1, 3 and 4",c
2019,Polity and Governance,"         <p>The Ninth Schedule was introduced in the Constitution of India during the prime ministership of </p>
      ",(a) Jawaharlal Nehru,(b) Lal Bahadur Shastri,(c) Indira Gandhi,(d) Morarji Desai,a
2019,Economics," <p>Consider the following statements:</p><p>1.      Coal sector was nationalized by the Government of India under Indira Gandhi.</p><p>2.      Now, coal blocks are allocated on lottery basis.</p><p>3.      Till recently, India imported coal to meet the shortages of domestic supply, but now India is self-sufficient in coal product.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 2 and 3 only,(c) 3 only,"(d) 1, 2 and 3",a
2019,Polity and Governance,"         <p>Consider the following statements:</p><p>1.      The Parliament (Prevention of Disqualification) Act, 1959 exempts several posts from disqualification on the grounds of ‘Office of Profit’.</p><p>2.      The above-mentioned Act was amended five times.</p><p>3.      The term ‘Office of Profit’ is well-defined in the Constitution of India.</p><p>Which of the statements given above is/are correct?</p>
      ",(a) 1 and 2 only,(b) 3 only,(c) 2 and 3 only,"(d) 1, 2 and 3",a
2019,Polity and Governance,"         <p>Under which Schedule of the Constitution of India can the transfer of tribal land to private parties for mining be declared null and void?</p>
      ",(a) Third Schedule,(b) Fifth Schedule,(c) Ninth Schedule,(d) Twelfth Schedule,b
2019,Current Affairs," <p>Recently, there was a growing awareness in our country about the importance of Himalayan nettle (Girardinia diversifolia) because it is found to be a sustainable source of</p>",(a) anti-malarial drug,(b) biodiesel,(c) pulp for paper industry,(d) textile fibre,d
2019,Science and Technology, <p>For the measurement/ estimation of which of the following are satellite images/remote sensing data used?</p><p>1.      Chlorophyll content in the vegetation of a specific location</p><p>2.      Greenhouse gas emissions from rice paddies of a specific location</p><p>3.      Land surface temperatures of a specific location</p><p>Select the correct answer using the code given below.</p>,(a) 1 only,(b) 2 and 3 only,(c) 3 only,"(d) 1, 2 and 3",d
2019,Environment," <p>Consider the following states:</p><p>1.      Chhattisgarh</p><p>2.      Madhya Pradesh</p><p>3.      Maharashtra</p><p>4.      Odisha</p><p>With reference to the States mentioned above, in terms of percentage of forest cover to the total area of State, which one of the following is the correct ascending order?</p>",(a) 2-3-1-4,(b) 2-3-4-1,(c) 3-2-4-1,(d) 3-2-1-4,c
2019,Environment, <p>Which of the following statements are correct about the deposits of ‘methane hydrate?</p><p>1.      Global warming might trigger the release of methane gas from these deposits.</p><p>2.      Large deposits of ‘methane hydrate’ are found in Arctic Tundra and under the seafloor.</p><p>3.      Methane in atmosphere oxidizes to carbon dioxide after decade or two.</p><p>Select the correct answer using the code given below.</p>,(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",d
2019,Environment, <p>Consider the following:</p><p>1. Carbon monoxide</p><p>2. Methane</p><p>3. Ozone</p><p>4. Sulphur dioxide</p><p>Which of the above are released into atmosphere due to the burning of crop/biomass residue?</p>,(a) 1 and 2 only,"(b) 2, 3 and 4 only",(c) 1 and 4 only,"(d) 1, 2, 3 and 4",d
2019,Geography,"         <p>Consider the following pairs:</p><table border=""1"" data-mce-selected=""1""><tbody><tr><td width=""100""><strong>Sea Bordering</strong></td><td width=""100""><strong>country</strong></td></tr><tr><td width=""100"">1. Adriatic Sea : </td><td width=""100"">Albania</td></tr><tr><td width=""100"">2. Black Sea : </td><td width=""100"">Croatia</td></tr><tr><td width=""100"">3. Caspian Sea :</td><td width=""100"">Kazakhstan</td></tr><tr><td width=""100"">4. Mediterranean Sea :</td><td width=""100"">Morocco</td></tr><tr><td width=""100"">5. Red Sea :</td><td width=""100"">Syria</td></tr></tbody></table><p></p><p>Which of the pairs given above are correctly matched?</p><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandlen"" style=""cursor: n-resize; margin: 0px; padding: 0px; left: 100.5px; top: 27.5px; display: block;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandlee"" style=""cursor: e-resize; margin: 0px; padding: 0px; left: 203.5px; top: 130px; display: block;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandles"" style=""cursor: s-resize; margin: 0px; padding: 0px; left: 100.5px; top: 232.5px; display: block;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandlew"" style=""cursor: w-resize; margin: 0px; padding: 0px; left: -2.5px; top: 130px; display: block;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandlenw"" style=""cursor: nw-resize; margin: 0px; padding: 0px; left: -2.5px; top: 27.5px; display: block;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandlene"" style=""cursor: ne-resize; margin: 0px; padding: 0px; left: 203.5px; top: 27.5px; display: block;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandlese"" style=""cursor: se-resize; margin: 0px; padding: 0px; left: 203.5px; top: 232.5px; display: block;"" unselectable=""true""></div><div class=""mce-resizehandle"" data-mce-bogus=""true"" id=""mceResizeHandlesw"" style=""cursor: sw-resize; margin: 0px; padding: 0px; left: -2.5px; top: 232.5px; display: block;"" unselectable=""true""></div>
      ","(a) 1, 2 and 4 only","(b) 1, 3 and 4 only",(c) 2 and 5 only,"(d) 1, 2, 3, 4 and 5",b
2019,Economics, <p>Among the following which one is the largest exporter of rice in the world in the last five years?</p>,(a) China,(b) India,(c) Myanmar,(d) Vietnam,b
2019,Geography,"         <p>Consider the following pairs:</p><table border=""1""><tbody><tr><td width=""100""><strong>Glacier</strong></td><td width=""100""><strong>River</strong></td></tr><tr><td width=""100"">1. Bandarpunch :</td><td width=""100"">Yamuna</td></tr><tr><td width=""100"">2. Bara Shigri :</td><td width=""100"">Chenab</td></tr><tr><td width=""100"">3. Milam :</td><td width=""100"">Mandakini</td></tr><tr><td width=""100"">4. Siachen :</td><td width=""100"">Nubra</td></tr><tr><td width=""100"">5. Zemu:</td><td width=""100"">Manas</td></tr></tbody></table><p>Which of the pairs given above are correctly matched?</p>
      ","(a) 1, 2 and 4 only","(b) 1, 3 and 4 only",(c) 2 and 5 only,(d) 3 and 5 only,a
2019,Environment," <p>In India, the use of carbofuran, methyl parathion, phorate and triazophos is viewed with apprehension. These chemicals are used as</p>",(a) pesticides in agriculture,(b) preservatives in processed foods,(c) fruit-ripening agents,(d) moisturizing agents in cosmetics,a
2019,Environment," <p>Consider the following statements:</p><p>1.      Under Ramsar Convention, it is mandatory on the part of the Government of India to protect and conserve all the wetlands in the territory of India.</p><p>2.      The Wetlands (Conservation and Management) Rules, 2010 were framed by the Government of India based on the recommendation of Ramsar Convention.</p><p>3.      The Wetlands (Conservation and Management) Rules, 2010 also encompass the drainage area or catchment regions of the wetlands as determined by the authority.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 3 only,"(d) 1, 2 and 3",c
