q_no,q_statement,a,b,c,d,exam,year
163,Which one of the following is a land-locked harbour?,Vishakhapatnam,Ennore,Mumbai,Haldia,CDS  (1),2014.0
164,"Choose the correct option representing the following pipelines Transports in
decreasing order of their lengths?
1. Salaya-Koyali-Mathura pipeline
2. Hajira-Bijapuc-Jagdishpur gas pipeline
3. Jamnagar-Loni (LPG) pipeline
4. Kandala-Bhatinda pipeline
Code:",1>2>3>4,2>4>4>3,2>4>3>1,2>3>4>1,Chhattisgarh P.C.S. (Pre),2020.0
165,Which one of the following river valleys is most Important in respect of coal reserves of the Gondwana perlod?,The Son River valley,Mahanadi river valley,Damodar river valley,"Godavari river valley
(e) None of the above",ChhattisgarhPCS. (Pee),2017.0
166,"Out of the following types of iron ore, a reserve of which type is largeat in India?",Hematite,Magnetite,Siderite,"Limonite
(e) None of these","Chhattisgarh P.C.S, (Pre)",2017.0
167,The fest cotton mill of Indie was established at-,Bombay,Ahmedabad,Baroda,Calcutta,Jharkhand P.C.S. (Pre),2013.0
168,‘Transhumance’ refers to-,Migration of animals in ranches,Human migration in search of job,Seasonal movement of people and their herds from the valley to the mountain and vice versa,Migration of nomads,"Jharkhand P.C.S, (Pre)",2013.0
169,"Match list-I with list-II and select the correct answer using the codes given below he lists: 
List-1 List-I1
(Economic Activity/| (Country) Agricultural Region)
A. Commercial dairy | 1. Argentina farming
B. Commercial grain | 2. France farming
C. Commercial 3, Denmark plantation farming
D. Comunercial fruits | 4. Malaysia production
Code:
ABCD",3 1 4 2,1 2 3 4,4 3 2 1,2 4 1 3,MPPCS (Pre),2021.0
170,‘Marquette range’ in United States of  America is famous for which mineral?,Uranium,Copper,Zine,Iron ore,MPPCS (Pre),2021.0
171,"Match fist-I1 with lst-I1 and select the correct answer using the codes given below the lists:
List-I (Mining Area) | List-It (Mineral Wealth)
A.Kelahandi 1. Gold
2. Copper
3 Bauxite
D. Mosabani 4. Zine and Lead
Code: MPPCS (Pre) 2019]
ABCD",l 2.3 4,1 4 3 2,3 4 1 2,3 2 4 1,,
172,Which of the following is different from the remaining three-,Hematite,Magnetite,Limonite,Bauxite,M.P.P.C.S. (Pre),2003.0
173,Which of the following Indian states is the biggest producer of Mica?,Andhra Pradesh,Bihar,Jharkhand,Rajasthan,M.P.P.C.S. (Pre),1990.0
174,The Wood of which tree is used for catechu production?,Saaja,Khair,Babool,,"M.P.P.C.S, (Pre)",1990.0
175,"Match list-I with Mst-If and select the correct answer using the codes given below
the lists:
List-I . List-H1 :
(Industrial Regions) | (Country) .- 2 America
[8 Ruhr Region [2 Germany |
D. Southern Appalachian
Code: 
ABCD",3 2 1 4,3 4 2 1,1 2 3 4,3 2 4 1,RAS/RTS (Pre),2016.0
176,The Lorraine Region of France is famous for:,Chemical Industry,Iron and Steel Industr,Cotton and Textile Industry,Paper Industry,RAS/RTS (Pre) (Re-Exam),2013.0
177,Which group of minerals represents non-ferrous metals?,"Nickel, Zinc, Copper. Aluminum","Nickel, Aluminum, Iron ore, Zine
(s) Copper, Pig iron, Nickel, Steel",,"Nickel, Carbon Steel, Aluminum, Zine","R.A.SJR.T.S. (Re, Exam) (Pre)",2013.0
178,Which wood raw materialis used for making paper pulp?,Peparin,Poplar,Bagasse,Rice straw,R.A.S./R.T.S. (Pre),2013.0
179,Which continent is known as ‘the Cradle of Mankind’?,Asia,Africa,Europe,South America,R.A.S/R.T.S. (Pre),2012.0
180,The area which is the ‘storehouse of minerals’ in South America is:,Brazilian Plateau,Bolivian Plateau,Patagonia Plateau,Orinoco basin .,R.A.S./R.T.S. (Pre),2050.0
181,The largest producer of bananas tn the world Is:,Columbia,Zimbabwe,Malaysia,India,R.A.S./R.T.S.(Pre),2003.0
182,Which palr is correctly matched?,Assam - Barauni oil refinery,Andhra Pradesh - Visakhapatnam oil refinery,Mahacashtra - Koyna oil refinery,Gujarat - Mathura oif refinery,"R.A.S/R.T.S, (Pre)",1992.0
183,"African country Zambia has prolific copper reserves, but economic progress hes not deen made in the country, because of-",Dense Forests,Lack of means of transportation,No seaport,Less population,"R.A.S/R,T.S. (Pre)",1992.0
184,Kodarma Js famous for which mineral?,Iron-Ore,Mica,"Gypsum
(4) Bauxite",,Uttarakhand PCS (Pre),2021.0
185,Pittsburg of India is:,Bhagalpur,Varanasi,Sindei,Jamshedpur,Uttarakhand PCS (Pre),2021.0
186,Marble Is-,Re-ceystallized limestone,An igneous rock,Sandstone,Formed from changes of organic matters to inorganic one,Uttarakhand P.C.S. (Pre),2006.0
187,Coal is an example of-,Igneous rock,Metamorphic rock,Sedimentary rock,All of the above,"Uttarakhand PC.S, (Pre)",2006.0
188,"Coal, Crude Oil and Natural gas are called-",Crude Fuel,Traditional Fuel,Natural Fuel,Fossil Fuel,Uttarakhand P.C.S. (Mains),2002.0
