q_no,q_statement,a,b,c,d,exam,year
161,"Consider the following statements relating to cyclone, anti-cyclone and trade wind.
1. The wind direction is clockwise in the cyclone of Northern hemisphere.
2. The planetary wind that blows from North-East to North-West is known as North-East trade wind.
3. The wind direction is anti-clockwise in the anti-cyclone of Southern hemisphere.
4. Both westerlies and trade winds originate from sub-tropical highs. Which of the statements given above is/are
correct?",3 and 4 only,"1,3 and 4",4only,"1,2 and 3",CAPF,2015.0
162,"The following item consists of twoStatements I and II, You are to examine these two statements carefully and select the answer to these items using the code given below. Statements: L The Doldrums is a low-pressure area around the Equator where the prevailing winds are calm, IL Low pressure is caused by the heat at the Equator which makes the air rise and travel both Northwarcds and Southwards. Codes: (CAPF 2014)",Both the statements are individually true and Statement II is the correct explanation of Statement].,Both the statements are Individually true but Statement IE is not the correct explanation of Statement I.,Statement I is true and Statement II is false.,Statement F is false but Statement II is true.,,
163,"The following item consists of two Statements I and HH. You are to examine these two statements carefully and select the answer to these items using the code  given below. Statements 1: Roaring Forties are strong  Westerly winds found in the Southern  Hemisphere, generally between the latitudes  of 40° and 50°, Statements H: The strong East to West air  currents are caused by the combination of air  being displaced from the Equator towards the South Pole and the Earth's rotation and there  are few landmasses to serve as wind breaks, Codes:",Bot the statements are individually true and Statement 1] is the correct explanation of Statement 1.,Both the statements are individually true but Statement II ts not the correct explanation of Statement I.,Statement I is true and Statement II is false.,Statement I is false but Statement II is true.,CAPE,2014.0
164,The Kuroshio is a North flowing Ocean current on the West side of the North Pacific Ocean. Which one among the following statements regarding this is not correct?,It is similar to the Gulf Stream in the North Atlantic ocean.,"It transports warm, tropical water northward towards the Polar region.",The warm water of the Kuroshio current sustains the coral reefs of Japan.,"It begins off the coast of Japan and flows Northward,",CAPF,2014.0
165,The inner most regton of a hurricane is known as hurricane-eye where,temperature is highest and pressure is the lowest.,temperature is lowest and pressure is the lowest.,sky is clear and temperature is the lowest.,sky is under dense cloud cover and pressure is the lowest.,CAPF,2014.0
166,"The Saragasso Sea is a vast patch of Atlantic Ocean characterized by an abundance of floating brown seaweed called ‘Sargassum’. This is formed due to the deposit of marine plants and refuse carried by the
1. North Atlantic current.
2. Canary current.
3. North Atlantic Equatorial current. Select the correct answer using the codes given below:  Codes",l only,2 and 3 only,1 and 3 only,"1,2 and 3",CAPF,2014.0
167,Capillaries are most effective in-,Clayey soit,Silt soit,Sandy soil,Loamy soil,"53rd to SSth B.P.S.C, (Pre)",2011.0
168,"Match list-1 with Hist-Il and select the correct answer using the codes given below the lists: D. The driest Code: 
ABCD",1 2 3 4,4 3 2 1,2 3 1 4,3 2 4 1,48th to 52nd B.P.S.C. (Pre),2008.0
169,Dense-forests on the earth are mostly found-,Nearby Equator,Nearby tropic of Cancer,Nearby tropic of Capricorn,Nearby Poles,41st B.P.S.C. (Pre),1996.0
170,Clear sky nights are cooler than cloudy sky nights dueto-,condensation,radiation,induction,conduction,39th B.P.S.C. (Pre),1994.0
171,Which of the following pair matchings is correct?,Mediterranean Sea Zone - Summer rain.,"Equatorial Zone - Rain with thunder in the noon,",Monsoon Zone - Heavy rain throughout the year.,"Desert zone - Winter rain,","39th B.P.S.C, (Pre)",1994.0
172,The formal development of Terra Rossa takes place in that part of land which consists of-,Limestone,Cynite,Granite,Sandstone,B.P.S.C. (Pre),1994.0
