q_no,q_statement,a,b,c,d,exam,year
207,Which of the following pairs is not correctly matched?,Total area of India: 3.28 million sq. km,Latitudinal extent: 8°4’ N - 37°6’ N,Longitudinal extent: 68°7’ E - 97°25’ E,Number of states In India: 26,Jharkhand P.C.S. (Pre),2016.0
208,"Name the place in India where Bay of Bengal, Arabian Sea and Indian Ocean meet.",Kanyakumari,Indira Point,Nagercoil,Rameswaram,Jharkhand P.C.S. (Pre),2016.0
209,"Consider the following relief features:
1. Zaskar Range 
2. Dhauladhar Range
3. Ladakh Range
4. Karakoram Range
The correct south to the northward sequenceof the above relief features is-","2,1,3,4","2,3,4,1",4.3.2.1,"4,2,1,3",Uharkhand P.C.S. (Pre),2013.0
210,Which of the following rivers does not make estuary?,Narmada,Tapti,Mandavi,Mahanadi,Jharkhand P.C.S. (Pre),2003.0
211,Which of the following Island is not a part of Laccadive Island?,Tilanchong,Agathi,Kavarattt,Kalpeni,Uttarakhand PCS (Pre),2021.0
212,Koppen has used which of the following words for the climate of Great Plains of India?,Amw,As,Cwg,Aw,Uttarakhand PCS (Pre),2021.0
213,Out of the following rivers which is not the tributary of river Sutlej?,Baspa,Spiti,Ravi,Beas,Uttarakhand PCS (Pre),2021.0
214,‘Khair’ (Catechu) is a tree of which type of forest? (Uttarakhand PCS (Pre) 2021),Sub-Alpine Forests,Cool-Temperate Forests,Sub-Tropical Forests,Temperate Forests,,
215,Which plateau lies between the Aravalli and the Vindhya ranges?,Malwa Plateau,Chhota Nagpur Plateau ;,Deccan Plateau,Peninsular Plateau,Uttarakhand PCS (Pre),2021.0
216,"Match list-E with list-II and select the correct answer using the codes given below the lists;
A. Bist Doab   1. Between Ravi and Chenab
B. Bari Doab   2. Between Ravi and Beas
C. Rachna Doab 3. Between Beas and Satly
D. Chaj Doab | 4. Between Chenab and Jhelum
Code: 
ABCD",3 2 1 4,1 2 3 4,4 3 2 1,1 4 2 3,Uttarakhand PCS (Pre),2016.0
217,"Q217, Which one of the following groups is the correct sequence of mountain peaks from east to west?","Everest, Kanchenjunga, Annapurna,Dhaulagiri","Kanchenjunga, Everest, © Annapurna,Dhaulagirt","Kanchenjunga, Dhaulagiri, Annapurna,Everest","Everest, Kanchenjunge, Dhaulagiri,Annapurna",Uttarakhand P.C.S. (Pre),2012.0
218,"Match Hst-I with list-IT and select the correct answer by using the codes given below the list :
B. Verinag Spring  2. Jhelum
C. Mahabaleshwar   3. Krishna |
D. Chhota Nagpur   4. Subarnarckha Plateau
Code: 
ABCD",4 3 2 1,1 2 3 4,"2 1 4 3
(4)3 2 1 4",,Uttarakhand PCS (Pre),2016.0
219,Which among the following places wilt have maximum length of day in the month of Junct?,Hyderabad,Chennai,) Bhopal,Delhi,Uttarakhand PCS (Mains),2006.0
220,"In which part of Uttarakhand are artesian
wells found?",Bhabhar,Tarai,Shivalik Hills,None of the above,Uttarakhand P.C.S. (Mains),2006.0
221,"Name the river which flows between
Kedarnath and Rudra Prayag?",Bhagirathi,Alaknanda,Saryu,Mandakint,Uttarakhand P.C.S. (Pre),2006.0
222,The birch tree is found in-,Aravallis,Himalayas,Nilgiris,Vindhyas,"Uttarakhand P.C.S, (Pre)",2006.0
223,"Consider the following clues about a State of India;
1. It is known as land of red River and blue hills’
2. It contains three of the six physiographic divisions of India.
3. It covers about 2.39 percent of total areas of the country.
Identify the State on the basis of the given
clues.",Karnataka,Andhra Pradesh,Assam,Chhattisgarh,CDS-,2023.0
224,Which of the following sets of States sharcs boundary with Telangana?,"Odisha, Andhra Pradesh, Karnataka, Maharashtra","Chhattisgarh, Andhra Pradesh,Karnataka, Madhya Pradesh","Odisha, Andhra Pradesh, Karnataka,Madhya Pradesh","Chhattisgarh, Andhra Pradesh, Karnataka, Maharashtra",CDS-(I),2023.0
225,"Rani told her friends that last year she did boating in four different lakes, namely Loktak, Barapani, Kolleru and Pulicat.
Which of the following States did she visit?","Manipur, Tamil Nadu, Meghalaya, Kerala","Manipur, Meghalaya, Andhra Pradesh, Tamil Nadu","Mizoram, Tamil Nadu, Assam, Kerala","Mizoram, Assam, Andhra Pradesh, TamilNadu",CDS-,2023.0
226,"The Tropic of Cancer passes through how many coastal and landlocked States of Tandia, respectively?",1 and 2,2 and 6,2 and 5,3 and 5,CDS-,2023.0
227,Which one among the following States has the longest extension in north- south direction?,Jharkhand,Telangana,Odisha,Chhattisgarh,CDS-,2023.0
228,"Consider the following characteristics of a soil type:
1. These soils consist of various proportions of sand, silt and clay.
2. These soils contain adequate proportions of potash, phosphoric acid and lime.
3. These soils can be further classified on the basis of their age.
Identify the type of soll on the basis of the given characteristics.",Alluvial,Laterite,) Arid,Black,CDS-,2023.0
229,Indus river basin ts extended up to,"Ladakh, Jammu and Kashmir, Himachal Pradesh, Punjab","Ladakh, Jammu and Kashmir, Punjab, Haryana","Ladakh, Jammu and Kashmir, Punjab, Haryana, Rajasthan","Ladakh, Jammu and Kashmir, Himachal Pradesh, Punjab, Haryana, Rajasthan .",CDS-,2023.0
230,Which one of the following Indian States has thelongest coastline? —,Tamil Nadu,Gujarat,Maharashtra,Andhra Pradesh,CDS-(1),2023.0
231,Which one of the following climatic types (KSppen’s Scheme) is best suited to describe the climate of the western fringe of Rajasthan?,Amw,Aw,Bwhw,Cwg,CDS-,2022.0
232,Which one of the following States/Union Territories has the highest percentage of forest area to the total geographical area?,Arunachal Pradesh,Lakshadweep .,Nagaland,Mizoram,CDS-,2022.0
233,Manikaran in Himachal Pradesh is known for:,Solar energy,Geothermal energy .,Bioenergy,Wind energy,CDS-,2022.0
234,"Q234, Match List I witth List II and select the correct answer ustng the code given below the lists:
List I (Soil) List II (Salient. -. .ype) Characteristic)
A. Entisols 1, Soils having weakly or quickly developedhorizons
B. Inceptisols | 2. Weakly developed soilswith no horizons
C. Histosols 3. These soils are very old and highly weathered
4. These soils have very high quantity of organic matter in the upper layers
Code: 
ABCD",2 2 4 3,2 4 1 3,3 4 1 2,3 1 4 2,CDS-,2022.0
235,Ten Degree Channel is found between:,"North Andaman and Middle Andaman,",South Andaman and Liule Andaman.,Little Andaman and Car Nicobar.,Car Nicobar and Great Nicobar.,CDS-,2022.0
236,"Match List J with List Il and select the correct answer using the code given below the lists:
List I (Waterfall) List IT (State) 
1. Tamil Nadu D.Kitiywe
4 Goa
Code: 
ABCOD",3 2 4 1,3 4 2 1,1 4 2 3,1 2 4 3,CDS-,2022.0
237,"Match List £ with List If and select the correct answer using the code given below the lists:
B.Khajjiar 2 Kerala
C. Khecheopalri
D. Vembanad 4. Tamil Nadu
Code: 
ABCD",2 1 3 4,2 3 1 4,4 1 3 2,4 3 1 2,CDS-,2022.0
238,"Mount Thullier (642 m) is an important mountain peak of Andaman and Nicobar Islands, It is located tn:",North Andaman,Middle Andaman,South Andaman,Great Nicobar,CDS-,2022.0
239,Which one of the following is a tributary of Barak Riverin Manipur? =,Dhaleswari,Subansiri,Dhansiri,Manas,CDS-(11),2022.0
240,Which types of vegetation will you find on the way as you travel from Bikaner to Konark by road by shortest distance?,"Tropical thorny, Desert, Moist deciduous,Mangrove","Desert, Tropical thorny, Moist deciduous,Mangrove","Moist deciduous, ‘Tropical thorny,Mangrove, Desert","Desert, Tropical thorny, Mangrove, Moist deciduous",CDS-,2022.0
241,"Consider the following statements about Karewas:
1. These are the lacustrine deposits of Pleistocene period.
2. These are found along the lower slopes of Pic Panjal.
3. Karewasare well known forthe cultivation of saffron, almond and wainut.
How many of the above statements is/are correct?",1,2,3,None,CDS-,2022.0
242,"Considce the following statements about an Indian State:
1. It is well known globally for its variety of rocks and minerals,
2. It has the largest deposits of Chrysotile Asbestos in the country.
3. The Neelam Sanjiva Reddy Sagar Hydel Project is located in this State.
Identify the State from the following:",Jharkhand,Rajasthan,Andhra Pradesh,Chhattisgarh,CDS-,2022.0
243,"Which of the following statements about the coasts of India 1s/are correct?
1. The West Coast of India is a high rocky,retreating coast.
2. The West Coast of India is dominated by erosional landforms.
3. The East Coast of India, however, is alow sedimentary coast exhibiting depositional forms.
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 only,"1,2and 3",CDS-,2022.0
244,Which one of the following States/UTs has the largest area under Coral Reefs in India?,Gujarat,Tamil Nadu,Andaman and Nicobar Islands,Lakshadweep,CDS-,2022.0
245,"In which one of the following highlands of India can you find temperate forests called
‘Sholas’?",Nilgiris,Vindhyas,Satpuras,Himalayas,CDS-,2022.0
246,The Indian desert also known as Marusthali Is believed to be under the sea during which one of the following eras?,Cenozoic era,Palacozoic era,Mesozoic cra,Archacan and Pre-Cambrian era,CDS-,2022.0
247,"Identify the type of soil on the basis of the given characteristics:
1.They are rich in lime, iron, magnesia and alumina.
2. They are generally clayey, deep and impermeable
3. They are mainly found in Maharashtra,Madhya Pradesh and Gujarat.
Select the correct answer using the codes given below:",Laterite soil,Red and yellow soil,"Saline soil
(4) Black soil",,CDS,2021.0
248,"Q248, Alluvial soils vary in nature from sandy loam to clay. They sre generally",poor in potash and rich in phosphorus.,poor in both potash and phosphorus.,"rich in both potash and phosphorus.
(4) rich in potash and poor in phosphorus.",,CDS,2022.0
249,Which one of the following water bodies separates the Andaman and the Nicobar islands?,Gulf of Mannar,Ten Degree Channel,Eleven Degree Channel,Palk Strait,CDS,2021.0
250,Which one of the following longitudes is the standard meridian of India?,"83°30"" E",82°30° E,"82°30"" W","83°30"" W",CDS,2021.0
251,"Four persons are travelling to different States of India, To whom will you advise to protect oneself from blizzards?",The person travelling to ArunachalPradesh,The person travelling to Assam,The person travelling to Tripura,The person travelling to Odisha,CDS,2021.0
252,"Which one of the following biosphere reserves comprises Islands with estuaries,beaches, coral reefs, salt marshes and mangroves?",Sunderban biosphere reserve,Gulf of Mannar biosphere reserve,Nilgirl biosphere reserve,Nandadevi Biosphere reserve,CDs,2021.0
253,"Which of the following statements is/are correct with respect to Time Zone in India?
1, There is one standard time for the whole country,
2 Andaman and Nicobar Islands and Lakshadweep Islands have different Time Zones.
3. Indian Standard Time (IST) is five and half hours behind GMT.
Select the correct answer using the codes given below,",Only 1,Only 2,l and2,2 and 3,CDS-,2021.0
254,"D had recently visited Khardung La, Nubra Valley and several Buddhist monasteries.
Which one of the following States / UT bad she visited?",Himachal Pradesh,Uttarakhand,Sikkim,Ladakh,CDS-,2021.0
255,Which one of the following states receives rainfall from both the Arabian See branch and the Bay of Bengal branch of Monsoon?,Punjab,Maharashtra,"Meghalaya
(4) Tamil Nadu",,CDS-,2021.0
256,"S had witnessed contour bunding and contour ploughing while visiting onc of the states in India, Identify the state from the options given below.",Punjab,Haryana,Himachal Pradesh,Rajasthan,CDS-,2021.0
257,D performs her traln journey by the shortest route from Bengaluru to New Delhi. Which one of the following rivers will she not cross while performing the journey?,Narmada,Yamuna,Godavari,Krishna,CDS-,2021.0
258,"Identify the State on the basis of the following characteristics.
1. Tropic of Cancer passes through the state.
2. The state has more North-South extension.
3. The state has international border with Bangladesh and Myanmar,
Select the correct using the codes given
below:",Tripura,Mizoram,Nagaland,Manipur,CDS-,2022.0
259,"M wants to visit a place in a Union Territory,
which is located at 34° N and 77° E. Which one of the following Union Territories must he have planned to visit? =",Andaman and Nicobar Islands,Lakshadweep,Puducherry,Ladakh,CDS-,2021.0
260,Which one of the following rivers joins Gange directly? fobs 2020 (1),Chambal,Son,Betwa,Ken,,
261,Which one of the following Indian places receives minimum rainfall in a year?,Jodhpur,Leh,New Delhi,Bengaluru,CDS,2020.0
262,Which one of the following Is not correct regarding South India?,Diurnal range of temperature ls tess,Annual range of temperature is less,Temperature is high throughout the year,Extreme climatic conditions are found,CDs  (11),2019.0
263,Which one of the following statements regarding temperate coniferous forest biome fe not correct?,"They ere characterised by very little undergrowth,","They have a growing period of $0. to 100 days in a year,",There is low variation in annual temperature,There is high range in spatial distribution of annual precipitation.,CDS,2019.0
264,"Match List J with List II and select the correct answer uting the codes given below the Hsta,
[List (Peak) | List Il (Name of Hill)
1. Nilgiel

Codes: 
ABCD",3 2 1 4,3 1 2 4,4 1 2 3,4 2 1 3,B-Goreshitter [a Annanai ——,
265,Where ere the largest quantity of cichlids found in India?,Backwaters of Kerala,Sunderbans,"Narmada
(4) Godavari",,CDS,2019.0
266,"Q266, The term ‘soil impoverishment’ relates to which one of the following?",Soil erosion,Soil deposition,Soil getting very deficient in plant nutrients,Soll getting enriched with plent nutrients,CDS,2019.0
267,"Q267, Rains caused by thnnderstorms during the hot weather season (mid-March to mid-June) to Karnataka are celled",Kalbaisakhi,Mango showers,Loo,Cherry blossoms,CDS  (I1),2619.0
268,"Q268, Which one of the following civer valleys of Indla is under the influence of intensive gully erosion?",Kosi,Chambal,Damodar,Brahmaputra,CDS,2019.0
269,"Match List I with List If and select the correct answer using the codes given below the ste.
List I (Type of Lake) [List If (Example) ~|
1. Lonas Lake
2. Gangabal Lake
C. Glacial 3. Purbasthall Lake
4, Bhimtal Lake
Codes: 
ABCD",4 1 2 3,4 2 1 3,3 1 2 4,3 2 1 4,CDS,2019.0
270,South Arcot and Ramanathapuram receive over 50 percent of their annual rainfall from which one of the following?,South-West monsoon,North-East monsoon,Bay of Bengal branch of summer monsoon,Western disturbances,CDS,2023.0
271,Which one among the following is not a tributary of river Luni?,Khari,Sukei,Jawai,Banas,CDS  (11),2018.0
272,Which one among the following passes links Lhasa with Ledakh? =,Lanak La,Babusar,Burzil,Khyber,CDS,2028.0
273,Which one of the following places of India experiences highest atmospheric pressure during winter?,Jaisalmer,Leh,Chennai,Guwahatl,,
274,"Consider the following tcibutarles of river Gange
1. Gandak
2. Kost
3. Ghaghara
4. Gomtl
Which one of the following is the correct order of the above rivers from East to West?","1,2,4,3","2,1,3,4","2,3,1,4",,CDS,2018.0
275,"Arrange the following Tiger Reserves of India from North to South
1. Dudhwa
2. Panna
3. Pench
4. Indravati
Select the correct answer using the codes given below: (CDs 2017 (11))","4.3,2,1","2,1,4,3",1.2.3.4,"13,2,4",,
276,"The following consist of two statements, statement Land statement IL. Examine these two statements carefully and select the correct answer using the codes given below.
Statement I: The interior part of Maharashtra,does not receive adequate rain in the summet
season, Statement IU: The interior pact of Maharashtra lies in the rain shadow area of the Western Ghats.
Codes:",Both the statements are individually true and statement I] is the correct explanation of statement I,"Both the statements are individually true, but statement II is not the correct explanation of statement 1","Statement I is true, but statement II Is false","Statement I Is false, but statement I is true",CDs,2017.0
277,"Match List I with List 11 and select the correct answer using the codes given below the lists,[itst (Pass) [Liste (Place) JA. Zojita _{t. Himachal Pradesh _|4, Sikkim
Code: 
ABCD",4 2 1 3,"4 1 2 3
(C)3 1 2 4",,3 2 1 4,CDS,2017.0
278,"Which of the following statements with respect to the Indian Peninsular Plateau are correct
1. The Decean Plateau gradually rises from North to South.
2. The Malwa Plateau dominstes the Vindhyan scraps, forming the Eastern Mank of the plateau.
3. The Western Satpuras separate the Narmada and Tapi rivers.
4. The Chota Nagpur Plateau ts composed of Acchacan granite and gneiss rocks.
Select the correct answer using the codes given below?","1,2,3 and 4","1,3 and 4",2 and 3,1 and 3,CDS,2017.0
279,"Which of the following lakes is/are situated in Ladakh?
1. Tso Kar
2. Pangong Tso
3. Tsomgo
4. Tso Moriri

Select the correct answer using the codes given below:",Only 1,2 and 3,"l,2 and 4",2 and 4,CDS,2017.0
280,"Which of the following statement related to latitude ere true?
1. Rainfall, temperature and vegetation vary with latitude.
2. The difference between the longest day and the shortest day increases with latitude.
3. Indira Point Js located approximately at S*45°N fatitude,
Select the correct answer using the codes given below:",1 and 2,1 and 3,2 and 3,"1,2 and 3",CDS,2017.0
281,"Match List 1 with List I] and celect the correct answer using the codes given below the lets,
List I (Lake) List IL (Type of Lake)
A. Bhimtal
B. Ashtamudi   2. Landslide
Code: 
ABCD",3 2 2 4,3 2 1 4,4 2 1 3,4 1 2 3,CDS,2017.0
282,"Which of the following statements is/are correce?
1, Himalayan rivers have their origin in the snow-covered areas, hence are dry in winter season.
2. Rivers of the Peninsular Plateau have reached maturity.
3. Himalayan rivers depict all the threestages of normal cycle of erosion.
Select the correct answer using the codes given below:",Only 2,2 and 3,"l and 3
(4) 1,2 and 3",,CDS,2017.0
283,Which one of the following 1s the correct sequence of occurrences of rivers from Chennai to Kolkata when travelled by road(shortest distance)?,"Krishna, Kaveri, Godavari, Mahanadi,Subarnarckhe","Krishna, Periyar, Godavari, Mahanadi,Subarnarekha","Penneru, Krishna, Godavari, Mahanadi,Subarnarekha","Penner, Mahanadi,  Subarnarekha,Godavari, Krishna",CDS,2017.0
284,"Which one of the following with regard to Aridisol, one of the soll ordecs, ls not correct?",Lack of water for plants during most part of the year,High organic matter,Large accumulation of carbonates at depth,Absence of deep wide cracks,CDS,2017.0
285,Which one of the following statements concerning the natural vegetation of India is not correct?,Sal is found in moist deciduous forests,Casuarina is largely found along the coastal region of Tamil Nadu,Deodar is a coniferous species of tree,Shola forests are found mainly on the upper reaches of Himalaya,CDS,2016.0
286,"Consider the following statements regarding laterite soils of India
1. Laterite soils are generally red in colour.
2. Laterite soils ere rich in nitrogen and potash.
3. Laterite soils are well developed in Rajasthan and Uttar Pradesh,
4. Tapioca and cashew nuts grow well in this soil.
Which of the statements given above is/are
correct?","1,2 and 4","2,3 and 4",l and 4,,CDS,2046.0
287,"Consider the following tributaries of river Brahmaputra:
1. Lohit
2. Tista
3. Subansici
4. Sankosh
Arrange the above rivers from West to East:",2.4.3.1,2.3.4.1,"4,2,3,1","3,2'2,4",CDS,2016.0
288,"Match the following:
List 1 (Regions)   List 11 (State)
A. Baghelkhand |   1. West Rengal
B. Kuttanad        2. Madhya Pradesh
C.Saueashtea       3 Kerala |
                   4. Gujeat
Codes: 
ABCD",2 3 4 1,2 4 3 1,3 4 2,1 4c3 2,CDS,2015.0
289,"Match the following:
List I (lake) 2 | List I (Type)
A, Ashtamundt |   1. Residual (Sweet Kayal Water)
B. Himayat Sagar |2. Lagoon
C. Dat Lake       3. Glacial
D. Tsomgo Lake  | 4. Artificial (Sweet
Water)
Codes: 
ABCD",2 4 3 1,2 2 4 3,3 1 4 2,3 4 1 2,CDS,2015.0
290,"Which of the following are the major factors responsible for the monsoon type of climate in India?
1. Location
2. Thermal contrast
3. Upper air circulation
4. The Himalayan Mountains
Select the correct answer using the codes given below:",1 and 4,"1,2, 3 and 4","2,3 and 4","1,2 and 3",CDS,2015.0
291,"Ifa ship has to go from Chennai to Kochl,it has to go around Sri Lanka rather than crossing through the Palk Strait. Why?",The Palk Strait has disputed islands and the Sri Lankan Navy does not allow the ships to cross through,It is too shallow for ships to cross,Shipping is prohibited through the strait due to its religious significance connected with the epic Ramayana,The sround Sri Lanka route is actually shorter than crossing through the Palk Strait,CDS,2015.0
292,"Consider the following statements with regard to cold waves In winter season in Northern India:
1. There is lack of maritime influence.
2. Northern India is nearer to the Himalayan region.
3. Air mass comes from polar regions of Northern India.
Which of the statement(s) given above is/are correct?",Only 1,1 and 3,2 and 3,1 and 2,CDS,2015.0
293,"Match List 1 with List Il and select the correct answer using the codes given below the lists:
B, Satkosia Gorge 2. Goa
C. Pirotan Island 3. Odisha
Codes: 
ABCD",2 1 3 4,4 1 3 2,4 3 1 2,2 3 1 4,CDS,2018.0
294,"The following item consist of two statements, Statement I and Statement II.
You have to examine these two statements carefully and sclect the answers from these items using the codes given below:
Statement I: India’s offshore and deep sea fish catch is very poor considering the marine potential.
Statement Il: Indian coast does not have many gulfs, bays, estuaries and backwaters.
Codes:",Both the statements are individually true and statement II is the correct explanation of statement!,"Both the statements are individually true, but statement Il is not the correct explanation of statement I","Statement I is true, but statement 1E Is false","Statenent 1 is false, but statement II is true",CDS,2015.0
295,Which of the following would have happened If the Himalaya did not exist?,Monsoon rains would have taken place in winter months.,Coastal India would have experienced Mediterranean climate.,North Indian plain would have been much cooler in winter.,North-Western part of India would have experienced humid condition.,CDS,2014.0
296,"Which of the following method(s) is/are sultable for soil conservation tn hilly region?

1. Terracing and contour bunding
2. Shifting cultivation
3. Contour ploughing

Select the correct answer using the codes given below:",1 and 3,Only 2,Only 3,All of the above,CDS,2014.0
297,"What would be the Influence on the weather conditions when in mid-winter a feeble high pressure develops over the North-Western part of India

1. High and dry winds would blow outward from this high pressure area.
2. The Northern plain would become cold.
3. Scorching winds (locally called loo) would blow during the day of time.
4. There would be torrential rains brought by thunderstorms.
Select the correct answer using the codes given below:",1 and2,2 and 3,3 and 4,All of these,CDS,2014.0
298,Veliconda group of low hills is a structural pact of which of the following region?,Nilgiri Hills,Western Ghats,Eastern Ghats,Cardamom Hills,CDS,2014.0
299,Ganga water is being shared at Farakka with which one of the following countries?,Nepal,Bhutan,Bangladesh,Myanmar,CAPF,2022.0
300,Which of the following sets of Indian States are landlocked and do not have an International boundary?,"Andhra Pradesh. Pradesh, Chhattisgarh, Haryana, Jharkhand and Madhya Pradesh","Chhattisgarh, Haryana, Jharkhand, Madhya Pradesh and Telangana","Chhattisgarh, Haryana, Himachal Pradesh, Madhya Pradesh and Telangana","Andhra Pradesh, Chhattisgarh, Haryana, Himachal Pradesh and Madhya Pradesh",CAPE,2022.0
301,"Arrange the following passes from West to East direction:
1, Bara Lacha La
2. Shipki La
3. Jelep La
4. Bomdile
Select the correct answer using the code given below:",1-2-3-4,1-3-2-4,2-3-4-1,2-4-3-1,CAPP,2022.0
302,"Match List-I with List-II and select the correct answer using the code given below the Lists:

List-I (Type of . ""| List-Il (Characteristic

plain) . * | feature) .

A. Bhabar

[8 Bhangar [2 sit

C. Khadar

[D.Deta _[4. Kankar

Code: 
ABCD",3 2 4 1,3 4 2 1,1 4 2 3,1 2 4 3,CAPF,2022.0
303,"In which one of the following soils, the salt content Js so high that common salt ie obtained by evaporating the saline water in some areas?",Peaty soil,Alluvial soil,Laterite soil,Arid soi!,CAPF,2021.0
304,"Match List-I with List-Il and select the correct answer using the codes given below
the lists:

List-1 (Tributary) | List-11 (River) =

D.Chambal [4 indus

Codes: 
ABCD",1 3 2 4,l 2 3 4,4 3 2 1,4 2 3 1,CAPF,2021.0
305,Which one of the following is not a desert river?,Barak,Rupen,Banas,Machchu,CAPF,2021.0
306,"Consider the following statements:

1, River Kaveri has well developed valley.
2. Valley of River Alakananda is still growing
3. River Krishna 1s largest east Moving peninsular river.

Which of the statements given above is/are correct?",Only 1,1 and2,2 and 3,Only 2,CAPE,2020.0
307,Which one among the following stations receives maximum rainfall?,Hyderabad,Bengaluru,Delhi,Raipur,CAPF,2020.0
308,Which one of the following latitudes passes through maximum Indian states?,20° N latitude,22°N latitude,24°N latitude,26° N latitude,CAPF,2019.0
309,Gersoppa Falls is formed by which one of the following rivers?,Lohit,Tungabhadra,Sharavati,Krishna,CAPF,2018.0
310,"Which one of the following major river basins of Indta Is the shortest In length and smaller in terms of catchment area? 
 Cauvery",,Mahi,Penner,Sabarmati,CAPF,2018.0
311,Arabian Sea records higher salinity than the Bay of Bengal because,Avabian Sea exhibits high rate of evaporation and low influx of freshwater,Arabian Sea has shallow water,Arabian Sea has more enclosed land,Arabian Sea receives more rainfall,CAPE,2018.0
312,Which one of the following sites does not have coral reef formation?,Gulf of Cambay/Khambhat,Gulf of Mannar,Lakshadweep,Andaman and Nicobar Islands,CAPF,2018.0
313,Which one of the following does not pass through the Kaziranga National Park?,The Brahmaputra River,The Diphtu river,National Highway No. 37,Raitway Track of Indian Railway,CAPF,2017.0
314,Which one of the following statements about the Himalayas is not correct?,They are young fold mountains.,They have geosynctinal rocks.,"Himalayan Frontal faults (HFF) separates Himalaya from Tibet,",Indus and Sutlej rivers form antecedent drainage in Himalaya,CAPF,2017.0
315,The Bum-La Pass is located in,Sikkim,Arunachal Pradesh,Himachal Pradesh,Uttarakhand,CAPF,2017.0
316,Which one of the following rivers flows between Satpura and Vindhya ranges?,Tapt,Sabarmati,Narmada,Mahi,CAPF,2016.0
317,"Which of the following statements relating to Dharwar geological system are correct?

1. They belong to Archaean geological period
2. They are metamorphosed sedimentary rocks.
3. They are of great economic importance for its mineral resources.
4. They are found predominantly in Karnataka, Tamil Nadu, Odisha and Tharkhand.

Select the correct answer using the code given below.","1,2,3 and 4","2, 3and 4 only",1 and 4 only,1 and 2 only,CAPF,2016.0
318,"Q318, Which one among the following is the most plausible exptanation for the location of the Thar Desert in Western India?",Prevalence of sand dunes,The evaporation of nvoisture by heat,The absence of mountains to the North of Rajasthan to cause orographic rainfall in it.,The Moisture carried by the South-West Monsoon is driven away by the dry upper at current.,CAPF,2014.0
319,"Which of the following statements with regard to the Indian Peninsular Plateau is/ are correct?

1. The Southern plateau block ts formed mainly of granite and gneiss,
2. The Deccan lava plateau is an elevated tablet and consisting of horizontally arranged lava sheets.
3. The Malwa plateau dominates the Vindhyan scraps, forming the Eastern flank of the plateau.
4. The trough of the Narmada and Tapti is interposed between the Vindhyan end the Satpura ranges.

Select the correct answer using the codes given below.","1,2 and 3","1,2 and 4",1 and 2 only,4 only,CAPF,2014.0
320,Three important rivers of the Indian sub-contineat have their sowrce near the Manasarovar Lake in the Great Himslayas. Which among the following are the rivers?,"Indus, Jhelum and Sutlej","Sutlej, Yamuna and Brahmaputea","Brahmaputra, Indus and Sutlej","Sutlej, thetum and Yamuna",CAPF,2014.0
