q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
53,"Match list-I with list-II and select the correct answer using the codes given below the lists:

List-I (Courtier Poet)  List-II (King).
A.Amir Khusro           1.Chandragupta II
B.Kalidas               2.Samudragupta
C.Harisena              3.Harshvardhan
D.Banabhatta            4.Alauddin Khalji
Code: : 
A B C D",l 2 3 4,4 1 2 3,4 3 2 1,2 4 1 3,UPPCS (Pre),2003,b,"Exp) Option b is the correct answer.
Amir Khusro was a court poet of Alauddin Khalji, the
Sultan of Delhi, He wrote several Persian and Hindavi works,
such as Khazain-ul-Futuh, Nuh Sipihr and Qiran-us-Sa‘dain.
He also composed many poems in praise of Alauddin and his
military campaigns.
Kalidas was a court poet of Chandragupta WU, the
Gupta emperor. He wrote several Sanskrit works, such as
Abhijnanashakuntala, Raghuvamsha and Meghaduta. He
also glorified Chandragupta and his dynasty in his poems.
Harisena was a court poet of Samudragupta, the Gupta
emperor, He composed the Allahabad pillar inscription, which
celebrates Samudragupta’s conquests and achievements.
Banabhatta was a court poet of Harshavardhana, the
king of Thanesar and Kanauj. He wrote the biographical
work Harshacharita and the romantic novel Kadambari. He
also accompanied Harsha in his religious assemblies and
diplomatic missions."
54,Who of the following rulers had performed four Ashwamedhas?,Pushyamitra Shunga,Pravarasena-I,Samudragupta,Chandragupta-III,U.P.P.C.S.(Mains),2003,b,"Exp) Option b is the correct answer.
Pravarasena-I was the son of Vindhyashakti (founder of
the Vakataka empire). He performed four Ashvamedha
sacrifices.
Pushyamitra Shunga performed one  Ashvamedha,
Samudragupta performed one Ashvamedha, and
Chandragupta-II performed three Ashvamedha."
55,"The iron column, located in the courtyard of Delhi’s Quwwat-ul-Islam Mosque is retention of-",Ashoka,Chandra,Harsha,Anangapal,U.P.P.C.S (Pre),2002,b,"Exp) Option b is the correct answer.
The iron column, located in the courtyard of Delhi's
Quwwat-ul-Islam Mosque, is a retention of the Gupta
emperor Chandragupta II, who is also known as Chandra.
The column bears an inscription in Sanskrit that mentions
his name and praises his achievements. The inscription also
states that the column was originally erected on the hill of
Vishnupada, which is identified as the Udayagiri Caves in
Madhya Pradesh. The column was later moved to Delhi
by Anangpal Tomar, a ruler of the Tomara dynasty, in the
Lith century CE. The column is famous for its rust-resistant
composition of iron and phosphorus, which has preserved it
for over 1600 years."
56,Which one of the following pairs is not correctly matched?,Ravi Kirti - Pulakeshin II,Bhavabhuti - Yasovarman of Kannauj,Harisena - Harsha,Dandi - Narasimha Varman,U.P.P.C.S.(Pre),1997,c,"Exp) Option c is the correct answer.
Harisena was not the court poet of Harsha, but of
Samudragupta, the Gupta emperor. Harsha’s court poet was
Banabhatta. He wrote the biographical work Harshacharita
and the romantic novel Kadambari.
Important Tips |
« Ravi Kirti was the court poet of Pulakeshin II, the
Chalukya king. He composed the Aihole inscription,
which praises Pulakeshin’s conquests and achievements.

i Bhavabhuti was the court poet of Yasovarman of
Kannauj, the Varman king. He wrote several Sanskrit

plays, such as Malatimadhava and Uttararamacharita.

| He also participated in a religious assembly organized

oy Harsha at Kannauj.

! |

« Dandi was the court poet of Narasimha Varman,

the Pallava king. He wrote the famous Sanskrit
| prose romance Dashakumaracharita and the treatise
on poctics Kavyadarsha. He also witnessed the
construction of the Shore Temple at Mahabalipuram
| by Narasimha Varman. |"
57,The earliest specimen of ‘Kavya’ style is found in the inscription of:,Rudradaman of Kathiawar,Ashoka,Rajendra I,None of the above,U.P.P.C.S.(Pre),1997,a,"Exp) Option a is the correct answer.
The earliest example of the ‘Kavya’ style is found in the
Junagadh inscription of Rudradaman in Kathiawar, dated
around 150 CE. Rudradaiman | was a Saka ruler from the
Western Kshatrapas dynasty. The inscription, in Sanskrit
prose, praises Rudradaman I and offers historical records. It
combines classical Sanskrit with features of the vernacular
style, reflecting early Kavya characteristics.
| Important Tips |
| Rudradaman I: |
,¢ Rudradaman | was a Saka king from the Western |
| Kshatrapas dynasty.
ie His realm included Konkan, Narmada valley,
Kathiawar, Gujarat, and Malwa.

o He repaired the Sudarshana Lake in Kathiawar |
| and converted to Hinduism after marrying a Hindu |
woman. |
\° Rudradaman wrote the first lengthy chaste Sanskrit |

inscription, |
e¢ Acquiring the title of Maha Kshatrapa, he maintained
marriage ties with the Satavahanas.

eo The Junagadh inscription (150 CE) attests his efforts in

promoting arts, literature, and lake restoration. |
-o Rudradaman’s reign also saw Yavanesvara’s ""
| translation of Yavanajataka from Greek to Sena |"
58,The Gandhara School of art is the synthesis of:,Indian and Persian Art,Indian and Chinese Art,Indian and Turk-Afghan Art,Indian and Greek Art,U.P.P.C.S.(Pre),1996,d,"Exp) Option d is the correct answer.
fhe Gandhara School of art is a synthesis of Indian and
Greek art. This school of art emerged during the reign of
Kushana emperor Kanishka. It blended Greco-Roman artistic
elements with Indian ideas and was closely associated with
Mahayana Buddhism. The Bamiyan Buddha statues stand as
prominent examples of the Gandhara style’s fusion of these
artistic influences.

Important Tips |

| Gandhara School of Art - Major Features:

e Geographical Presence: Gandhara sculptures

discovered in Taxila ruins and other ancient sites in
Afghanistan and Pakistan. ]

« Subject Matter: Primarily Buddha images and relief |
| sculptures capturing scenes from Buddhist literature. |
Central Focus: Artistry centered on Lord Buddha |

and Bodhisattvas, deeply connected with Mahayana j
| Buddhism, blending Indian ideas with distinct
| execution. The Bamiyan Buddha sculptures exemplify
Gandhara style’s brilliance
|» Prominent Sites: Flourished in regions such as Taxila,

Peshawar, Begram, and Bamiyan. |

¢ Flourishing Period: Thrived from the Ist century BCE |
to the 4th century CE.
© Yhemes and Expressions: Buddhist narratives
. strongly reflected in Gandhara art, with depictions
like Buddha’s mother resembling an Athenian matron.

A blend of Eastern and Western aesthetics is seen, such

as the portrayal of a Buddhist scene with Apollo-like |
| facial features. |"
59,Information regarding time of Harsha is contained in the book of:,Harisena,Kalhana,Kalidasa,None of these,UPPCS (Pre),1995,b,"Exp) Option b is the correct answer.
The information regarding the time of Harsha is contained
in the book written by Kalhana. Kalhana was a Kashmiri
historian and poet who authored the “Rajatarangini,”
a historical chronicle of the kings of Kashmir. The
Rajatarangini provides valuable historical information about
the reign of Harsha and other rulers.
| Important Tips

Facts about Rajatarangini:

© The Rajatarangini is considered as one of the earliest
| and most reliable sources of Indian history.

a It covers the period from the mythical origins of
| Kashmir to the 12th century CE, when Kalhana lived.

¢ The Rajatarangini is written in Sanskrit verse and

consists of eight chapters, each containing a genealogy

and a narrative of a dynasty. !
| * It mentions several important events and personalities

that shaped the Indian subcontinent, such as the

invasions of Alexander the Great, the Kushanas, the

Hunas, and the Arabs; the rise and fall of the Mauryas, |

the Guptas, the Harshavardhana, and the Palas;
and the achievements of Ashoka, Chandragupta JI,

Kumaragupta I, Skandagupta, Lalitaditya Muktapida, |

Jayapida, and Avantivarman. |"
60,Chinese traveller Hiuen Tsang studied at the University of-,Taxila,Vikramshila,Magadh,Nalanda,U.P.P.C.S.(Pre),1995,d,"Exp) Option d is the correct answer.

One of the most famous students of Nalanda was the
Chinese traveler Hiuen Tsang, also known as Xuanzang.
Hiuen Tsang visited India from 629 CE to 645 CE, during
which he traveled extensively across the subcontinent, He
visited Nalanda in 637 CE and stayed there for about five
years. He studied under the guidance of eminent teachers,
such as Shilabhadra and Dharmapala.

Hiuen Tsang also wrote a detailed account of his studies
and experiences at Nalanda in his famous work Si-Yu-Ki
or Records of the Western World. Hiuen Tsang’s writings
provide valuable information about the history, geography,
society, religion, and culture of India during Harsha’s reign.
| Important Tips

* Taxila was an ancient city in present-day Pakistan,

| which was a center of learning, culture, and trade.
Taxila was founded by the Achaemenid Persians in the
6th century BCE and later ruled by various dynasties,
such as the Mauryas, the Indo-Greeks, the Kushanas, |
and the Guptas. Taxila had a famous university
that offered courses in various subjects, such as law, |
medicine, art, and religion. Taxila was also a hub of

Buddhism and had many monasteries and stupas.

'e Vikramshila was a famous Buddhist university in
ancient India, which was located in present-day Bihar.
Vikramshila was founded by Dharmapala, the king of
the Pala dynasty, in the 8th century CE. Vikramshila
was a center of learning, culture, and religion,
and specialized in the study of Tantric Buddhism.
Vikramshila had a large campus that housed many
temples, libraries, and dormitories. |"
61,"Consider the following name of contemporaries of Kanishka and select the correct answer from codes given below:
(I) Ashvaghosha
(II) Vasumitra
(III) Kalidas
(IV) Kamban
Code:",I and IV,II and III,I and II,All of these,U.P.P.C.S.(Pre),1994,c,"Exp) Option c is the correct answer.

Ashvaghosha and Vasumitra were contemporaries of

Kanishka. Ashvaghosha was a Buddhist scholar and

author who wrote several important texts, including the

Buddhacarita and the Saundarananda. Vasumitra was

a Buddhist monk who presided over the 4th Buddhist

Council. Kalidasa and Kamban were not contemporaries

of Kanishka. Kalidasa lived in the 5th century CE, while

Kamban lived in the 12th century CE.

Important Tips

+ ASvaghosha (c. 80 - c. 150 CE) was an Indian
Buddhist philosopher, poet, and dramatist from
Saketa (Ayodhya). He’s believed to be a spiritual |
adviser to Kanishka, a contemporary. He’s known as
the first Sanskrit dramatist and a great poet before |

Kalidasa. Ashvaghosha wrote several important texts,

inclading the Buddhacarita and the Saundarananda.

« Vasumitra, a 2nd-century CE Buddhist monk from
Gandhara, was a contemporary of Kanishka I. He led
the 4th Buddhist council in Kashmir under Kanishka’s
administration and played a role in shaping the
Mahavibhasha. |

* Kalidasa, a prominent Classical Sanskrit author of ;

‘ the 4th-5th century CE, is revered as ancient India’s

F premier poet and playwright. His notable works
include the plays “Shakuntala.” “Malavikagnimitra,”
and “Vikramorvasiya, along with epic poems
“Raghuvamsha” and “Kumarasambhava,” showcasing
his profound literary contributions.

« Kambar, an esteemed Tamil poet (1180-1250
CE), authored the epic “Ramavataram” or
“Kambaramayanam,’ a notable’ rendition of
Ramayana in Tamil. His literary contributions
include “Thirukkai Vazhakkam,” “Erezhupathu,”
“Silaiyezhupathu,” “Kangai Puranam,” “Sadagopar
Anthathi,” and “Saraswati Anthathi”"
62,"During which age, did women enjoy equality with men?",Gupta age,Mauryan age,Cholas,None of these,U.P.P.C.S.(Pre),1994,d,"Exp) Option d is the correct answer.

Women did not enjoy equality with men in any of the given

ages.

« In the Gupta age, the position of women gradually
deteriorated and they lost their political rights.

« In the Mauryan age, women were considered as
subordinate to men and were recognised only as wives
and mothers.

e Inthe Chola age, women had some rights and privileges,
but they were still subject to the authority of their
husbands and fathers."
63,Which dynasty was most powerful after Maurya in Southern India?,Satvahana,Pallava,Chola,Chalukya,U.P.P.C.S.(Pre),1993,a,"Exp) Option a is the correct answer.

The Satavahana dynasty was the most powerful dynasty in

Southern India after the Maurya dynasty. They ruled over

the Deccan region, comprising present-day Andhra Pradesh,

Telangana, and Maharashtra, and at different times, their

rule extended to parts of modern Gujarat, Madhya Pradesh,

and Karnataka. The dynasty began around the late second
century BCE and lasted until the early third century CE.

The Satavahanas established peace in the Deccan region and

resisted foreign invasions, notably from the Saka (Western

Satraps). Their rule reached its peak under rulers like

Gautamiputra Satakarni and Vasisthiputra Pulamavi.

They also played a significant role in trade and cultural

exchanges between the northern and southern parts of India."
64,When was Vikram Samvat started?,78 A.D.,57 B.C.,72 B.C.,56 B.C.,U.P.P.C.S.(Pre),1992,b,"Exp) Option b is the correct answer.

Vikram Samvat, also known as Bikram Sambat, began

around 57 B.C. The calendar system, used in Nepal and

some states of India, is approximately 57 years ahead of the

Gregorian Calendar.

The Samvat is named after the legendary king Vikramaditya,

though historical records show its use only from the 9th

century. The calendar’s origin is linked to the expulsion
of the Sakas from Ujjain by King Vikramaditya,
cominemorated by the start of the Vikrama era.

It is a lunisolar calendar based on the moon’s movement

with 354 days in a year. It has 12 months, each with two

phases - Shukla paksha (new moon to full moon) and

Krishna paksha (full moon to new moon). It begins after

Diwali in Gujarat and Maharashtra.

er ne ee
Important Tips ;
Types of calendars in India: |
e Saka Samvat:
« Anancient Indian calendar used alongside Vikram
, Samvat.
e Begins in 78 A.D. marking Saka cra and King |
Shalivahana’s victory.
| 2 Used in some regions, mainly for religious purposes. |
« Hijri Calendar:
oe Islamic lunar calendar with 12 months and
354/355 days.
e« Starts in AD 622 during Prophet Muhammad’s
| migration (Hijra) from Mecca to Medina.
e Determines Islamic holidays, fasting, and
pilgrimage timings. |
e 12months like Muharram, Safar, etc.
+ Gregorian Calendar:
| « Introduced in 1582 by Pope Gregory XHI as a
correction to the Julian Calendar.
| + Most widely used worldwide. |
* 365/366 days in a year, adjusting leap years. |
e Months like January, February, etc."
65,Which (among these) are Guptas gold coins?,Kaudi,Dinara,Nishka,Pan,"U.P.P.C.S,.(Pre)",1992,b,"Exp) Option b is the correct answer.
Dinara was the name of the gold coins issued by the Gupta
xulers in ancient India, The word Dinara is derived from
the Latin word Denarius, which was a silver coin used by the
Roman Empire. The Gupta kings adopted the Dinara as a
symbol of their political and economic ties with the Romans.
The Dinara ce‘ns were made of pure gold and weighed
about 8 grams. They had various designs and inscriptions
on both sides, depicting the images and names of the Gupta
kiags, their quecas, their gods, and their symbols. Some of
the most famous Dinara coins are those of Samudragupta,
Chandragupta I, and Rusmaragupta I.
Important Tips |
Important coins during ancient time:
o In ancient times, cowry popularly Known as kaudi |
| (shell) was used worldwide as shell money. |
° ‘he official currency of Mauryans was Pan. Pan was
| made up of silver and equivalent to % tola.
« Nishka was the gold coin of Mauryans."
66,Emperor Harsha had shifted his capital from Thaneshwar to-,Prayaga,Delhi,Kannauj,Rajgriha,U.P.P.C.S.(Pre),1992,c,"Exp) Option c is the correct answer,
Emperor Harsha had shifted his capital from Thaneshwar
(now in Haryana) to Kannanj (now in Uttar Pradesh) after
he defeated the Maukhari king Avantivarman and annexed
his territory. Kannauj was a prosperous and cosmopolitan
city that became the center of Harsha’s vast empire. It
extended from Punjab to Bengal and from Himalayas to
Narmada, Kannauj was also the venue of the famous religious
assembly that Harsha organized in 643 CE. It was attended

by thousands of monks, scholars, and dignitaries from India
and abroad."
67,Who of the following among the Nine Gems of Chandragupta was associated with Astrology?,Vararuchi,Sanku,Kshapanak,Amarsimisa,UP.Lower Sub.(Spl) (Pre),2008,c,"Exp) Option c is the correct answer.
Kshapanak was an ancient Indian astronomer and
astrologer who was one of the Nine Gems of Chandragupta
IH. His important works is Jyothisyashastra. His other
work in lexicography and poem called Dvatrishatika. The
Nine Gems were a group of scholars, artists, and ministers
who adorned the court of Chandragupta and contributed
to his glory and success. The other gems are Dhanvantri,
Amarasimha, Vararuchi, Sanka, Vetala Bhatta,
Ghatakarpara, Kalidasa and Varahmihra."
68,Which of the following places was the capital of Satvahanas?,Pratisthan,Nagarjuna Konda,Shakal or Sialkot,Pataliputra,U.P.Lower (Spl) (Pre),2008,a,"Exp) Option a is the correct answer.
The Satavahane dynasty, which vuled during the ancient
period in India, initially established their capital at
Pratisthan, also known as Paithan, located along the banks
of the Godavari River in present-day Maharashtra. This
location offered strategic advantages due to its proximity
to a major river, facilitating trade and communication.
The fertile lands around the Godavari provided agricultural
resources to support the growing kingdom. Additionally,
being situated in the Deccan region allowed them to
maintain control over important trade routes that connected
northern and southern India. As the dynasty expanded its
territories and influence, the capital was eventually shifted
to Amaravati, which had its own strategic significance."
69,Who amongst the following issued gold coins regularly in ancient India,Satavahana,Saka,Kushan,Parthian,U.P.Lower Sub.(Pre),2004,c,"Exp) Option c is the correct answer.
The Kushan Empire, which existed from approximately
30 to 375 CE, was known for issuing gold coins regularly
in ancient India. Kadphises II was the Kushana emperor
to first introduce gold coinage, in addition to the existing
copper and silver coinage. ‘These gold coins, weighing around
7.9 grams were a prominent feature of their coinage system,
reflecting the empire’s economic and political power. The
designs on these coins often depicted deities and rulers,
following Hellenistic styles of image. The Kushan rulers
used their gold coins to assert their authority and influence,
and these coins played a significant role in trade and
commerce during that period.

linportant Tips |
Kushan Coinage: A Glimpse into Kushan Economy and
Culture
[> Main Coins and Composition

e Inthe coinage of the Kushan Empire (approximately
30-375 CE), gold coins were predominant, weighing
7.9 grams.

« Wima Kadphises or Kadphises H conquered the
whole of northwestern India as far as Mathura. He
issued gold coins with high-sounding titles like the

| ‘Lord of the Whole World’.

¢ Base metal coins of various weights (12 g to 1.5 g)
were also issued; silver coinage was limited, and
later gold coins were debased with silver.

¢ Design and Influences
| ¢ Artistic quality of dies was slightly lower than
Greco-Bactrian coins.
; e Roman coin influence evident in late lst and 2nd
century CE designs, and in mint practices.

» Iranian influence seen in royal figures and deity

pantheon, with Persian titles under Kanishka.
« Historical Insights from Coins

e ‘lamga symbols on coins functioned as rulers’
monograms.

« Coins hint at a semi-independent empire structure,
with regional autonomy."
70,The game of Chess is said to have originated in-,China,Iran,Indonesia,India,U.P.Lower Sub.(Spl) (Pre),2004,d,"Exp) Option d is the correct answer.

The game of chess is said to have originated in India in
the 6th century CE. The earliest precursor of chess was a
game called chaturanga, which means “four divisions”
in Sanskrit. The four divisions were the infantry, cavalry,
elephants, and chariots, which later evolved into the modern
pawn, knight, bishop, and rook. Chaturanga spread to Persia,
where it was called chatrang, and then to the Arab world,
where it was called shatranj. From there, it reached Europe
through trade and conquest, and underwent further changes
in rules and pieces. Chess is now one of the most popular and
widely played games in the world, with millions of players
and fans."
71,"Read these statements:

Assertion (A): Kushans traded through Gulf of Persian and Red Sea.
Reason (R): Their well organised naval force base was highly qualified.
In context to the above which is the correct answer:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.Lower Sub.(Pre),1998,c,"Exp) Option c is the correct answer.

Assertion is true: The Kushans established a trade network
that connected the Indian Ocean trade routes through
the Gulf of Persian and the Red Sea with the Silk Road’s
commerce. Their expansive dominion spanned from the
Aral Sea across modern-day Uzbekistan, Afghanistan,
and Pakistan, facilitating trade between these regions and
northern India.

Reason (R) is false: The Kushans did not possess a well-
organized naval force or highly qualified naval bases. Their
influence primarily extended over land routes, and there is no
significant historical evidence to-suggest their involvement
in extensive maritime activities or naval infrastructure."
72,Who laid the foundation of Vardhana dynasty?,Pushyabhuti,Rajyavardhana,Adityavardhana,Prabhakarvardhana,67 BPSC (Pre) (Re-Exam),2022,d,"Exp) Option d is the correct answer.

Prabhakarvardhana was the founder of the Vardhana
dynasty, also known as the Pushyabhuti dynasty. They
were feudatories of the Guptas empire. It ruled over parts
of northern India from the 6th to the 7th century CE.
Prabhakarvardhana was a powerful king who defeated
the Hunas and performed the Ashvamedha sacrifice. He
was also a patron of Buddhism and Jainism. He had two

sons, Rajyavardhana and Harshavardhana, and a daughter,
Rajyashri. Rajyavardhana succeeded him but was killed
by the ruler of Malwa, Harshavardhana then avenged his
brother’s death and became one of the greatest emperors of
India."
73,Which Gupta ruler assumed the throne after killing his elder brother?,Shri Gupta,Samudragupta,Chandragupta II,Skandagupta,BPSC (Pre) (Re-Exam),2022,c,"Exp) Option c is the correct answer.
Chandragupta IT assumed the throne after killing his elder
brother Ramagupta, who was the designated successor of.
Samudragupta. Ramagupta was a weak and incompetent ruler
who failed to protect his kingdom from the invasion of the
Saka king Rudrasimha Il]. He agreed to surrender his wife
Dhruvadevi to the Saka king as a ransom, but Chandragupta
II intervened and killed both Ramagupta and Rudrasimha III
in a daring coup. He then married Dhruvadevi and became
the king of the Gupta Empire. This story is narrated in a
Sanskrit political drama called Devichandraguptam,
which was written by Vishakhadeva, who is generally
identified with Vishakhadatta."
74,Who among the following was the first to explain that the rotation of the earth on its own axis accounts for the daily rising and setting of the sun?,Aryabhatta,Bhaskara,Brahmagupta,Varahmihira,64 BPSC (Pre),2018,a,"Exp) Option a is the correct answer.
Aryabhatta was an ancient Indian astronomer and
mathematician who was the first to explain that the
rotation of the earth on its own axis accounts for the
daily rising and setting of the sun. He wrote a treatise on
mathematics and astronomy called the Aryabhatiya, which
contains many original and remarkable discoveries.
In the Aryabhatiya, Aryabhatta stated that the earth is
spherical and rotates on its own axis at a constant speed. He
also stated that the sun and the moon are also spherical and
revolve around the earth in elliptical orbits. He calculated
the value of pi as 3.1416 and the circumference of the earth
as 24,835 miles. He also explained the causes of eclipses,
solstices, equinoxes, and seasons. He also devised various
methods for solving algebraic equations, trigonometric
problems, and astronomical calculations.

Important Tips

¢ Brahmagupta: He was a 7th century CE mathematician
and astronomer who wrote two influential works:
Brahmasphutasiddhanta and Khandakhadyaka.

e Varahamihira: He was a 6th century CE astrologer
and polymath who wrote several works on astronomy,
astrology, mathematics, and natural sciences. His most
famous works are Panchasiddhantika, Brhatsamhita,
and Brihatjataka, _. _ |"
75,"Chinese traveller ‘Sungyun’ was came to
India in:",515 AD to 520 AD,525 AD to 529 AD,545 AD to 552 AD,592 AD to 597 AD,60th to 62nd B.P.S.C.(Pre),2016,a,"Exp) Option a is the correct answer.

Sungyun came to India in 515 CE along with the monk
‘Hui Zheng, Fa Li, and Zheng Fouze’, during the reign of
Buddhist Empress Hu who belongs to the ‘Northern Wei
Dynasty. Song Yun, who was originally from Dunhuang in
China. In 518 they left Wei capital Luoyang and returned
in the winter of 520 CE along with 117 Mahayana Buddhist

texts. Fortunately, several valuable pieces of information
about their journey have been conserved in Loyang Jielanji
of Yang Xianzhi and other texts. He visited the Swat valley in
northwestern India and wrote the account of the Gandhara
dynasty."
76,Which type of land was called ‘Aprahat’?,Without cultivated forest land.,Irrigated land.,Dense forest land.,Cultivated land.,60th to 62nd B.P.S.C.(Pre),2016,a,"Exp) Option a is the correct answer.

Aprahat was one of the 12 types of land that was classified
depending on soil fertility, irrigation, and physical features
of the land. Aprahat was basically referred to as woodland
or field with thick and dense shrubs and trees. Information
about Aprahat can be found in Amarakosha written by
Amarsimha (one of the courtiers of Chandragupta 11 of
the Gupta dynasty). The other types of land were Kshetra
(cultivable land), Khila (wasteland), Vasti (habitable land),
Gapata Sarah (pasture land), etc."
77,Who is called 'the Napoleon of Ancient India'?,Chandragupta Maurya,Pushyamitra,Kanishka,Samudragupta,56th to 59th B.P.S.C.(Pre),2015,d,"Exp) Option d is the correct answer.

Samudragupta was the second emperor of the Gupta
dynasty and is known as one of India’s best rulers. His
brilliant leadership and valiant victories earned him the title
of ‘Napoleon of India’. He was a great conqueror who carried
his sword throughout the length and breadth of India and
built the mighty Gupta Empire. Ife annexed a large number
of kingdoms in Aryavarta to the Gupta Empire and defeated
at least twelve kings of South India, He was also a great
patron of art, a skilled musician, and a generous ruler who
maintained peace and amity among his people. He issued
seven different types of coins that reflected his achievements
and personality. He performed the Ashvamedha sacrifice
to assert his sovereignty and power. He was compared to
Napoleon by the British historian V.A. Smith, who admired
his military prowess and expansionist policy. However,
unlike Napoleon, Samudragupta was not power-hungry
and never faced defeat or exile."
78,The Gupta emperor who defeated the ‘Hunas’ was:,Samudragupta,Chandragupta-II,Skandagupta,Ramagupta,53rd to 55th B.P.S.C.(Pre),2011,c,"Kxp) Option c is the correct answer.

Skandagupta defeated the Hunas, who were a nomadic tribe
from Central Asia that invaded India in the Sth century CE.
The Hunas were led by Toramana and his son Mihirakula,
who were ruthless and oppressive rulers. They destroyed
many temples, monasteries, and cities in northern India. He
restored peace and prosperity in his kingdom and protected
the culture and civilization of India . He is praised for his
heroism and courage in the Bhitari Pillar Inscription,
which was composed by his court poct Harishena. The
inscription also mentions his other achievements, such as
his victory over the Vanga kings, his generosity towards his
subjects, and his devotion to his father."
79,Who among the following kings had heavily leaned towards Jainism?,Dashratha,Brihadratha,Kharavela,Huvishka,48th to 52nd B.PS.C.(Pre),2008,c,"Exp) Option c is the correct answer.

King Kharavela of Kalinga, ruling during the second or
first century BCE, strongly embraced Jainism. He was a

great patron of Jainism and is known for his patronage of
the construction of Jain temples and stupas. Hathigumpha
inscription show that Kharavela was deeply committed to
Jainism and that he believed that it was the best way to live a
moral and fulfilling life."
80,Who has written the ‘Harshacharita’?,Aryabhatta,Banabhatta,Vishnugupta,Parimalgupta,47th B.B.S.C.(Pre),2005,b,"Exp) Option b is the correct answer.
Banabhaita was a court poet and biographer of Harsha.
Banabhatta wrote the Harshacharita, which is a Sanskrit
prose work that narrates the life and achievements of Harsha.
The Harshacharita is one of the most important sources of
indian history and culture for the 6th and 7th centuries CE.
Important Tips |
¢ Vishnugupta: Vishnugupta was the last known ruler |
of the Gupta dynasty, who reigned from 540 CE to 550 |
| CE. He was the son and successor of Kumaragupta II,
| who had lost most of the Gupta empire to the Huna
invaders. Vishnugupta tried to restore the Gupta glory
by fighting against the Hunas, but he was unsuccessful. |
e Parimalgupta: Parimalgupta was a ruler of the Later
Gupta dynasty, who ruled from 560 CE to 580 CE.
He was the son and successor of Adityasena, who had |
revived the Later Gupta power in Magadha after a
| period of decline. |"
81,King Kharavela is related to -,Piller inscription of Girnar,Piller inscription of Junagarh,Hathigumpha inscription,Sarnath inscription,43rd B.P.S.C.(Pre),1999,c,"Exp) Option ¢ is the correct answer.
King Kharavela is related to the Hathigumpha inscription.
The Hathigumpha inscription, found in the Udayagiri
hills near Bhubaneswar, Odisha, is attributed to Jain king
Kharavela of the Kalinga kingdom. Dated between the 2nd
century BCE and the 1st century CE, it provides insights
into Kharavela’s biographical sketch, religious values,
infrastructuxe projects, military endeavors, society, and
culture. The inscription is considered a significant historical
source for the region."
82,What was the land revenue rate in Gupta age?,Fourth part of the production,Sixth part of the production,Eighth part of the production,Half part of the production,"42nd B.B.S.C, (Pre)",1997,b,"Exp) Option b is the correct answer.
The land revenue during the Gupta period was generally
fixed at one-sixth of the produce. This was the main source
of income for the Gupta empire. The land revenue was
collected by the Kumaramatyas, who were appointed by the
king. The land revenue was also used for public welfare works
such as building roads, temples, and irrigation facilities."
83,During Hiuen Tsang tour in India most famous city for the production of cotton clothes was-,Varanasi,Mathura,Pataliputra,Kanchi,41st B.P.S.C.(Pre),1996,b,"xp) Option b is ihe correct answer.
During Hiuen Tsang’s tour in india, one of the most famous
cities for the production of cotton clothes was Mathura.
Mathura was renowned for its textiles, including cotton
fabrics, and it played a significant role in the trade and
production of such textiles during ancient times."
84,The gradual decline of towns was an important feature of which period?,Gupta period,Pratihara era,Rashtrakut,Satavahana era,40th B.P.S.C.(Pre),1995,a,"Exp) Option a is the correct answer.

The gradual decline of towns was an important feature

of the Gupta period, which lasted from the 4th to the 6th

century CE in India, It faced several challenges and problems
that led to the decline of urbanization and civilization.

Some of the factors that contributed to the decline of towns

during the Gupta period are:

« Invasion of the Hunas (Hephthalites), a nomadic tribe
from Central Asia, who attacked and plundered many
towns and cities in northern India.

° The decline of the central authority and the rise of
regional powers, who asserted their independence and
autonomy from the Gupta Empire. The Gupta rulers
faced many rebellions and revolts from their feudatories,
governors, and vassals, who challenged their supremacy
and legitimacy.

° The deterioration of the economic and _ social
conditions, which affected the prosperity and stability
of the towns and cities. The Gupta rulers imposed heavy
taxes and tributes on the people to finance their wars and
administration. The people also suffered from famines,
epidemics, floods, droughts, and other natural calamities."
85,Which ruling dynasty donated maximum villages to temples and Brahmins?,Gupta Dynasty,Pala Dynasty,Rashtrakuta,Pratihara,39th B.P.S.C.(Pre),1994,a,"Exp) Option a is the correct answer.

Gupta Dynasty was the ruling dynasty that donated

maximum villages to temples and Brahmins in ancient

India. The Gupta rulers donated many villages to the

temples and Brahmins as a form of religious merit, political

loyalty, and social welfare. The donations were recorded in
inscriptions, copper plates, and stone pillars that mention
the names of the donors, the recipients, the villages, the
boundaries, the rights, and the privileges.

Important Tips

Significant facts about village donation during Guptra

period:

« The villages donated by the Gupta rulers to the temples
and Brahmins were called Agraharas or Brahmadeyas.

« These villages were exempted from taxes and duties
and enjoyed autonomy and immunity from royal
interference,

+ The temples and Brahmins used the income from these

__- villages to maintain their religious activities, such as

| worship, rituals, festivals, pilgrimages, education, and

charity.

* The temples and Brahmins also provided various
services to the villagers, such as irrigation, health care,
justice, and protection."
