Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
55, <p>Consider the following statements:</p><p>1. NTPC is the largest power utility in India.</p><p>2. ONGC accounts for half of the LPG production in India.</p><p>3. Indian Oil Corporation operates all the oil refineries in India.</p><p>4. The Indian Ordinance Factory is the largest departmentally run industrial undertaking in the country.</p><p>Which of these statements is/are correct ?</p>,(a)  1 only,(b)  2 and 3,"(c)  2, 3 and 4",(d)  1 and 4,Economics,d,Difficult,tFundamental(F),"<ul><li>National Thermal Power Corporation (NTPC) incorporated in 1975 is a Schedule ‘A’ ‘Navaratna Company, is the largest power utility in India. GAIL (India) Limited is the largest natural gas processing, transmission and distribution company in India. Alongwith ‘IOC’, some private companies like ‘Reliance’ are involved in oil refining in India.</li></ul>"
56, <p>Consider the following:</p><p>1. Currency with the public </p><p>2. Demand deposits with banks</p><p>3. Time deposits with banks</p><p>Which of these are included in Broad Money (M 3) in India ?</p>,(a)  1 and 2,(b)  1 and 3,(c)  2 and 3,"(d)  1, 2 and 3",Economics,d,Medium,Fundamental(F),"<ul><li>Broad Money (M3) comprises of currency with public, demand deposits and time deposits with banks.</li></ul>"
57, <p>Which one of the following committees recommended the abolition of reservation of items of the small scale sector in industry ?</p>,(a)  Abid Hussain Committee,(b)  Narasimhan Committee,(c)  Nayak Committee,(d)  Rakesh Mohan Committee,Economics,a,Easy,Fundamental(F),<ul><li>Abid Hussain Committee recommended for the abolition of reservation of items for Small Scale Sector in Industry.</li></ul>
58," <p>With reference to the Wholesale Price Index (WPI), consider the following statements :</p><p>1. The new WPI series with base 1993-94 = 100 became effective from April 1998.</p><p>2. In the new WPI series, the weight for primary articles has gone down by 10 percentage points.</p><p>3. The weight for electricity has increased in the new WPI series.</p><p>Which of these statements are correct ?</p>","(a)  1, 2 and 3",(b)  2 and 3,(c)  1 and 3,(d)  1 and 2,Economics,b,Medium,,<ul><li>The new WPI series with base 1993-94 = 1000 became effective from April 2000.</li></ul>
59," <p>Global capital-flows to developing countries increased significantly during the nineties. In view of the East Asian financial crisis and Latin American experience, which type of inflow is good for the host country?</p>",(a)  Commercial loans,(b)  Foreign Direct Investment,(c)  Foreign Portfolio Investment,(d)  External Commercial Borrowings,Economics,b,Easy,Applied(A),<ul><li>Foreign Direct Investment is good for the host country as this type of capital is hot money as portfolio investment which can float overnight with differential interest rates in the international markets.</li></ul>
60," <p>In terms of value, which one of the following commodities accounted for the largest agricultural exports by India during the three year period from 1997 – 1998 to 1999 – 2000 ?</p>",(a)  Cereals,(b)  Marine products,(c)  Spices,(d)  Tea,Economics,b,Medium,Fundamental(F),<ul><li>Marine products valued at more than Rs. 6000 crore annually accounts for largest agricultural exports by India during 1997-98 to 1999-2000.</li></ul>
61, <p>Five Year Plan in India is finally approved by</p>,(a)  Union Cabinet,(b)  President on the advice of Prime Minister,(c)  Planning Commission,(d)  National Development Council,Economics,d,Easy,Fundamental(F),"<ul><li>“National Development Council”, a non-statutory body comprising of Prime Minister (Chairman of Planning Commission), Deputy Chairman and members of Planning Commission, Cabinet Ministers, Chief Ministers of the States and the Administrators of the States ruled by the Centre. It is the final authority to approve five year plan in India.</li></ul>"
62," <p>Among the following major stock exchanges of India, the exchange which recorded highest turnover during the year 2000-01 is</p>",(a)  Bombay Stock Exchange,(b)  Calcutta Stock Exchange,(c)  Delhi Stock Exchange,(d)  National Stock Exchange,Economics,a,Medium,Fundamental(F),"<ul><li>Bombay Stock Exchange (BSE) was established in 1875, the exchange is also the oldest in Asia. The market capitalization of BSE is Rs. 5 trillion. The BSE ‘SENSEX’ is a widely used market index for the BSE.</li></ul>"
63," <p>In the year 2001, the Prime Minister announced a five-year excise duty holiday for industries in . </p>",(a)  Cyclone prone coastal Andhra Pradesh,(b)  Border states of North-East,(c)  Earthquake ravages Kuthc district,(d)  Recently formed states of Chhattisgarh and Jharkhand,Current Affairs,c,Easy,Fundamental(F),
64," <p>Match List I with List II and select the correct answer using the codes given below the lists :</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""mceItemTable"" data-mce-style=""height: 82px;"" style=""height: 82px;"" width=""272""><tbody><tr><td valign=""top"" width=""157""><p><strong>List I</strong></p></td><td valign=""top"" width=""19""><p><strong> </strong></p></td><td valign=""top"" width=""125""><p><strong>List II</strong></p></td></tr><tr><td valign=""top"" width=""157""><p>A. Hiren Bhattacharya</p></td><td valign=""top"" width=""19""><p>:</p></td><td valign=""top"" width=""125""><p>1. Bharatnatyam dance</p></td></tr><tr><td valign=""top"" width=""157""><p>B. Malini Rajurkar</p></td><td valign=""top"" width=""19""><p>:</p></td><td valign=""top"" width=""125""><p>2. Hindustani vocal music</p></td></tr><tr><td valign=""top"" width=""157""><p>C. Pratibha Prahlad</p></td><td valign=""top"" width=""19""><p>:</p></td><td valign=""top"" width=""125""><p>3. Kuchipudi dance</p></td></tr><tr><td valign=""top"" width=""157""><p>D. Vempati Chinna Satyam</p></td><td valign=""top"" width=""19""><p>:</p></td><td valign=""top"" width=""125""><p>4. Puppetry</p></td></tr></tbody></table><p>      A B C D</p>",(a)  4 2 1 3,(b)  3 1 2 4,(c)  4 1 2 3,(d)  3 2 1 4,Indian Art and Culture,c,Difficult,tFundamental(F),<ul><li>Hiren Bhattacharya - Puppetry Malini Rajurkar - Bharatnatyam dance Pratibha Prahlad - Hindustani vocal music Vempati Chinna Satyam - Kuchipudi dance</li></ul>
65," <p>Assertion (A): Muhammad bin Tughlaq left Delhi, and, for two years lived in a camp called Swarga-dwari.</p><p>Reason (R): At that time, Delhi was ravaged by a form of plague and many people died.</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Ancient and Medieval History,a,Medium,Fundamental(F),"Because of plague in Delhi, Mohammad bin Tughlaq left Delhi and lived in a camp called Swarga-dwari for two years."
66, <p>The historian Barani refused to consider the state in India under Delhi Sultans as truly Islamic because</p>,(a)  The majority of the population did not follow Islam,(b)  The Muslim theologists were often disregarded,(c)  The Sultan supplemented the Muslim law by framing his own regulations,(d)  Religious freedom was accorded to non-Muslims,Ancient and Medieval History,c,Medium,Applied(A),"<ul><li>Because that, the Sultans had supplemented the Muslim Law by framing their own regulations, the historian 'Barani' has refused to consider the state in India under Delhi Sultans as truly Islamic.</li></ul>"
67," <p>With reference to medieval Indian rulers, which one of the following statements is correct ?</p>","(a)  Alauddhin Khalji first set up a separate ariz""s department",(b)  Balban introduced the branding system of horses in his military,(c)  Muhammad bin Tughlaq was succeeded by his uncle to the Delhi throne,(d)  Firoz Tughlaq set up a separate department of slaves,Ancient and Medieval History,d,Medium,Fundamental(F),"<ul><li>Firoz Tughlaq set up a separate department of slaves known as ""Diwan-i-Bandagan"". Separate ariz's department was set up by Balban. Allauddhin Khalji introduced the branding system of Horses in his military. Muhammad Bin Tughlaq was succeeded by his cousin Firoz Tughlaq.</li></ul>"
68, <p>The motive behind Shah Jahan’s Balkh campaign was to</p>,(a)  Secure a friendly ruler in Balkh and Badakshan which bordered Kabul,"(b)  Conquer Samarqandand Farghana, the Mughal homelands","(c)  Fix the Mughal frontier on the ‘scientific line’, the Amu Daria",(d)  Expand the Mughal Empire beyond the sub-continent,Ancient and Medieval History,a,Medium,Fundamental(F),"To secure a friendly ruler in Balkh and Badakshan which bordered Kabul, which helps in controlling the rebel Afghan tribes ruling near Gazani and Khyber."
69," <p>During the Indian freedom struggle, the Khudai Khidmatgars, who known as Red Shirts, called for</p>",(a)  The Union of Pashtun tribal areas n north-west with the Afghanistan,(b)  The adoption of terrorist tactics and methods for terrorizing and finally ousting the colonial rulers,(c)  The adoption of communist revolutionary ideology for political and social reform,(d)  The Pathan regional nationalist unity and a struggle against colonialism,History of Modern India,d,Easy,Fundamental(F),Khan Abdul Gaffar Khan or Frontier Gandhi led the Khudai Khidmatgars. It calls for the pathan regional nationalist unity and a struggle against colonialism.
70, <p>Assertion (A): The effect of labour participation in the Indian nationalist upsurge of the early 1930s was weak. </p><p>Reason (R): The labour leaders considered the ideology of Indian National Congress as bourgeois and reactionary.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,History of Modern India,a,Medium,Fundamental(F),The labour leaders with communist ideology considered the ideology of Indian National Congress as burgeosis and reactionary. Hence the participation of labour was very meager in the Indian Nationalist Upsurge in 1930’s.
71, <p>The last opportunity to avoid the partition of India was lost with the rejection of</p>,(a) Cripps Mission,(b) Rajagopalachari Formula,(c) Cabinet Mission,(d) Wavell Plan,History of Modern India,c,Medium,Fundamental(F),"<p>Based on the recommendations of Cabinet Mission Plan, elections were held to form Constituent Assembly for drafting a new Constitution. The Muslim League was reluctant to join the interim Government formed under the leadership of Jawaharlal Nehru. This with the rejection of Cabinet Plan by Muslim League, the last opportunity to avoid partition was lost.</p>"
72, <p>The members of the Constituent Assembly which drafted the Constitution of India were</p>,(a)  Nominated by the British Parliament,(b)  Nominated by the Governor General,(c)  Elected by the Legislative Assemblies of various provinces,(d)  Elected by the Indian National Congress and Muslim League,History of Modern India,c,Easy,Fundamental(F),"<ul><li>As per the Cabinet Mission Plan, the members of the Constituent Assembly which drafted the Constitution of India, were elected by the legislative assemblies of various provinces.</li></ul>"
73, <p>With which one of the following mountain tribes did the British first come into contact with after the grant of Diwani in the year 1765 ?</p>,(a)  Garos,(b) Khasis,(c)  Kukis,(d)  Tipperahs,History of Modern India,b,Difficult,tFundamental(F),Khasis were the first mountain tribes to come into contact with the British after the grant of Diwani in the year 1765.
74," <p>With reference to the period of extremist nationalist movement in India with its spirit of Swadeshi, which one of the following statements is not correct ?</p>",(a)  Liakat Hussain led the Muslim peasants of Barisal in their agitations,"(b)  In 1898, the scheme of national education was formulated by Satish Chandra Mukherjee",(c)  The Bengal National College was founded in 1906 with Aurobindo as the Principal,"(d)  Tagore preached the cult of Atmasakti, the main plank of which was social and economic regeneration of the villages",History of Modern India,a,Difficult,tFundamental(F),Barisal Movement was for breaking salt law during Civil Disobedience Movement. Liakat Hussain did not lead the Barisal movement of peasants.
75, <p>With reference to the Indian freedom struggle one of the following statements is not correct ?</p>,(a)  Hakim Ajmal Khan was one of the leaders to start a nationalist and militant Ahrar movement,"(b)  When the Indian National Congress was formed, Sayyid Ahmad Khan opposed it",(c)  The All-India Muslim League which was formed in 1906 vehemently opposed the partition of Bengal and separate electorates,(d)  Maulana Barkatullah and Maulana Obeidullah Sindhi were among who formed a Provisional Government of India in Kabul,History of Modern India,c,Difficult,tFundamental(F),"All India Muslim League which was formed in 1906 strongly supported the Partition of Bengal which led to the carving out of East Bengal with Muslim majority. Under the leadership of Aga Khan, they demanded separate electorate for the Muslims."
76, <p>Which one of the following submitted in 1875 a petition to the House of Commons demanding India’s direct representation in the British Parliament ?</p>,(a)  The Deccan Association,(b)  The Indian Association,(c)  The Madras Mahajan Sabha,(d)  The Poona Sarvajanik Sabha,History of Modern India,d,Medium,Fundamental(F),The Poona Sarvajanik Sabha submitted a petition in 1875 to the House of Commons demanding India’s direct representation to the British Parliament. Here except Poona Sarvajanik Sabha all others were founded later than 1875.
77, <p>The real intention of the British to include the princely states in the Federal Union proposed by the India Act of 1935 was to :</p>,(a)  Exercise more and direct political and administrative control over the princely states,(b)  Involve the princes actively in the administration of the colony,(c)  Finally effect the complete political and administrative take-over of all the princely states by the British,(d)  Use the princes to counter-balance the anti-imperialist doctrines of the nationalist leaders,History of Modern India,d,Medium,Applied(A),The British real intention was to use the princes to counter balance anti-imperialist doctrines of the nationalist leaders. The princes were loyal to the British authorities.
78," <p>Match List I (Acts of Colonial Government of India) with List II (Provisions) and select the correct answer using the codes given below the lists :</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""mceItemTable""><tbody><tr><td valign=""top"" width=""133""><p>(A) Charter Act, 1813</p></td><td valign=""top"" width=""18""><p align=""center"">:</p></td><td valign=""top"" width=""162""><p>1. Set up a Board of Control n Britain to fully regulate the East India Company""s affairs in India</p></td></tr><tr><td valign=""top"" width=""133""><p>(B) Regulating Act 1773</p></td><td valign=""top"" width=""18""><p align=""center"">:</p></td><td valign=""top"" width=""162""><p>2. Company""s trade monopoly in India was ended</p></td></tr><tr><td valign=""top"" width=""133""><p>(C) Act of 1858</p></td><td valign=""top"" width=""18""><p align=""center"">:</p></td><td valign=""top"" width=""162""><p>3. The power to govern was transferred from the East India Company to the British Crown</p></td></tr><tr><td valign=""top"" width=""133""><p>(D) Pitt""s India Act 1784</p></td><td valign=""top"" width=""18""><p align=""center"">:</p></td><td valign=""top"" width=""162""><p>4. The Company""s directors were asked to present to the British govt. all correspondence and documents pertaining to the administration of the company.</p></td></tr></tbody></table><p><br/></p><p>     A  B  C  D</p><p></p><br/>",(a)  2  4  3  1,(b) 1  3  4  2,(c)  2  3  4  1,(d)  1  4  3  2,History of Modern India,a,Medium,Fundamental(F),"<ul><li>A - 2, B - 4, C - 3, D - 1</li></ul>"
79," <p>Which one of the following Acts of British India strengthened the Viceroy""s authority over his executive council by substituting ""portfolio"" or departmental system for corporate functioning ?</p>","(a)  Indian Councils Act, 1861","(b) Government of India Act, 1858","(c)  Indian Councils Act, 1892","(d)  Indian Council Act, 1909",History of Modern India,a,Medium,Fundamental(F),"<ul><li>The Indian Councils Act, 1861 passed during Lord Cannings Viceroyality has strengthened the Viceroy’s authority over his executive Council by substituting 'portfolio' or departmental system for corporate functioning.</li></ul>"
80, <p>The President of Indian National Congress at the time of partition of India was</p>,(a)  C. Rajagopalachari,(b)  J.B. Kripalani,(c)  Jawaharlal Nehru,(d)  Maulana Abul Kalam Azad,History of Modern India,b,Easy,Fundamental(F),J.B. Kripalani was the President of INC at the time of Partition of India.
81," <p>With reference to colonial period of Indian history, Match Lit I with List II and select the correct answer using the codes given below the lists : </p><p>List I                                           List II </p><p>(Person)                                    (Event)</p><p> A. Macdonald.                        1. Doctrine of Lapse </p><p>B. Linlithgow.                          2. Communal Award </p><p>C. Dalhousie.                          3. August Offer </p><p>D. Chelmsford.                       4. Dyarchy </p><p>     A  B  C  D                                A  B  C  D</p>",(a)  3  2  1  4,(b)  3  2  4  1,(c)  2  3  1  4,(d)  2  3  4  1,History of Modern India,c,Difficult,tFundamental(F),"Ramsay Macdonald – Communal Award, Lord Linlithgow – August Offer, Lord Dalhousie – Doctrine of Lapse, Chelmsford – Dyarchy."
82, <p>Chapachur Kut is a festival celebrated in the state of</p>,(a)  Arunachal Pradesh,(b)  Assam,(c)  Mizoram,(d)  Sikkim,Indian Art and Culture,c,Difficult,tFundamental(F),Chapachur kut is a festival celebrated in the state of Mizoram.
83," <p>A hollow sphere of radius R, a hollow cube of side R and a thin circular plate of radius R, made up of the same material, are all heated to 200C above room temperature. When left to cool in the room, which of them will reach the room temperature first ?</p>",(a)  Circular plate,(b)  Cube,(c)  Sphere,(d)  All of them will reach the room temperature at the same time,gs_unclassified,c,Medium,Applied(A),The sphere will reach from temperature first because it holds maximum area that is exposed.
84, <p>Consider the following financial institutions of India:</p><p>1. Industrial Finance Corporation of India (IFCI).</p><p>2. Industrial Credit and Investment Corporation of India (ICICI).</p><p>3. Industrial Development Bank of India (IDBI).</p><p>4. National Bank for Agriculture and Rural Development (NABARD). </p><p>The correct chronological sequence of the establishment of these institutions is:</p>,"(a)  1, 2, 3, 4","(b)  2, 3, 4, 1","(c)  3, 4, 1, 2","(d)  4, 1, 2, 3",Economics,a,Difficult,tFundamental(F),"IFCI – 1948, ICICI – 1955, IDBI – 1964, NABARD – 1982."
85," <p>With reference to Power Sector in India, consider the following statements:</p><p>1. Rural electrification has been treated as a Basic Minimum Service under the Prime Minister’s Gramodaya Yojana.</p><p>2. 100 percent Foreign Direct Investment in power is allowed without upper limit.</p><p>3. The Union Ministry of Power has signed a Memorandum of Understanding with 14 States.</p><p>Which of these statements is/are correct ?</p>",(a)  1 only,(b)  1 and 2,(c)  2 and 3,(d)  3 only,Economics,b,Medium,Fundamental(F),Statement 3 is not correct as Power Ministry has not signed a Memorandum of Understanding with 14 states.
86, <p>A country is said to be in a debt trap if </p>,(a)  It has to abide by the conditionalities imposed by the International Monetary Fund,(b)  It has to borrow to make interest payments on outstanding loans,(c)  It has been refused loans or aid by creditors abroad,(d)  The World Bank charges a very high rate of interest on outstanding as well as new loans,Economics,b,Medium,Applied(A),A country is said to be in debt trap if it has to borrow to make interest payments on outstanding loans.
87, <p>Consider the following statements:</p><p>Full convertibility of the rupee may mean:</p><p>1. Its free float with other international currencies.</p><p>2. Its direct exchange with any other international currency at any prescribed place inside and outside the country.</p><p>3. It acts just like any other international currency.</p><p>Which of the statements are correct?</p>,(a)  1 and 2,(b)  1 and 3,(c)  2 and 3,"(d)  1, 2 and 3",Economics,a,Medium,Applied(A),Full Convertibility of the rupee means its free float with international currencies and its direct exchange with any international currency. Tarapore Committee has recommended for full convertibility of rupee but now in India only current account convertibility is possible.
88, <p>“World Development Report” is an annual publication of:</p>,(a)  United Nations Development Programme,(b)  International Bank of Reconstruction and Development,(c)  World Trade Organization,(d)  International Monetary fund,Economics,b,Medium,Fundamental(F),“World Development Report” is annual publication of “International Bank of Reconstruction and Development” or the “World Bank”.
89," <p>Consider the following statements:</p><p> The Draft Electricity Bill, 2001 seeks to replace</p><p>1. Indian Electricity Act, 1910</p><p>2. Electricity (Supply) Act, 1948</p><p>3. Electricity Regulatory Commission Act, 1998</p><p>4. State Electricity Boards</p><p>Which of these statements are correct ?</p>","(a)  1, 2 and 3","(b)  2, 3 and 4","(c)  1, 2 and 4","(d)  1, 3 and 4",Current Affairs,a,Medium,Fundamental(F),"The Draft electricity bill, 2001 (or) the Electricity Act, 2003 seeks to replace
1. Indian Electricity Act, 1910
2. Electricity (Supply) Act, 1948 and
3. Electricity Regulatory Commission Act, 1998."
90," <p>
	Assertion (A): Artificial satellites are always launched from the earth in the eastward direction.</p>
<p>
	Reason (R): The earth rotates from west to east and so the satellite attains the escape velocity.</p>
<p>
</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Science and Technology,a,Medium,Applied(A),"<p>
	A satellite is launched from the earth in eastward direction because of earth’s motion (it rotates from west to east) which helps in attaining escape-velocity easily.</p>
"
91," <p>
	Assertion (A): An iron ball floats on mercury but gets immersed in water.</p>
<p>
	Reason (R): The specific gravity of iron is more than total of mercury.</p>
<p>
</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Science and Technology,c,Difficult,tApplied(A),"<p>
	If the specific gravity (density) of a body is less than the specific gravity of a given fluid, then the body floats on it. Here the iron ball floats on Mercury and dips in water. \density of Iron &lt; density of Mercury density of Iron &gt; Density of Water</p>
"
92, <p>Which one of the following statements is not correct ?</p>,(a)  The boiling point of an aqueous solution is higher than that of water,(b)  Addition of solutes to a solution causes an increase in its water potential,(c)  The vapour pressure of the water in a solution is lower than that of pure water,"(d)  When a solution is separated from water by a semi-permeable membrane, water movement can be prevented by applying pressure to the solution",Science and Technology,b,Difficult,tApplied(A),Addition of solutes to a solution causes a decrease in its water potential and increase in solute or osmotic potential.
93, <p>Consider the following natural phenomena : </p><p>1. Terrestrial heating</p><p>2. Reflection of light</p><p>3. Refraction of light</p><p>4. Diffraction of light </p><p>Due to which of these phenomena is mirage formed ?</p>,(a)  1 and 2,"(b)  2, 3 and 4",(c)  1 and 3,(d)  4 only,Basic Sciences,c,Medium,Applied(A),"Due to heating of the ground, the air in contact with it gets heated and air above it is relatively cool. Light travels faster in the hot air (rarer) than in the cool air (denser) above it. So the light rays entering the warm air obliquely from above will be refracted upwards. One may see inverted images of distant objects. Thus mirage is due to Land/Terrestrial heating and Refraction."
94," <p>Consider the following statements :</p><p>1. Light of longer wavelength is scattered much more than the light of shorter wavelength.</p><p>2. The speed of visible light in water is 0.95 times the speed in vacuum.</p><p>3. Radio waves are produced by rapidly oscillating electrical currents.</p><p>4. To detect the overspeeding vehicles, police use the Doppler effect of reflected short radio waves.</p><p>Which of these statements are correct ?</p>",(a)  1 and 2,(b)  1 and 3,(c)  2 and 4,(d)  3 and 4,Science and Technology,d,Difficult,tApplied(A),Light of shorter wavelength (for example: Ultraviolet) scatters more than light of longer wavelength (Infrared).
95," <p>
	Assertion (A): With the increase of temperature, the viscosity of glycerine increases.</p>
<p>
	Reason (R): Rise of temperature increase kinetic energy of molecules.</p>
<p>
</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Basic Sciences,d,Medium,Applied(A),"<p>
	With increase in temperature, the viscosity of glycerine decreases. Kinetic energy of molecules increases with rise in temperature.</p>
"
96," <p>
	Assertion (A): Synthetic detergents can lather well in hard water.</p>
<p>
	Reason (R): Synthetic detergents form soluble calcium and magnesium salts with hard water.</p>
<p>
</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Science and Technology,a,Medium,Applied(A),"<p>
	Synthetic detergents can lather well in hard water because they from soluble calcium and magnesium salts with hard water.</p>
"
97, <p><span>Assertion (A): </span><span>Synthetic detergents can lather well in hard water</span><span>. </span></p><p><span>Reasons (R):</span><span>Synthetic detergents</span><span> form </span><span>soluble calcium and magnesium salts with hard water</span>.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Science and Technology,a,Medium,Applied(A),"A – 3, B – 4, C – 1, D – 2"
98," <p>
	Assertion (A): Drinking of whisky increased the frequency of urination.</p>
<p>
	Reason (R): Alcohol intake speeds up the secretion of vasopressin in the body.</p>
<p>
</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Science and Technology,c,Difficult,tApplied(A),"<p>
	Due to the inhibition of production of ‘Antidiuretic hormones (ADH)’ by taking whisky increases the quantity and frequency of urination.</p>
"
99," <p>
	Assertion (A): Human diet should compulsorily contain Glycine, Serine and Tyrosin.</p>
<p>
	Reason (R): Essential amino acids cannot be synthesized in the human body.</p>
<p>
</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Basic Sciences,d,Difficult,tApplied(A),"<p>
	Human diet should compulsorily contain essential amino acids which cannot be synthesized by the human body. The eight essential acids are Methionine, Threonine, Tryptophan, Valine, Leucine, Isoleucine, Lycine and Phenylalanine.</p>
"
100, <p>Which one of the following statements is not correct ?</p>,(a)  All echinoderms are viviparous,(b)  Roundworm has no circulatory system,"(c)  In bony fishes, swim bladder is usually present","(d)  In cartilaginous fishes, fertilization in internal",Science and Technology,a,Difficult,tFundamental(F),All echinoderms are oviparous (egg laying) not viviparous (giving birth to young ones directly).
101, <p>Match List I with List II and select the correct answer using the codes given below the lists: </p><p><strong>List I (Scientists)  </strong>                          <strong>List II (Achievement) </strong></p><p>A. Arber and Smith.                1. Developed transgenic plants with Agro-bacterium T-DNA </p><p>B.Feldman.                               2. Discovered endonuleases </p><p>C. Mullis.                                   3. Discovered reverse transcriptase </p><p>D. Temin and Baltimore.        4. Discovered polymerase chain reaction </p><p>    <strong> A B C D  </strong>                                     <strong>   A B C D</strong></p>,(a)  2 1 4 3,(b)  1 2 4 3,(c)  2 1 3 4,(d)  1 2 3 4,Science and Technology,a,Difficult,tFundamental(F),"Smith, Nathans and Arber were awarded the Nobel Prize for physiology and medicine in 1978 for the discovery of endonucleases (restriction enzymes which cut DNA at specified sites).
 The molecular mechanism involved in Agrobacterium infections in plant cell discovered by Feldman in 1980.
 The polymerase chain reaction (PCR) technique or Thermocycler which multiplicates the desired DNA strand at exponential rates was discovered by Mullis in 1985.
 ‘Reverse transcriptase’ an enzyme helps in replication of RNA molecules from a DNA copy is discovered by Temin and Baltimore in 1970."
102, <p>Which one of the following statements is correct ?</p>,(a)  Prions are the smallest free-living cells,(b)  The cell well of Mycoplasmas is made up of amino sugars,(c)  Viroids consist of a single-stranded RNA molecule,(d)  Rickettsias lake cell wall,Basic Sciences,c,Difficult,tFundamental(F),<ul><li>Viroids are single stranded RNA molecules without protein coat causes different diseases like Chrysanthemum stunt. Prions are infectious protein bodies. Mycoplasmas lack cell wall while Rickettsias possess cell wall.</li></ul>
103," <p>Among living organisms, which one of the following is the most responsible factor for bringing about the origin of a new species ?</p>",(a)  Isolation,(b)  Mutation,(c)  Natural Selection,(d)  Sexual Reproduction,Basic Sciences,b,Difficult,tApplied(A),Mutation is the most important factor for bringing about the origin of a new species. Mutation is the sudden heritable change and is the seat of all variations or the ultimate source of variation. Evolution is a change in the genetic composition of the population brought about when natural selection acts on the variability of population.
104, <p>Ticks and mites are actually</p>,(a)  Arachnids,(b)  Crustaceans,(c)  Insects,(d)  Myriapods,Science and Technology,a,Difficult,tFundamental(F),"Ticks and Mites are Arachnids belong to the phylum Arthropoda. These include spiders, ticks, mites and scorpions. Crustaceans of Arthropoda include crabs, lobsters, shrimp, barnacles, crayfish, prawn etc.
 Insects of the phylum Arthropoda are economically important both benevolent and crop pests (Entomology). They possess jointed legs and include moths, flies, cicadas, fleas, bugs, cockroaches, bees, dragon flies, termites etc.
 Myriapods are many legged arthropods which include millipedes and centepedes."
105," <p>With reference to the blood in a normal person, which one of the following statements is correct ?</p>","(a)  Compared to arteries, veins are less numerous and hold less numerous and hold less of the body’s blood at any given time",(b)  Blood cells constitute about 70 percent of the total volume of the blood,(c)  White Blood Cells (WBC) are made by lymph nodes only,(d)  The blood has more platelets than WBC,Basic Sciences,d,Medium,Fundamental(F),"The blood has more plate lets (1.5–1.5 lakh/cmm) than WBC (4000—11000/cmm).
 Blood cells constitute 40% of the total blood consumption. WBC are made by Lymphnodes and Spleen."
106, <p>Consider the following plants :</p><p>1. Bougainvillea</p><p>2. Carnations</p><p>3. Cocoa</p><p>4. Grapes </p><p>Which of these plants are propagated by stem cuttings ?</p>,(a)  1 and 2,"(b)  2, 3 and 4","(c)  1, 3 and 4","(d)  1, 2, 3 and 4",Basic Sciences,d,Difficult,tFundamental(F),"Bougainvillea, cocoa, grapes (Hard wood) and carnation (Semi hard wood) are propagated by cuttings."
107," <p>In the context of organic evolution, the loss of limbs of snakes is explained by the phenomenon of  </p>",(a)  Use and disuse of organs,(b)  Adaptation to living in burrows,(c)  Natural selection,(d)  Inheritance of acquired character,Basic Sciences,a,Difficult,tFundamental(F),Loss of limbs of snakes is explained by the phenomenon of use and disuse of organs given by Jean Baptist Lamarck popularly called ‘Lamarckism’. New organs arise from new needs and develop in the extent that they are used. Disuse of organs leads to their disappearance.
108," <p>In a bisexual flower, if androecium and gynoecium mature at different times, the phenomenon is known as</p>",(a)  Dichogamy,(b)  Herkogamy,(c)  Heterogamy,(d)  Monogamy,Basic Sciences,a,Difficult,tFundamental(F),Dichogamy is maturation of androecium and gynoecium at different times. It is of 2 types protandry and protogyny. When androeceium (stamens) matures earlier than gynoecium it is called protandry and the vice versa is protogyny.
109," <p>Foot-and-Mouth disease in animals, a current epidemic in some parts of the world, is caused by</p>",(a)  Bacterium,(b)  Fungus,(c)  Protozoan,(d)  Virus,Basic Sciences,d,Medium,Fundamental(F),"Foot and Mouth disease is caused by ‘Virus’ in cattle, buffaloes, swine, sheep and goats. Running sores in the mouth and between the toes. Reduced milk flow and loss of body weight are the main symptoms."
