q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
45,"Which one of the following is not correctly 4
matched? 
(Subject) 3) ug ga| (Related (7p
Wa artis)","The separation 1, Article 50
of judiciary from
executive","The promotion of 2. Article 46 .
| educational and _
economic interests of Ls
| Scheduled Castes and -
| Scheduled Tribes | i
|",The promotion of Co- | 3. Article 43A jo,"The organization 4, Article 40 ,
| of village panchayat 4
| and enable them to
; function as the units of a
self-governace",U.P.P.C.S. (Pre),2021.0,c,"Exp) Option c is the correct answer.
The promotion of Co-operative Societies is given in Article
43B (not Article 43A). This article reads “The State shall
endeayour to promote yoluntary formation, autonomous
functioning, democratic control, and _ professional
management of cooperative societies”, Whereas, Article
43A of the Constitution of India mentions about the
participation of workers in management of industries."
46,"Which Constitution Amendment Act
reduced the voting age from 21 years to 18
years?  tote",66th Amendment,62nd Amendment .,61st Amendment oe,63rd Amendment .,"U.P.P.C.S, (Pre)",2021.0,c,"Exp) Option c is the correct answer.

The 61st Amendment of the Constitution of India, officially

known as The Constitution (Sixty-first Amendment) Act,

1988. lowered the voting age of elections to the Lok Sabha

and to the Legislative Assemblies of States from 21 years to

18 years.

The amendment aimed to provide an opportunity to the

unrepresented youth of the country to participate in the

political process and express their views. It also brought |

India in line with many other countries that had specified 18

years as the voting age."
47,"Consider the following and arrange these in
chronological order:
I. Golak Nath Case “ |
II. Keshavanand Bharti Case
III. 24th Constitution Amendment Act
IV. 42nd Constitution Amendment Act 7 ""
Select the correct answer from the codes a
given below.  ;","1, I, II, IV oo","J, UJ, WH, IV :,","III, I, I1,1V","UI, I, IV, I -","U.P.P.C.S, (Pre)",2021.0,a,"Exp) Option a is the correct answer.

The correct chronological order is as follows:

« Golak Nath Case: 1967, This case held that the Parliament
cannot amend the fundamental rights enshrined in Part
III of the Constitution.

« 24th Constitution Amendment Act: 1971. This act was
enacted to override the Golak Nath case and restore the
Parliament's power to amend any part of the Constitution,
including Part III.

« Keshavanand Bharti Case: 1973. This case upheld the
validity of the 24th Amendment Act, but also introduced
the doctrine of basic structure, which limits the
Parliament’s amending power to preserve the essential
features of the Constitution.

« 42nd Constitution Amendment Act: 1976. This act was
enacted during the Emergency period and made several
changes to the Constitution, such as expanding the scope
of Article 31C, adding new Directive Principles and
Fundamental Duties, and changing the preamble."
48,"Which of the following Article was inserted
by the 42""? Constitution Amendment to
provide for participation of workers in
management?",Article 38 oo,Article 39A at,Article 45 a,Article 43A oS,UPPCS (Pre),2019.0,d,"Exp) Option d is the correct answer.

Article 43A deals with Participation of workers in

management of industries. It mentions that ‘The State shall

take steps, by suitable legislation or in any other way, to
secure the participation of workers in the management of
undertakings, establishments or other organisations engaged
in any industry’. This article was inserted in the Constitution
by the 42nd Amendment 1976."
49,"Given below are two statements, one is “
labelled as Assertion (A) and the other as -
Reason (R): ve
Assertion (A): Article 30 of the Constitution .
of India does not define the term’ minorities. 7
Reason (R): The Constitution recognizes ay
only linguistic and religious minorities.

Select the correct answer from the codes

given below:","Both (A) and (R) are true and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is not
the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre),2019.0,b,"Exp) Option b is the correct answer.
Assertion (A) states that Article 30 of the Constitution of
India does not define the term ‘minorities’, This statement
is true. Article 30 of the Indian Constitution provides certain
rights to minorities to establish and administer educational
institutions. However, it does not specifically define the term
‘minorities’.
Reason (R) states thal the Cunstilution recugnizes only
linguistic and religious minorities. This statement is also
true. The Constitution of india recognizes two types of
minorities - linguistic minorities and religious minorities, It
ensures certain protections and rights to these minorities to
preserve and promote their distinct language and culture or
to manage their religious institutions. But, it does state the
reason as to why Constitution of India does not define the
term."
50,"In which of the following ‘the provisions
for the protection and improvement of
environment and safeguarding of forests
and wildlife’ are found in the Constitution
of India?",and,,Both,None of the above,U.P.P.C.S. (Pre),2019.0,c,"Exp) Option c is the correct answer.
Article 48A under DPSP lays down the principle
for protection and improvement of environment and
safeguarding of forests and wildlife. It reads as: “The State
shall endeavor to protect and improve the environment
and to safeguard the forests and wildlife of the country”
Similarly, according to Article 51A (g), it shall be the duty
of every citizen of India to protect and improve the natural
environment including forests, lakes, rivers and wildlife and
to have compassion for living creatures. Hence, Provision
related to the protection of the environment is described
in both - as Fundamental Duty and as DPSP."
51,"The Directive principles of State Policy may
be classified into which of the following
parts for the sake of convenient study?",Socialist,Liberal intellectualistic,Gandhian,All of the above,U.P.P.C.S. (Pre),2018.0,d,"Exp) Option d is the correct answer.
On the basis of content and direction given in Directive
principles of State Policy, they can be classified into three
broad categories, viz, socialistic, Gandhian and liberal-
intellectual. However, the Constitution does not contain any
classification of Directive Principles.
Important Tipss
Socialistic Principles
e These principles reflect the ideology of socialism. They
Jay down the framework of a democratic socialist state,
aim at providing social and economic justice, and set
the path towards welfare state. They direct the state:
To Minimise inequalities in income, status, facilities
and opportunities, to provide opportunities for healthy
development of children, to ensure equal pay for equal
work for men and women, etc.

Gandhian Principles

¢ These principles are based on Gandhian ideology. They
represent the programme of reconstruction enunciated
by Gandhi during the national movement. In order to
fulfil the dreams of Gandhi, some of his ideas were
included as Directive Principles. They require the
State: To organise village panchayats and endow them
with necessary powers and authority to enable them
to function as units of self-government, to promote
cottage industries on an individual or cooperation
basis in rural areas, etc.

Liberal-Intellectual Principles

e ‘the principles included in this category represent the
ideology of liberalism. They direct the state: To secure
for all citizens a uniform civil code throughout the
country, to provide early childhood care and education
for all children until they complete the age of six years,
to organise agriculture and animal husbandry on
modern and scientific lines, and to protect and improve
the environment and to safeguard forests and wild life."
52,"Match list-I with list-II and select the
correct answer using the codes given below
the lists:

A. Curtailment of | 1. 61% Amendment

seem | Sanne
judicial review

B. Abolition 2. 42°¢ Amendment
of Right to
property as a
fundamental
right
voting age from
21 to 18

D. Addition of the | 4. 44 Amendment
word ‘Secular’
in the Preamble

Code: 
A B C D",1 2 4 3,2 4 1 3,3 4 1 2,4 1 3 2,UPPCS (Pre),2017.0,c,"Exp) Option c is the correct answer.

« According to 38th Constitutional Amendment Act,
any declarations made by the President declaring a state
of emergency are no longer subject to legal review
or judicial review under the 38th Amendment Act.
According to this rule, the President may restrict a citizen’s
fundamental rights depending on the circumstances
surrounding the declaration of an emergency.

° According to 44th Amendment to the Indian
Constitution, Right to Property (Article 31) was
removed as a fundamental right and reclassified
it as a legal right. It also added Article 300-A to the
Constitution, which deals with the right to compensation
in case of acquisition of property.

¢ The 61st Amendment to the Indian Constitution was
passed in 1989. It lowered the voting age from 21 to 18
years, thereby allowing young adults aged 18 to 21 years
to exercise their right to vote in elections.

« The 42nd Amendment of the Indian Constitution,
enacted in 1976, added the words ‘socialist’, ‘secular’
and ‘integrity’ to the preamble. It also made several
other changes to the Constitution that affected the basic
structure, fundamental rights, fundamental duties,
emergency provisions, etc6"
53,"Which one of the following does not fall
within the purview of article 21 of the
Constitution?",Medical aid to injure by a doctor,"Sexual Harassment of Women at

workplace.",Pollution of the quality of water.,Capital punishment,U.P.P.C.S. (Pre),2017.0,d,"Exp) Option d is the correct answer.

Capital punishment does not fall within the purview of

Article 21 as it is not related to the right to life and personal

liberty. Capital punishment means the death penalty

awarded by a court of law for certain heinous crimes. Capital
punishment is not a violation of Article 21 as it is imposed
according to the procedure established by law.

« Medical aid to injure by a doctor: The Supreme Court
has held that the right to medical aid is a part of the right
to life under Article 21. It means that every person has the
right to receive timely and adequate medical treatment in
case of injury or illness.

« Sexual Harassment of Women at workplace: The
Supreme Court has held that the right to work with
dignity is a part of the right to life under Article 21. It
means that every woman has the right to work in a safe
and respectful environment free from any form of sexual
harassment or abuse.

« Pollution of the quality of water: The Supreme Court
has held that the right to clean environment is a part
of the right to life under Article 21. It means that every
person has the right to enjoy a healthy and pollution-free
environment, including water, air, and land."
54,"Given below are two statements, one is
labelled as Assertion (A) and the other as
Reason (R):

Assertion (A): The State can treat unequal

differently with the objective of creating a

level playing field in the social, economic and

political spheres.

Reason (R): Among equals the law should be

equal and equally administered.

In the context of the above statements select

the correct answer","(A) is true, but (R) is false.","(A) is false, but (R) is true.","Both (A) and (R) are correct, but (R) is
not the correct explanation of (A).","Both (A) and (R) are true and (R) is the
correct explanation of (A).",U.P.P.C.S. (Mains),2016.0,d,"Exp) Option d is the correct answer.
Assertion (A) is correct: State can treat unequal differently
with the objective of creating a level playing field in the
social, economic and political spheres. This is based on the
principle of equal protection of laws, which means that the
law gives equal opportunities to all people who are in similar
circumstances or situations. This principle allows the State
to make reasonable classifications among people and provide
special provisions or reservations for the advancement
of any backward class of citizens, which is not adequately
represented in the services under the State. This is done
to ensure substantive equality and not merely formal
equality.
Reason (R) is correct statement: Among equals the law
should be equal and equally administered. This is based on
the principle of equality before law, which means that no one
is above the rule of law. This principle implies that all people
are subject to the same laws and the same judicial system,
regardless of their status or power.

Reason (R) is also the correct explanation of Assertion (A)

because it implies that the State can treat unequal differently

only with the objective of creating equality among them.

The State cannot discriminate among equals or favour any

group without a reasonable basis. The special provisions for

the backward classes and the scheduled castes and tribes
are based on the reasonable classification of these groups
as being under-represented and deserving of preferential
treatment to achieve substantive equality.
Important Tipss
« Equality before law is a negative concept that restricts
the State from engaging in any arbitrary discrimination
between individuals.
« Equal protection of laws is a positive concept that
puts a positive obligation on the State to prevent the
violation of rights.

e Equality before law does not mean that all laws must be
general in character and universal in application. Equal
protection of laws does not mean that all laws must be
alike for all people without any distinction.

« Equality before law deals with equal subjection of all
persons to the ordinary law of the land administered
by ordinary law courts. Equal protection of laws deals
with similar application of the same laws to all persons
who are similarly situated"
55,"In the Indian Constitution the ‘Right to
Freedom is granted by four Articles which
are-",Article - 19 to Article ~ 22,"Article - 16 to Article — 19
(c} Article - 17 to Article - 20",,Article - 18 to Article - 21,U.P.P.C.S. (Mains),2016.0,a,"Exp) Option a is the correct answer.

The ‘Right to Freedom’ in the Indian Constitution is granted

by four articles, which are Article 19 to Article 22.

« Article 19 guarantees six freedoms to citizens, which
are freedom of speech and expression, freedom to
assemble peacefully and without arms, freedom to
form associations or unions, freedom to move freely
throughout the territory of India, freedom to reside and
settle in any part of the country, and freedom to practice
any profession, occupation, trade, or business.

¢ Article 20 provides protection against ex post facto laws
and double jeopardy. It also ensures that no person can
be compelled to be a witness against himself/herself.

¢ Article 21 guarantees the right to life and personal liberty.
It ensures that no person shall be deprived of their life
or personal liberty except according to the procedure
established by law.

« Article 22 provides protection against arrest and
detention in certain cases. It lays down provisions for
the protection of individuals arrested or detained under
preventive detention laws."
56,"Given below are two statements, one is
labelled as Assertion and the other as
Reason (R):

Assertion (A): The state shall provide free
and compulsory education to all children of
the age group of six to fourteen years.
Reason (R): In a democratic society, the
right to education is indispensable in the
interpretation of the right to development as
a human right.

In the context of the above statements select
the correct answer.","Both (A) and (R) are true, and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is not
the correct explanation of (A).","(A) is true, but (R) is false.","(R) is true, but (A) is true.",U.P.P.C.S. (Mains),2016.0,a,"Exp) Option a is the correct answer.
Assertion (A) states that the state shall provide free and
compulsory education to all children of the age group of
six to fourteen years. This statement is true. The Right to
Education (RTE) Act, enacted in India in 2009, mandates
free and compulsory education for children in the specified
age group.
Reason (R) states that in a democratic society, the right
to education is indispensable in the interpretation of the
right to development as a human right. This statement
is also true. Education is considered a fundamental right
and an essential aspect of human development. It enables
individuals to exercise their other rights effectively and
contributes to their overall well-being and progress."
57,"Given below are two statements, one is
labelled as Assertion (A) and the other as
Reason (R):

Assertion (A): Dr. Ambedkar had described

Article 32 of the Constitution as the very soul

of it.

Reason (R): Article 32 provides an effective

remedy against the violation of fundamental

rights.

Select the correct answer using the codes

given below:","(A) and (R) both are true, and (R) is the
correct explanation of (A)","(A) and (R) both are true, but (R) is not
the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre),2016.0,a,"Exp) Option a is the correct answer.

Assertion (A) states that Dr. Ambedkar described Article

32 of the Constitution as the very soul of it. This statement

is true. Dr. B.R. Ambedkar, the principal architect of the

Indian Constitution, indeed emphasized the significance of

Article 32 as a fundamental right itself and as a means to

protect and enforce other fundamental rights. He considered
it an essential provision for the effective functioning of the
Constitution.

Reason (R) states that Article 32 provides an effective
remedy against the violation of fundamental rights. This
statement is also true. Article 32 of the Indian Constitution
empowers individuals to directly approach the Supreme
Court for the enforcement of their fundamental rights.
It provides a significant safeguard and remedy to protect
citizens’ fundamental rights by allowing them to seek judicial
intervention against any violation.

The Reason (R) provides the correct explanation for
Assertion (A) as it explains why Dr. Ambedkar considered
Article 32 as the very soul of the Constitution, Article 32
plays a crucial role in upholding and protecting fundamental
rights and serves as a mechanism for ensuring their
enforcement."
58,"Which one of the following pairs is not
correctly matched?","Prohibition of traffic in| Article 23

human beings and forced

Jabour__","Protection of interests of | Article 29

minorities ee",Right to constitutional Article 32,"Right of minorities to Article 31

establish and administer

educational institutions _ _",U.P.P.C.S. (Mains),2015.0,d,",
Exp) Option d is the correct answer.

Article 31 of the Constitution of India was a fundamental
right that guaranteed the right to property to all citizens.
It provided that no person shall be deprived of his property
except by authority of law, and that no property shall be
compulsorily acquired or requisitioned except for a public
purpose and on payment of just compensation. However,
Article 31 was repealed by the Constitution (Forty-fourth
Amendment) Act, 1978, which removed the right to property
from the list of fundamental rights and inserted it as a legal
right under Article 300A

The right of minorities to establish and administer
educational institutions is not guaranteed by Article 31,
but by Article 30. Article 30 is a fundamental right that
protects the cultural and educational rights of minorities."
59,"Underwhich Articles ofIndian Constitution,
provision for Fundamental Duties has
been made by the 42nd Constitutional
Amendment Act?",Article 50,Article 51A,Article 52,Article 53,U.P.P.C.S. (Pre),2015.0,b,"Exp) Option b is the correct answer.

Article 51A of the Indian Constitution lists the fundamental
duties of every citizen of India. These fundamental duties
are the basic norms to be observed by the citizens towards
their State. Fundamental Duties are mentioned under Part
IVA of the Indian Constitution. They were added through
42nd Amendment 1976 upon the recommendations of
Swaran Singh Committee to pay respect towards the Nation."
60,"Which one of the following is not a part
of Fundamental Duties under Indian
Constitution?","To defend the country and render national
service","To value and preserve the rich heritage of
our composite culture",To help in organizing Village Panchayats,"To safeguard public property and to
abjure violence",,,c,"Exp) Option c is the correct answer.

To help in organizing Village Panchayats is not a part
of the fundamental duties under the Indian Constitution.
It is a part of the Directive Principles of State Policy
(DPSP) under the Indian Constitution. Article 40 of the
Constitution says that the State shall take steps to organize
village panchayats and endow them with such powers and
autho1ity as may be necessary to enable them to function as
units of self-government

Important Tipss

The fundamental duties are listed in Article 51A of the

Indian Constitution and they are as follows:

* To abide by the Constitution.and respect its ideals
and institutions, the National Flag and the National
Anthem :

¢ To cherish and follow the noble ideals which inspired
our national struggle for freedom

«+ To uphold and protect the sovereignty, unity, and
integrity of India

¢ To defend the country and render national service
when called upon to do so

« To promote harmony and the spirit of common
brotherhood amongst all the people of India
transcending religious, linguistic and regional or
sectional diversities; to renounce practices derogatory
to the dignity of women

¢ Tovalue and preserve the rich heritage of our composite
culture ,

« To protect and improve the natural environment
including forests, lakes, rivers and wildlife, and to have
compassion for living creatures

« To develop the scientific temper, humanism and the
spirit of inquiry and reform

* To safeguard public property and to abjure violence

e To strive towards excellence in all spheres of individual
and collective activity so that the nation constantly
rises to higher levels of endeavour and achievement

« To provide opportunities for education to his child
or, as the case may be, ward between the age of six
and fourteen years (This duty was added by the 86th
Constitutional Amendment Act, 2002)"
61,"Consider the following:

Assertion (A): Under Article 368, the

Parliament can amend any part of the

Constitution.

Reason (R): The Parliament is the Supreme

Legislative body elected by the People of

India.

Code:","Both (A) and (R) are correct, and (R) is
the correct explanation of (A).","Both (A) and (R) are correct, but (R) is
not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre),2015.0,a,"Exp) Option a is the correct answer.
Assertion (A) states that under Article 368 of the Indian
Constitution, the Parliament can amend any part of the
Constitution. This is correct as Article 368 grants the power
of amendment to the Parliament.
Reason (R) states that the Parliament is the Supreme
Legislative body elected by the People of India. This is also
correct as the Parliament is the highest legislative body
in India and is elected by the people through democratic
elections,
Reason (R) is the correct explanation of Assertion
(A) because the fact that the Parliament is the supreme
legislative body elected by the people of India gives it the
authority to amend the Constitution through Article 368.
The Constitution vests this power in the Parliament as a
reflection of the democratic principles and representative
nature of the Indian polity.

Important Tipss

° Article 368 is a provision in the Constitution of India
that deals with the power of Parliament to amend the
Constitution and its procedure. _ _

* It is in Part XX of the Constitution and states
that Parliament can amend any provision of the
Constitution by way of addition, variation or repeal,
subject to some conditions and limitations.

« Some amendments require the ratification of not
less than one half of the States by resolution passed
by their Legislatures before they are presented to the
President for assent.

* Article 368 also declares that nothing in Article 13,
which prohibits laws that abridge or take away any of
the fundamental rights, shall apply to any amendment
made under this article."
62,"The word ‘Hindw in Article 25 of the

Constitution of India does not include-",Buddhists,Jains,Parsis,Sikhs,U.P.P.C.S. (Mains),2014.0,c,"Exp) Option ¢ is the correct answer.
Article 25 of the Constitution of India is a fundamental
right that guarantees the freedom of conscience and the
right to freely profess, practice, and propagate religion to
all persons,
Explanation II to Article 25 (2) (b) states that “In sub-
clause (b) of clause (2), the reference to Hindus shall be
construed as including a reference to persons professing
the Sikh, Jaina or Buddhist religion, and the reference to
Hindu religious institutions shall be construed accordingly.”
Therefore, among the given options, only Parsis are
not included in the word ‘Hindu’ in Article 25 of the
Constitution of India,
Important Tipss
| * The Constitution does not define the term “minority”
but it recognizes religious and linguistic minorities
| under Article 30(1).
\* The Constitution also provides various rights and
safeguards for the protection and promotion of the |
| interests of minorities. Some of them are: |

- Article 29: It grants any section of citizens having
a distinct language, script or culture the right to|
conserve the same and the right to be protected against
discrimination on any ground. |

« Article 30: It grants any religious or linguistic
minority the right to establish and administer
educational institutions of their choice and the right
to receive aid from the State without discrimination.

« Article 350A: It imposes a. duty on every State and
local authority to provide adequate facilities for|
instruction in the mother tongue at the primary
stage of education to children belonging to linguistic |
minority groups.

« Article 350B: It provides for a Special Officer for |
Linguistic Minorities appointed by the President to |
investigate all matters relating to the safeguards for
linguistic minorities and to report to the President
upon those matters.

¢ Article 347; It empowers the President to direct

any State to recognize any language spoken by a
| substantial proportion of the population of that State

as an official language of that State"
63,"In which Article of Indian Constitution

Doctrine of Due Process of Law is included?


|",,"16
{c) 21",,26,U.P.P.C.S. (Mains),2014.0,c,"Exp) Option c is the correct answer.
The phrase “due process of law” is not included in any
of the articles of the Indian Constitution. However, the
concept has been enshrined in Article 21 of the Indian
Constitution, which states that “No person shall be deprived
of his life or personal liberty except according to the
procedure established by law”.
Over time, the Supreme Court of India (Maneka Gandhi vs
Union of India case (1978)) has interpreted Article 21 to
include the doctrine of “due process of law”, which means
that not only there must be a law to deprive a person of his
life or personal liberty, but also that the law must be fair, just,
and reasonable. The Supreme Court has held that Article
21’s reference to “procedure established by law” has been
understood as “due process of law”"
64,"The President of India may declare the
National Emergency if there is the threat of:
1. External aggression
2. Internal disturbances
3. Armed rebellion
4. Communal clashes
Select the correct answer from the code given
below: (U.P.P.C.S. (Mains) 2010]",1 and 2 only,2 and 3 only,3 and 4 only,1 and 3 only,,,d,"Exp) Option d is the correct answer
National Emergency can only be declared on grounds
of “External aggression or war”, also called as External
Emergency & on the ground of “armed rebellion”, Article
352 of the Indian Constitution allows the president to
declare a national emergency. Only after obtaining a written
recommendation from the cabinet may the president declare
a national emergency"
65,"Under Article 356 of the Constitution of
India, President’s Rule was imposed for the
first time in-",Uttar Pradesh,Travancore-Cochin,PEPSU,Bihar,U.P.P.C.S. (Mains),2010.0,c,"Exp) Option c is the correct answer
The President’s Rule under Article 356 of the Constitution
of India was for the first time imposed in the year 1951 in
the former state of Punjab and East Punjab States Union
(PEPSU),

Important Tipss

« Article 355 imposes a duty on the Centre to ensure
that the government of every state is carried on in
accordance with the provisions of the Constitution.

* It is this duty in the performance of which the Centre
takes over the government of a state under Article 356
in case of failure of constitutional machinery in state.

¢ This is popularly known as ‘President’s Rule” It is
also known as ‘State Emergency’ or ‘Constitutional
Emergency’.

e The President’s Rule can be proclaimed under Article
356 on two grounds-one mentioned in Article 356
itself and another in Article 365:

« Article 356 empowers the President to issue a
proclamation, if he is satisfied that a situation has
arisen in which the government of a state cannot be
carried on in accordance with the provisions of the
Constitution.

+ Article 365 says that whenever a state fails to
comply with or to give cffect to any direction from
| the Centre, it will be lawful for the president to hold
that a situation has arisen in which the government

' of the state cannot be carried on in accordance with

the provisions of the Constitution"
66,"Which of the following is correct?

(U.P.P.C.S. (Mains) 2009]","The Nehru Report (1928) had advocated
the inclusion of Fundamental Rights in
the Constitution of India.","The Government of India Act, 1935
referred to Fundamental Rights.","The August Offer, 1940, included the
Fundamental Rights.","The Cripps Mission 1942 referred to
Fundamental Rights.",,,a,"Exp) Option a is the correct answer.
The Nehru Report was a memorandum drafted by a
committee chaired by Motilal Nehru, with Jawaharlal Nehru
acting as the secretary, to appeal for a new dominion status
and a federal set-up of government for the constitution
of India5. It also proposed for the joint electorates with
reservation of seats for minorities in the legislatures. The
report demanded inalienable fundamental rights for the
people of India, such as equal rights for women, right to
form unions, and universal adult suffrage.
Option b is incorrect: The Government of India Act, 1935
did not refer to Fundamental Rights. It only provided for
provincial autonomy and a federal structure of government,
but it did not guarantee any civil liberties or rights to the
people of India.
Option c is incorrect: The August Offer, 1940, did not include
the Fundamental Rights. It was a proposal made by the British
government to the Indian leaders to seek their cooperation during the
Second World War. It offered some concessjons such as expansion of
the executive council, establishment of a constituent assembly after
the war, and recognition of the principle of federation.
Option d is incorrect: The Cripps Mission 1942 did not
refer to Fundamental Rights. It was an attempt by the
British government to negotiate with the Indian leaders and
persuade them to support the British war effort. It offered
some proposals such as granting dominion status to India
after the war, setting up a constituent assembly to frame a
new constitution"
67,"Which of the following Articles of the
Indian Constitution guarantees equality
of opportunity to all citizens of India in
matters relating to public employment?

U.P.P.C.S. (Mains) 2009]",Article 15,Article 16 (1) and 16 (2),"Article 16 (3)
{d) Article 16 (3), (4) and (5)",,,,b,"Exp) Option b is the correct answer.
Article 16 of the Indian Constitution is a fundamental right
that guarantees equality of opportunity for all citizens in
matters relating to employment or appointment to any
office under the State. It prohibits discrimination on the
grounds of religion, race, caste, sex, descent, place of birth,
residence or any of them.

e Article 16 (1) states the general principle of equality
of opportunity for all citizens in matters relating to
employment or appointment to any office under the State.

o Article 16 (2) specifies the grounds on which
discrimination is prohibited, namely religion, race, caste,
sex, descent, placc of birth, residence or any of them.

e Article 16 (1) and 16 (2) together guarantee equality of
opportunity to all citizens of India in matters relating to
public employment

« Article 16 (3) deals with residence requirement, Article
16 (4) deals with reservation for backward classes, and
Article 16 (5) deals with religious or denominational
institutions.

| Important Tipss

| Article 16 of the Indian Constitution has six clauses.

They are:

|e Clause (1): Equal opportunity for all citizens in public

| employment or office.

|. Clause (2): No discrimination on grounds of religion,

| race, caste, sex, descent, place of birth, residence or an

P y

| of them in public employment or office.

| ¢ Clause (3): Parliament can make laws on residence
requirements for certain public posts within a State or
Union territory.

« Clause (4): State can make provisions for reservation
of appointments or posts for backward classes who are
under-represented in the services under the State.

e Clause (4A): State can make provisions for reservation
in promotion with consequential seniority for
scheduled castes and scheduled tribes who are under-
represented in the services under the State.

« Clause (4B): State can treat unfilled reserved vacancies
of a year as a separate class of vacancies to be filled up
in any succeeding year or years without exceeding the
50% reservation limit."
68,Which one of the following is incorrect?,"Fundamental Duties are part of
Fundamental Rights.","Fundamental Duties are not a part of
Fundamental Rights.","Fundamental Duties are enumerated in
Part-IV A of the Indian Constitution.","Article 51 A explains the duties of every
citizen of India.",U.P.P.C.S. (Mains),2009.0,a,"Exp) Option a is the correct answer.
Fundamental duties are not part of the fundamental rights.
‘the fundamental rights are the basic rights guaranteed to the
citizens and the aliens by the Indian Constitution under Part II.
* ‘They are enforceable by the courts and can be suspended
during an emergency.
¢ The fundamental duties are the mora! obligations of the
citizens to promote the spirit of patriotism and preserve
India’s unity.
e They are listed in Article 51A under Part IV-A of the
Indian Constitution.
e They are not enforceable by any court and cannot be
suspended at any time"
69,"The First Constitution Amendment Bill

passed in 1951 was related to",Security of the country,Security of the Prime Minister,"Protection of agrarian reforms in certain
States",Scheduled castes and Scheduled tribes,U.P.P.C.S. (Mains),2009.0,c,"Exp) Option c is the correct answer.
First Constitution Amendment Bill passed in 1951 was
related to several changes to the Fundamental Rights
provisions of the Indian constitution, including the
validation of zamindari abolition laws in certain States.
The amendment sought to secure the constitutional validity
of these laws, which were challenged in courts by landowners
on the ground of being discriminatory or violating the right
to property.
Important Tipss |

e The First Constitution Amendment added a new clause |
(4) to Article 31, which stated that no law made by the |
State for the acquisition of any estate or of any rights |
therein or for the extinguishment or modification |
of any such rights shall be deemed to be void on
the ground that it is inconsistent with or takes away |
or abridges any of the rights conferred by Article 14, |
Article 19 or Article 31"
70,"By Which one of the following
Constitutional Amendments Delhi became
‘National Capital Region’?

{U.P.P.C.S. (Mains) 2009",61st Amendment,69th Amendment,71st Amendment,79th Amendment,,,b,"Exp) Option b is the correct answer.

The 69th Amendment of the Constitution of India, officially

known as The Constitution (Sixty-ninth Amendment) Act,

1991. designated the Union Territory of Delhi as the National

Capital Territory of Delhi and provided for a legislative

assembly and a council of ministers for Delhi.

Important Tipss

Features of 69th Constitutional Amendment Act:

« It conferred a special status to Delhi by declaring
the Union Territory of Delhi as the National Capital
Territory of Delhi and provided for a legislative
assembly and a council of ministers for Delhi.

+ It inserted two new articles, Article 239AA and
Article 239AB, in the Constitution, which deal with
the special provisions for Delhi as the National Capital
Territory and the provisions in case of failure of
constitutional machiner.

« It designated the administrator of Delhi appointed
under Article 239 as the Lieutenant Governor and
made him/her bound by the aid and advice of the
council of ministers except in matters where he/she is
required to act in his/her discretion.

« It conferred on the legislative assembly of Delhi the
power to make laws on all matters in the state list
and the concurrent list except public order, police
and land.

* It provided that the laws made by Parliament and
by the legislative assembly of Delhi shall have effect
concurrently subject to certain conditions."
71,"Which Amendment of the Constitution
provides that no law passed to give effect
to Directive Principles of State Policy
contained in Articles 39",25th Amendment,28th Amendment,42nd Amendment,44th Amendment,,,a,"Exp) Option a is the correct answer.

The 25th Amendment of the Constitution, enacted in

1971. provides that no law passed to give effect to Directive

Principles of State Policy contained in Articles 39 (b) & (c)

shall be deemed to be void on the ground that it abridges the

rights conferred by Articles 14 and 19,

¢ Article 39 (b) & (c) deal with the principles of
securing equitable distribution of material resources
and preventing concentration of wealth and means of
production,

« Article 14 guarantees equality before law and equal
protection of laws.

« Article 19 guarantees six freedoms, such as freedom of
speech and expression, freedom of assembly, freedom of
association, freedom of movement, freedom of residence
and settlement, and freedom of profession.

|

| Important Tipss

« The 25th Amendment also added a new clause (4) to |

| Article 31, which states that no law giving effect to the |

policy of securing the principles specified in Article 39

(b) or (c) shall be calied in question in any court on |

the ground that it does not provide for compensation

or that it provides for inadequate compensation for |
acquisition or requisition of property.

e Article 31 deals with the right to property, which
was later deleted from the list of fundamental rights
| by the 44th Amendment in 1978. |
| ¢ The 25th Amendment was enacted to give primacy to |

the Directive Principles over the Fundamental Rights

in matters of social and economic justice. |"
72,"Which one of the following is not included
in the fundamental right to equality as
enshrined in the Indian Constitution?",Equality before law,Social equality,Equal opportunity,Economic equality,U.P.P.C.S. (Spl) (Mains),2008.0,d,"Exp) Option d is the correct answer.
Economic equality is not mentioned in any of the articles
related to the right to equality. Feonomic equality is more
related to the directive principles of state policy, which are
not enforceable by courts but are guidelines for the State to
follow while making policies and laws
+ Equality before law: Article 14 ensures that all
individuals are equal before the law and are entitled to
equal protection of the laws.
¢ Social equality: Article 15 prohibits discrimination on
the grounds of religion, race, caste, sex, or place of birth
and promotes social equality.
« Equal opportunity: Article 16 guarantees equality of
opportunity in matters of public employment."
