q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
33,"Which of the following statement(s) is/are true in relation to Constituent Assembly?
1. Assembly was based on adult suffrage.
2. The assembly was a result of direct election.
3. Assembly was a multi-party body.
4. Assembly worked through various committees.
Choose the correct answer by using the code given below:",1 and 2 only,2 and 3 only,3 and 4 only,"1,2,3 and 4",UPSC CSE Pre,1993.0,c,"Exp) Option c is the correct answer.
Statement 1 and 2 are incorrect: Constituent Assembly was
not based on adult suffrage. The members of the Constituent
Assembly were elected by the provincial assemblies by a single,
transferable-vote system of proportional representation. The
provincial assemblies themselves were elected on a limited
franchise, based on property, tax or education qualifications.
Constituent Assembly was not a result of direct election.
The members of the Constituent Assembly were elected
indirectly by the provincial assemblies.
Statement 3 is correct: Constituent Assembly was a multi-
party body. It consisted of members from various political
parties and groups, such as the Indian National Congress
(INC), the All-India Muslim League (AIML), the Communist
Party of India (CPI), the Akhil Bharatiya Hindu Mahasabha
(ABHM), the Jana Sangh (JS), the Sikh Akali Dal (SAD), and
some independents
Statement 4 is correct: Constituent Assembly worked
through various committees. The Constituent Assembly
appointed a number of committees to deal with different
aspects of constitution-making. Out of these, eight were
major committees and 22 were minor committees.

_ Important Tips

Features of Constituent Assembly:

« It was formed in 1946 based on the Cabinet Mission
Plan, which proposed a three-tier federation for India,
consisting of the provinces, the princely states and the
centre.

« It had 389 members initially, of which 296 were elected
by the provincial assemblies and 93 were nominated
by the princely states. After partition, the number of
members reduced to 299.

¢ It was presided over by Dr. Rajendra Prasad, who was
elected as its president. Its vice president was H.C.
Mookerjee and its constitutional advisor was B.N. Rau

« The Constituent Assembly consisted of members
from various political parties and groups, such as the
Indian National Congress (INC), the All-India Muslim
League (AIML), the Communist Party of India (CPI),
the Akhil Bharatiya Hindu Mahasabha (ABHM), the
Jana Sangh (JS), the Sikh Akali Dal (SAD), and some
independents"
34,Which of the following characteristics is common between the Federal system of India and America?,A Single Citizenship,Three lists in the Constitution,Dual Judicial System,A Federal Supreme Court for Interpretation of the Constitution,UPSC CSE Pre,1993.0,d,"Exp) Option d is the correct answer

The Supreme Court of the United States has power over the

entire country, but it can only pass federal laws. In India,

there is only one court system. The Supreme Court is in the

Supreme Court and the higher courts in different states are

in the lower courts. Both parties have the power to rule on

federal and state legislation.
Important Tips

1. Dual citizenship is offered in the USA while not in
India.

2. In India, states are proportionately represented.
whereas in the USA equal representation to all states
so both are different.

3. The system of Judicial Review is prevalent both in
India and U.S.A

| (i24, | Other’ Examination’ Previous “Years”

Questions = ERO ee a ued"
35,"Match list-I with list-IT and select the correct answer using the codes given below the lists:
pLIStLT (Schedile).| List-I1 (Subject) 2.9%
A. Third | 1. Allocation of seats in Schedule | the Council of States
B. Fourth 2. Forms of Oath or Schedule | Affirmations
C. Seventh 3. Languages Schedule
D. Eighth 4, List of subject matter Schedule | of laws to be made by the Parliament and by State Legislatures
Code: 
A B CD",3 4 2 I,1 2 3 4,4 3 1 2,2 1 4 3,UPPCS Pre,2022.0,d,"Exp) Option d is the correct answer.

A. Third Schedule- (2) This schedule contains the text
of the oath or affirmation that is to be taken by the
President, Vice-President, Governors, Speakers and
Deputy Speakers of Legislatures, and Judges of the
Supreme Court and High Courts.

B. Fourth Schedule- (1) This schedule is associated with
the allocation of seats in the Rajya Sabha to the states
and the union territories.

C. Seventh Schedule- (4) The Union List (98 subjects),
the State List (59 subjects) and the Concurrent List (52
subjects).

D. Eighth Schedule- (3) This schedule is specifically
related to Languages. Altogether there are 22 scheduled
languages in India.

Important Tips

Brief overview of the Schedules of the Indian

Constitution:

1. Schedule 1: The States and the Union Territories of
India.

2. Schedule 2: Provisions related to emoluments,
allowances, privileges and so on as to the President,
Vice-President, Governors, Speakers and Deputy
Speakers of Legislatures and Judges of the Supreme
Court and High Courts.

3. Schedule 5: The Scheduled Areas and Scheduled
Tribes.

4. Schedule 6: Administration of Tribal Areas in the
States of Assam, Meghalaya, Tripura and Mizoram.

5. Schedule 9: It contains a list of central and state
laws shielded from judicial scrutiny, added by
the Constitution (First Amendment) Act, 1951,
to protect agrarian reform and abolishing the
Zamindari system

6. Schedule 10: Disqualification on Ground of
Defections (Added via 52""4 Act, 1985).

7. Schedule 11: Panchayats (Added via 73"" Act, 1992).

8. Schedule 12: Municipalities (Added via 74 Act,
1992), Z"
36,"Consider the following subjects and arrange them into sequential order as mentioned in the Constitution:
1. The Union and its territory
2. Fundamental duties
3. Citizenship
4, Directive Principles of State Policy Select the correct answer from the code given below. UPPCS Pre 2022]","4,2,3,1","1,3,4,2","2,4,1,3","3,1,2,4",,,b,"Exp) Option b is the correct answer

Part I of the Indian Constitution is titled The Union and

its Territory. It includes Articles 1- 4. This part of the

constitution contains the law in the establishment, renaming,
merging or altering of the borders of the states. Part II of the

Constitution of India deals with the Citizenship of India. It

includes Articles 5-11. Part IV of the Indian Constitution

deals with Directive Principles of our State Policy (DPSP). It

includes Articles 36-51. Part IVA of the Indian Constitution

deals with Fundamental Duties. It includes Article 51A.
Important Tips

¢ Part I ofthe Indian Constitution contains the law in
the establishment, renaming, merging or altering of
the borders of the states.

e Part I of the Indian Constitution contains is related
with the citizenship.

« Part IV DPSP cannot be enforced by any court, but
these principles are fundamental in the governance
of the country and it shall be the duty of the State to
apply. The concept of Directive Principles of State
Policy was borrowed from the Irish Constitution.

« Part IV-A demonstrates the fundamental duties |
of Indian citizens. Although, Article 51 -A of |
this part is where all the fundamental duties are
defined. These duties are introduced under the 42nd
Amendment of the constitution. _"
37,"Which one of the following is not correctly matched? 
Pioviion 2 Sate eee",Fundamental | USA Rights |,Directive Irel and Principles of |State Policy,Residual Australia Powers of,Emergency Germany Powers,UPPCS Pre,2021.0,c,"Exp) Option c is the correct answer
The idea of Residuary Powers has been taken from the
Canadian Constitution and not Australian Constitution.
Other features that are borrowed from the Canadian
Constitution are as follows:
e Federation with a strong Centre
e Appointment of state governors by the Centre,
« Advisory jurisdiction of the Supreme Court.

Important Tips

* Fundamental Rights in India has been taken from the
Constitution of the U.S. Bill of Rights.

+ Directive Principles of State Policy was borrowed from
the Irish Constitution.

e The Cabinet system of the Indian Constitution is taken |
from the British Constitution,

* The concept of “A Union of States in the Indian |
Constitution” has been derived from Canadian |
Constitution. _ 4"
38,"Match list-I with list-II and select the correct answer using the codes given below
the lists:
‘List-1 (Article) ""| List“I1 (Provision) 2247
A. Article 61 1. Removal of Deputy Chairman of Rajya Sabha
B. Article 67",2 4 3 1,3 2 4 1,2 3 4 1,4 1 3 2,,,c,"Exp) Option c is the correct answer

Option A matches with Option 2: Article 61 of the
Constitution of India prescribes the procedure for
impeachment of the President.

Option B matches with Option 3: Article 67(b.) deals with
removal of Vice President from his office by a resolution
of the council of States passed by a majority of all the then
members of the council and agreed to by the House of the
People.

Option C matches with Option 4: Article 94 deals with the
vacation and resignation of, and removal from, the offices
of Speaker and Deputy Speaker.

Option D matches with Option 1: Article 90 deals with
Vacation and resignation of, and removal from, the office
of deputy chairman."
39,Which of the following is not correctly matched?,and Sanitation,Census Union List __,Allocation of | Second Schedule seats in the council of States,Anti- Jenth Schedule Defection —__,UPPCS Pre,2019.0,c,"Exp) Option c is the correct answer.

The Second Schedule of the Constitution of India p
rovisions related to emoluments, allowances, privileges
and so on as to the President, Vice-President, Governors,
Speakers and Deputy Speakers of Legislatures and Judges
of the Supreme Court and High Courts. The allocation of
seats in the Council of States or the Rajya Sabha is listed in
the Fourth Schedule of the Constitution of India."
40,The concept of “A Union of States in the Indian Constitution” has been derived from,The American Declaration of Independence,The Australian Constitution,The British North American Act,The Swiss Constitution,UPPCS Pre,2017.0,c,"Exp) Option c is the correct answer

The concept of “A Union of States in the Indian Constitution”
has been derived from The British North-American Act.
Federation with a strong Centre is what we call A Union of
States in the Indian Constitution hence it is taken from the
Canadian constitution i.e The British North-American Act."
41,"Which of the following are enshrined in the third schedule of the Indian Constitution?
1. Form of oath of office for a Minister for the Union.
2. Form of oath to be made by the Chief Justice of Supreme Court.
3. Form of oath of office for the President of India.
4. Form of oath to be made by a Member of Parliament.
Select the correct answer using the code given below:","1,2 and 3 only","2, 3 and 4 only","1,2 and 4 only","12,3 and 4",UPPCS Pre,2017.0,c,"Exp) Option c is the correct answer.
Statement 1 is correct- Form of oath of office for a Minister
for the Union is included in the third schedule. It outlines the
oath that a Minister for the Union must take upon assuming
office.
Statement 2 is correct- Form of oath to be made by the Chief
Justice of Supreme Court is included in the third schedule. It
specifies the oath that the Chief Justice of the Supreme Court
of India takes while entering office.
Statement 3 is incorrect- The oath of office for the President
of India is mentioned separately in Article 60 of the
Constitution.
Statement 4 is covrect- Form of oath to be made by a Member
of Parliament is included in the third schedule. It provides
the oath that Members of Parliament must take when they
assume their positions."
42,Coelho case is related to which Schedule of the Constitution of India?,Seventh,Eight,Ninth,Tenth,UPPCS (Mains),2017.0,c,"Exp) Option c is the correct answer.
In Ines Ribeiro Coelho (Dead) By L.Rs. vs. State of
Tamil Nadu and Others on 11 January 2007, the Supre
me Court held that laws placed in the Ninth Schedule of
the Constitution are not immune to judicial review. The
Supreme Court held that the Kerala Land Reforms Act was
not immune to judicial review, and that it could be struck
down if it was found to be unconstitutional."
43,In which case did the Supreme Court first declare that the Preamble is not a part of the Constitution?,Berubari,Sajjan Singh,Golak Nath,Keshvanand Bharti,U.P. P.C.S. (Mains),2017.0,a,"Exp) Option a is the correct answer.
In the case of Berubari Union and Exchange of Enclaves, the
Supreme Court of India first declared that the Preamble is
not a part of the Constitution. This case, which was decided
in 1960, involved a dispute regarding the boundary between
India and East Pakistan (now Bangladesh). The Supreme
Court’s ruling clarified that the Preamble is not enforceable
and does not have legally binding effect.

Important Tips

Very brief overview of other landinark cases:

1. Sajjan Singh- The Seventeenth Amendment to the
Constitution of India was challenged in the Sajjan
Singh case, which introduced Article 31B granting
Parliament the authority to amend any law that
affected fundamental rights guaranteed by Part III of
the Constitution, except Articles 14, 19, and 21.

2. Golak Nath- The Golak Nath case established
limitations on Parliament’s power to amend
fundamental rights.

3. Kesavananda Bharati- The Kesavananda Bharati case
is a landmark case that established the doctrine of
basic structure and affirmed the power of Parliament
to amend the Constitution."
44,"A citizen of India will loose his or her citizenship if he or she
1. renounces Indian citizenship.
2. voluntarily acquires the citizenship of another country.
3. marries a citizen of another country.
4. criticizes the government.
Select the correct answer using the codes given below:","1,2 and 3 only","2, 3 and 4 only",1 and 2 only,1 and 4 only,U.P. B.C.S. (Mains),2017.0,c,"Exp) Option c is the correct answer.
Statement 1 is correct- Any adult citizen of India can
renounce their citizenship by making a declaration, resulting
in the termination of Indian citizenship upon registration.
However, during times of war, the Central Government may
withhold the registration of such a declaration.
Statement 2 is correct- A person who voluntarily acquires
the citizenship of another country automatically ceases to
be a citizen of India except during the times of war.
Statement 3 is incorrect- Marriage to a citizen of another
country does not automatically lead to the loss of citizenship
of India. However, if a person marries a citizen of another
country and then voluntarily acquires the citizenship of
that country, then he or she will lose his or her citizenship
of India
Statement 4 is incorrect- Criticizing the government does
not lead to the loss of citizenship of India. A person is free
to criticize the government as long as he or she does not
engage in any activities that are seditious or subversive.
Important Tips

The Citizenship Act (1955) specifies three ways of losing

Indian citizenship: renunciation, termination, and

deprivation.

1. Renunciation: Any adult citizen can renounce their
Indian citizenship by making a declaration, resulting
in the loss of Indian citizenship. Minor children of
the person also lose citizenship, but they can regain it
upon turning eighteen.

2. Termination: When an Indian citizen voluntarily
acquires citizenship of another country, their Indian
citizenship automatically terminates, except during
times of war.

3. Deprivation: The Central government can
compulsorily terminate Indian citizenship if
acquired through:

fraud,

+ if the citizen shows disloyalty to the Indian
Constitution,

* engages in unlawful trade or communication with
the enemy during war,

¢ is imprisoned in any country for two years within five
years of registration or naturalization, or

¢« has been continuously residing outside India for
seven years."
45,"Match list-I with list-II and select the correct answer using the codes given below the lists
Lists) 2 Oa OList- 198 2
A. Constitutional | 1. Article 360 ___ Amendments i _
B. Finance | 2. Article 312 Commission
C. Financial 3. Article 280 Emergency |
D. All India | 4. Article 368 Services
Code: 
A B CD",2 3 4 1,4 3 1 2,3 4 1 2,1 2 3 4,UPPCS Pre,2016.0,b,"Exp) Option b is the correct answer

Option A matches with Option 4: Article 368 is related
with the Power of Parliament to amend the Constitution
and procedure thereof.

Option B matches with Option 3: Article 280 of the Indian
Constitution provides for the establishment of a Finance
Commission as needed.

Option C matches with Option 1: Article 360 of the Indian
Constitution empowers the President to invoke financial
emergency.

Option D matches with Option 2: Article 312 of the Indian
Constitution explains the genesis of All India Services along
with the genesis of the Indian Constitution."
46,"Match list-I with list-II and select the correct answer using the codes given below the lists:
BLES Ee Ss Ee (Articles) & fy
| A. Comptroller and 1. Article 315
| Auditor General of
|__ India
B. Finance Commission | 2. Article 280
C. Administrative 3. Article 148
| Tribunal |
| D. Union Public Service | 4. Article 323 (A)
Code: 
A BCD",3 2 4 1,3 4 2 1,1 2 4 3,4 1 3 2,UPPCS Pre,2016.0,a,"Exp) Option a is the correct answer

Option A matches with Option 3: Article 148 provides that,
there shall be a Comptroller and Auditor-General of India
who shall be appointed by the President by warrant under
his hand and seal and shall only be removed from office in
like manner and on like grounds as a Judge of the Supreme
Court.

Option B matches with Option 2: Article 280 of the Indian
Constitution provides for the establishment of a Finance
Commission as needed.

Option C matches with Option 4: Article 323(A.)provide
for the establishment of an administrative tribunal for the
Union and a separate administrative tribunal for each State
or for two or more States.

Option D matches with Option 1: Article 315 deals with
Public Service Commissions for the Union and for the States."
47,The Sixth Schedule of the Constitution of India deals with the administration of tribal areas of which of the following States?,"Bihar, Chhattisgarh, Goa","Meghalaya, Tripura, Mizoram","Uttarakhand, Manipur, Jharkhand","Nagal and, Arunachal Pradesh, Tripura",UPPCS (Mains),2016.0,b,"Exp) Option b is the correct answer,

The Sixth Schedule of the Constitution of India deals with
the administration of tribal areas in the northeastern states
of Assam, Meghalaya, Tripura, and Mizoram. The Sixth
Schedule provides for the establishment of Autonomous
District Councils (ADCs) in these areas. The ADCs have
a degree of self-government and autonomy, and they are
responsible for matters such as education, health, and
agriculture."
48,The idea of the Preamble has been borrowed in Indian Constitution from the Constitution of-,Italy,Canada,France,USA,UPPCS Pre,2015.0,d,"Exp) Option d is the correct answer

The Preamble to the Indian Constitution is based on the
‘Objectives Resolution, drafted and moved by Pandit Nehru,
and adopted by the Constituent Assembly. It is a borrowed
feature from the Constitution of the USA. It has been
amended by the 42nd Constitutional Amendment Act
(1976), which added three new words-Socialist, Secular and
Integrity."
49,"Match list-I with list-I] and select the correct answer using the codes given below the lists:
A. Article 76 1. Comptroller and Auditor General of India
B. Article 148 2. Jurisdiction of _|_ Supreme Court _|
C. Article 75 (1) |3. Attorney General of | India |
D. Article 131 4, Appointment of Union Ministers
Code: 
A BCD",1 2 3 4,3 1 4 2,4 1 2 3,2 3 4 1,UPPCS (Mains),2015.0,b,"Exp) Option b is the correct answer.
Option A matches with Option 3: Article 76 of the
Constitution of India, 1950 carves an advisory role for

Attorney General to counsel the Government in legal
matters.
Option B matches with Option 1: Article 148 provides for
a Comptroller and Auditor-General of India who shall be
appointed by the President by warrant under his hand and
seal and shall only be removed from office in like manner
and on like grounds as a Judge of the Supreme Court.
Option C matches with Option 4; Article 75(1) in The
Constitution Of India 1949 deals with (1) The Prime Minister
‘shall be appointed by the President and the other Ministers
shall be appointed by the President on the advice of the
Prime Minister.
Option D matches with Option 2: Article 131 of the
Constitution gives exclusive and original jurisdiction to the
Supreme Court in matters of law between states or between
states and the Union."
50,Fourth Schedule of the Constitution of India deals with,Allocation of seats the Council of States,Political defection,Panchayat system,Languages,UPPCS (Mains),2015.0,a,"Exp) Option a is the correct answer,
The Fourth Schedule of the Indian Constitution deals
with the allocation of seats in the Rajya Sabha, which is
the Council of States or the upper house of Parliament. ‘The
number of seats is based on the population of the state or
union territory. The states with the largest populations have
the most seats in the Council of States."
51,The Eleventh Schedule of the Constitution is related to which of the following?,Municipality,Panchayati Raj,Centre-State relationship,Removal of corruption,UOPPCS Pre,2015.0,b,"Exp) Option b is the correct answer.
The Eleventh Schedule of the Constitution of India contains
a list of 29 matters that are to be entrusted to Panchayats
at the district, intermediate and village levels. The Eleventh
Schedule was added to the Constitution by the 73rd
Amendment Act of 1992, which was enacted to strengthen
Panchayati Raj institutions in India
Important Tips
29. Matters listed in Eleventh Schedule.
1. Agriculture, including agricultural extension.
2. Land improvement, implementation of land reforms,
land consolidation and soil conservation.
3. Minor irrigation, water management and watershed
development.
4. Animal husbandry, dairying and poultry.
5. Fisheries. |
‘| 6. Social forestry and farm forestry.
7. Minor forest produces. |
8. Small scale industries, including food processing
industries.
9. Khadi, village and cottage industries.

10. Rural housing.
11. Drinking water.
12. Fuel and fodder.
13. Roads, culverts, bridges, ferries, waterways and other
means of communication.
14. Rural electrification, including distribution of
electricity.
15. Non-conventional energy sources.
16. Poverty alleviation programme.
17. Education, including primary and secondary schools.
18. lechnical training and vocational education.
19. Adult and non-formal education.
20. Libraries.
21. Cultural activities
22. Markets and fairs.
23. Health and sanitation, including hospitals, primary
health centers and dispensaries.
24. Family welfare.
25. Women and child development.
26. Social welfare, including welfare of the handicapped
and mentally retarded.
27. Welfare of the weaker sections, and in particular, of
the Scheduled Castes and the Scheduled Tribes,
28. Public distribution system.
29. Maintenance of community assets."
52,Which part of the Indian Constitution has been described as the ‘Soul of the Constitution?,Fundamental Rights,Directive Principles of State Policy,The Preamble,Right to Constitutional Remedies,U.P.P.C.S. (Mains),2015.0,d,"Exp) Option d is the correct answer.
Article 32 of the Constitution is considered very important,
often called “the soul of the constitution.” It provides
remedies to protect our fundamental rights. The Supreme
Court has the power to issue orders, known as writs, like
habeas corpus, mandamus, certiorari, Prohibition, and
Quo-Warranto to enforce these rights. The Supreme Court
acts as a guardian and protector of our fundamental rights."
53,Which one of the following features of citizenship in India is correct?,Dual Citizenship of the State and Nation,Single Citizenship of a State,Single Citizenship of whole of India,Dual Citizenship of India and another Country,U.P.B.C.S. Pre,2015.0,c,"Exp) Option c is the correct answer.
While the Indian Constitution adopts a federal structure
with dual governance (central and state), it establishes a
single citizenship, namely Indian citizenship. In India,
citizens pledge allegiance solely to the Union, and there is
no distinct concept of state citizenship. In contrast, federal
states like the USA and Switzerland have embraced the
concept of dual citizenship, allowing individuals to possess
citizenship at both the national and state levels."
54,By which one of the following Acts was the Federal Court in India created?,"Indian Council Act, 1861","Government of India Act, 1909","Government of India Act, 1919",None of the above,UPPCS Pre,2014.0,d,"Exp) Option d is the correct answer.
The Federal Court of India was created by the Government
of India Act 1935, which was an Act of the British Parliament
that introduced a federal system of governance in India. The

Federal Court of India had original, appellate and advisory
jurisdiction, and functioned until the Supreme Court of
India which was established in 1950."
55,"Who among the following were the  members of the drafting committee of the Constitution?
1. N. Gopalaswami
2. Jawaharlal Nehru
3. Alladi Krishnaswamy Ayyar
4. Sardar Patel
Select the correct answer using the codes given below.","1,3 and 4",1 and 4 only,1 and 3 only,"2,3 and 4",UPPCS Pre,2014.0,c,"Exp) Option c is the correct answer.

N. Gopalaswami and Alladi Krishnaswami Ayyar were

the members of the drafting committee of the Constitution,

which was responsible for preparing a draft of the new

Constitution of India based on the decisions taken by the

Constituent Assembly.

e Jawaharlal Nehru was the Chairman of both the
Union Powers Committee and the Union Constitution
Committee, which were responsible for determining
the main principles of the Union Constitution and its
structure and form.

¢ Sardar Patel was the Chairman of both the Provincial
Constitution Committee and the Advisory Committee on
Fundamental Rights, Minorities and Tribal and Excluded
Areas, which were responsible for providing a model
Provincial Constitution and dealing with the issues of
fundamental rights, minorities and tribal and excluded
areas in the new Constitution"
56,Who was the Constitution Advisor at the time of the formation of the Constitution?,Dr. B. R. Ambedkar,Dr. Rajendra Prasad,B.N. Rau,K. M. Munshi,UPPCS Pre,2014.0,c,"Exp) Option c is the correct answer.
B. N. Rau was a jurist and a civil servant who was appointed
as the Constitutional Advisor to the Constituent Assembly
in 1946. He prepared the initial draft of the Constitution
based on the recommendations of various committees and
his study of other constitutions. He also consulted eminent
jurists and scholars such as Sir Ivor Jennings, Sir Alladi
Krishnaswamy Iyer, and K. M. Munshi for their opinions
and suggestions. He played a vital role in shaping the
Constitution of India and was later appointed as a judge of
the International Court of Justice in The Hague."
57,The first-day session of Indian Constituent Assembly was chaired by-,Dr. Rajendra Prasad,Dr. Sachchidanand Sinha,Dr. B. Ambedkar,Pt. Jawaharlal Nehru,UPPCS (Mains),2013.0,b,"Exp) Option b is the correct answer.
Dr. Sachchidanand Sinha was the one who chaired the
first-day session of the Indian Constituent Assembly, which
was held on 9 December 1946. Dr. Sachchidananda Sinha,
the oldest member of the Assembly, was elected as the
temporary Chairman of the Assembly, as per the French
practice. He presided over the first-day session and delivered
his inaugural address. Dr. Rajendra Prasad was elected as
the permanent President of the Constituent Assembly on 11
December 1946 and presided over its subsequent sessions.
He later became the first President of India."
58,In Indian political system which one is supreme?,The Supreme Court,The Constitution,The Parliament,Religion,UPPCS (Mains),2013.0,b,"Exp) Option b is the correct answer
In Indian political system the Constitution of India is
supreme because it enables the government to fulfill the
aspirations of a society and create conditions for a just
society. It provides a set of basic rules that allow for minimal
coordination amongst members of society. It sets some limits
on what a government can impose on its citizens.

Important Tips

+ The constitution was made by the drafting committee
headed by Dr. B. R. Ambedkar.

« The committee took 2 years, 11 months, and 17 days
to write.

« It was ratified on 26th November 1949 and enacted on
26th January 1950. |"
59,Which part of our Constitution envisages a three-tier system of Panchayats?,Part IX,Part X,Part XI,Part XII,UPPCS Pre,2013.0,a,"Exp) Option a is the correct answer
The 73rd constitutional amendment act added Part IX to
the Indian Constitution, “The Panchayats” and it also added
the Eleventh Schedule which consists of the 29 functional
items of the panchayats. Part IX of the Constitution contains
Article 243 and Article 243A to 2430 and envisages a three-
tier system of Panchayats. With the Act, Panchayati Raj
systems come under the purview of the justiciable part of the
Constitution and mandates states to adopt the system.
Important Tips

The 73rd constitutional amendment act has two parts:

compulsory and voluntary.

« Compulsory provisions must be added to state laws,
which include the creation of the new Panchayati Raj
systems.

e Voluntary provisions, on the other hand, are the
discretion of the state government"
60,Which one of the following is not correctly matched?,Article 39A :  Equal Justice and Free Legal Aid,Article 40  :  Organization of Village Panchayats from Executive,Article 44  :  Uniform Civil Code,Article 48  :  Separation of Judiciary from Executive,UPPCS Pre,2013.0,d,"Exp) Option d is the correct answer

Article 48 of the Constitution of India directs the state to
make efforts for banning animal slaughtering of cows and
calves and other milch and draught cattle. Article 39A is
related to the rights of citizens to have free access to the legal
process, without any discrimination on account of class, sex,
race and creed. Article 40 of the Indian constitution deals
with the organisation of village panchayat. According to
Article 44, the State shall endeavour to secure for the citizens
a uniform civil code throughout the territory of India."
61,Who/which of the following is competent to prescribe conditions for acquisition of citizenship?,Election Commission,President,Parliament and State Legislatures jointly,Parliament,U.P.P.C.S. (Mains),2013.0,d,"Exp) Option d is the correct answer.

Article 11 of the Constitution of India gives the Parliament
the power to make laws with respect to the acquisition and
termination of citizenship. This includes the power to
prescribe conditions for the acquisition of citizenship."
62,Which Act for the first time made it possible for Indians to take some share in the administration of their country?,"Charter Act, 1833","Charter Act, 1853","Government of India Act, 1858","Indian Councils Act, 1861",UPPCS Pre,2012.0,d,"Exp) Option d is the correct answer.

The Indian Councils Act of 1861 was an important milestone
in India’s journey towards self-governance. It introduced for
the first time the concept of representation of Indians in
the administration of their country. The act expanded the
legislative councils and allowed the appointment of Indians
as non-official members."
63,Which part and chapter of the Indian Constitution deal with the legislative relation between the Union and the States?,Part XI and Chapter I,Part XI and Chapter II,Part XII and Chapter I,Part XII and Chapter II,UPPCS (Mains),2012.0,a,"Exp) Option a is the correct answer
India is a “Union of States” according to the Constitution
of India. Center-state relation is mentioned in Part XI of
the constitution. Chapter I of Part XI (Article 245-254)
of the Indian Constitution specified two-fold division of
Legislative powers between the Union and the States:
1. with respect of territory
2. with respect of subject matter"
64,In which of the following cases Supreme Court held that “The Preamble forms part of the onstitution?,Union of India Vs. Dr. Kohli,Banarsidas Vs. State of U.P.,Bommai Vs. Union of India,Malak Singh Vs. State of Punjab,U.P.P.C.S. Pre,2012.0,c,"Exp) Option c is the correct answer.
In the Bommai case, the Supreme Court held that the
Preamble is a part of the Constitution and that it must be
read along with the other provisions of the Constitution. The
Court held that the Preamble sets out the goals and values
that the Constitution is based on. The other provisions of the
Constitution must be interpreted in a way that is consistent
with the Preamble.

Important Tips

1. Union of India Vs. Dr. Kohli: This case pertains to
service matters and the interpretation of constitutional |
provisions related to promotions and seniority in |
government services. |

2. Banarsidas Vs. State of U.P: This case involves |
a dispute regarding the validity of certain land ;
acquisition proceedings. |

3. Bommai Vs. Union of India: This landmark case dealt
with the issue of the dismissal of state governments
under Article 356 of the Constitution. The |
Supreme Court held that the power to dismiss state |
governments should be exercised sparingly and within |
the constitutional limits.

4. Malak Singh Vs. State of Punjab: This case involves
issues related to the transfer of land and the validity |
of certain state laws. |"
65,Which one of the following Acts led to the separation of Burma from India?,"The Indian Councils Act, 1909","Government of India Act, 1919","Government of India Act, 1935","Indian Independence Act, 1947",UPPCS (Mains),2011.0,c,"Exp) Option c is the correct answer.

Government of India Act, 1935 led to the separation of
Burma from India, as it divided the previous legislation
into two separate Acts: The Government of India Act,
1935. and the Government of Burma Act, 1935. The Act
recognized Burma as a separate colony, with its own
governor, legislature, and administration. The separation
of Burma from India was a result of various factors, such
as the growing resentment of the Burmese population
towards Indian immigration and domination, the desire of
the British and other foreign interests to exploit Burma's
resources independently, and the recognition of the cultural
and historical differences between Burma and India."
66,Who amongst the following advised that the Indian National Congress should be disbanded as a political party after the independence of India?,C. Rajagopalachari,Jai Prakash Narayan,Acharya Kripalani,Mahatma Gandhi,UPPCS (Mains),2011.0,d,"Exp) Dption d is the correct answer.

Mahatma Gandhi wrote in an article published in Harijan on

February 2, 1948, that the Congress “has outlived its use”
and advised “to disband the existing Congress organisation
and flower into a Lok Sevak Sangh (Society to Serve the
People)”. He made this suggestion in the context of a debate
on the future role of the party in the post-independence
period,"
67,"Match list-I with list-IT and select the correct answer by using the codes given below the lists:
A. Part IX of 1. Union Territories the Indian Constitution
B. Part VIII of 2. Municipalities the Indian Constitution
C. PartIV Aof |3. Panchayats the Indian Constitution
D. PartIX Aof |4. Fundamental Duties the Indian . Constitution Code: 
A B C D",3 1 4 2,1 2 3 4,2 4 1 3,4 3 2 1,UPPCS (Mains),2009.0,a,"Exp) Option a is the correct answer

Option A matches with Option 3: Part 1X of the Constitution
was inserted by the Constitution (Seventy-third Amendment)
Act, 1992. It contains provisions for local self-government at
the rural level or Panchayats.

Option B matches with Option 1: Part VIII of the
Constitution contains provisions for the administration
of the Union Territories, including the National Capital
Territory of Delhi. The Union Territories are small regions
of strategic or historical significance which are governed
directly by the Union government

Option C matches with Option 4; Part IVA of the Indian
Constitution deals with Fundamental Duties. As of now,
there are 11 Fundamental duties.

Option D matches with Option 2: Part [XA of the
Constitution was inserted by the Constitution (Seventy-
fourth Amendment) Act, 1992. It contains provisions for
local self-government at the urban level or Municipalities."
