q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
33,"Consider the following statements-In India taxes on transactions in Stock- Exchanges and Futures Markets are-
1. Levied by Union
2. Collected by the State Government
Code:",Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,"U.P.P.C.S, (Mains)",2006.0,a,"Exp) Option a is the correct answer

Statement 1] is correct: Taxes on transactions in Stock-
Exchanges and Futures Markets in India are levied by the
Union. This is listed in the Seventh Schedule (Article 246)
under List I-Union List, item no. 90, which grants the
exclusive power to the Union to impose taxes other than
stamp duties on transactions in stock exchanges and futures
markets.

Statement 2 is incorrect: The collection of taxes on
transactions in Stock-Exchanges and Futures Markets is also
done by the Union, not by the State Government, as it is an
exclusive domain of union government."
34,"Which of the following statements about the federal system in India are correct?

1. The Constitution introduces a federal system as the basic structure of Government. 
2. There is a strong admixture of a unitary bias.
3. Both the Union and State Legislatures are sovereign.
4. The legislative, financial and judicial powers have been divided between the Union and its units.
Select the correct answer from the codes given below:",1 only,1 and 2 only,"1,2 and 3 only",All the four,U.P.P.C.S. (Mains),2004.0,b,"Exp) Option b is the correct answer.

Statement 1 is correct: The Constitution introduces a federal
system as the basic structure of Government. A majority of
judges in the Kesavananda Bharati case in 1973 included
federalism as part of the basic structure of the Constitution.
Later on, in the SR Bommai case in 1994 and in a number of
cases since then, the court has held that federalism is part of
the basic structure of our Constitution.

Statement 2 is correct: India has a strong admixture of
a unitary bias. India has some of unitary features such as
a strong Centre, single Constitution, single citizenship,
flexibility of Constitution, etc. These unitary features
coexist with many federal elements such as Written
Constitution, Rigid Constitution, Supremacy of the
Constitution, independent judiciary, etc.

Statement 3 is incorrect: Neither Union nor State
Legislatures are sovereign in India. As both has to operate
within jurisdiction earmarked for it by the Constitution.
Moreover, the Supreme Court can declare a law passed by
Parliament unconstitutional if it contravenes the provision
of the Constitution. Unlike, British parliament is sovereign
body.

Statement 4 is incorrect: Only legislative, executive and
financial power have been divided between the Union and
its units. Judicial powers have not been divided. The Indian
Constitution has established an integrated judicial system
with the Supreme Court at the top and the state high courts
below it. This single system of courts enforces both the
Central laws as well as the state laws. In US, on the other
hand, there is a double system of courts whereby the federal
laws are enforced by the federal judiciary and the state laws
by the state judiciary,"
35,"Under which of the following taxes is the total amount payable by an individual, limited by the Constitution?",Corporation tax,Estate Duty,Succession Duty,"Tax on profession, trade, and callings",U.P.P.C.S. (Mains),2004.0,d,"Exp) Option d is the correct answer

Article 276 of the Indian Constitution limits the tax on
professions, trades, and callings to $2,500 per year per
individual, preventing an excessive burden on taxpayers
in these categories."
36,What is the source of Inter-State councils,Constitution,Parliamentary laws,Recommendation of Planning Commission,Approved Resolution by CM,U.P.P.C.S. (Pre),2000.0,a,"Exp) Option a is the correct answer

The Constitution of India in Article 263, provided that an
Inter-State Council (ISC) may be established “if at any time
it appears to the President that the public interests would
be served by the establishment of a Council”. This option
was exercised in 1990. Therefore, the ISC was established as
a permanent body on 28 May 1990 by a presidential order
on recommendation of Sarkaria Commission"
37,"The cardinal features of political system in India are-
1. It isa democratic republic.
2. Ithasa Parliamentary form of government.
3. The supreme power vests in People of India.
4. It provides for a unified authority.
Select the correct answer from the code given below:",1 and 2 only,"1, 2 and 3 only","2,3 and 4 only",All the four,U.P. Lower Sub. (Pre),2008.0,b,"Exp) Option b is the correct answer.

Statement 1 is correct: India is called a democratic republic
country because head of the state is elected by the people.
All positions in the government are available to all
people, regardless of religion, caste, or gender. The Indian
Constitution provides for representative parliamentary
democracy under which the executive is responsible to the
legislature for all its policies and actions.

Statement 2 is correct: India has a Parliamentary form of
government. The Parliamentary system is a democratic type
of government in which the party (or coalition of parties)
with the most representation in Parliament (legislature)
forms the government, with its leader becoming Prime
Minister.

Statement 3 is correct: The Preamble states that the
Constitution derives its authority from the people of
India. In Parliamentary system, the supreme power vests
with the body of people’s representative called a Parliament.
Statement 4 is incorrect: Indian Constitution does not
provide a unified authority. The seventh schedule of
the Indian constitution provides the division of powers
between state and central government. It has provided
separate three lists - the Union List, the State List, and the
Concurrent List. India is a federal nation. The powers are
divided between the national government and the regional
governments by the Constitution itself and both operate in
their respective jurisdictions independently."
38,‘India is a Republic’ means-,It is the people who are the final authority in all matters.,There is no Parliamentary System of Government in India.,There are no hereditary rulers in India.,India is the Union of States.,U.P.P.C.S. (Pre),1997.0,c,"Exp) Option c is the correct answer.

India is a Republic’ means there are no hereditary rulers
in India. A democratic polity can be classified into two
categories~ monarchy and republic. In a monarchy, the
head of the state (usually king or queen) enjoys a hereditary
position, that is, he/she comes into office through succession,
e.g., Britain. In a republic, on the other hand, the head of
the state is always elected directly or indirectly for a fixed
period, e.g., USA or India. Therefore, the term ‘republic’ in
our Preamble indicates that India has an elected head called
the President. S/he is elected indirectly for a fixed period of
five years."
39,The Indian Constitution vests the residuary powers with:,The Union Government,The State Governments,Both the Union as well as State Governments,Neither the Union nor the State Governments,U.P.P.C.S. (Pre),1995.0,a,"Exp) Option a is the correct answer

Article 248 of the Indian Constitution grants Parliament
exclusive power to make laws on any matter not listed

in the Concurrent List or State List. This includes the

authority to impose taxes not specified in either list. This

provision ensures no legislative gaps and empowers the

Union Government with residuary powers."
40,Main agency to resolve the fiscal disputes between the Centre and States is-,Supreme Court,Law Minister,Finance Minister,Finance Commission,"U.P.P.C.S, (Pre)",1995.0,a,"Exp) Option a is the correct answer

The Supreme Court of India holds original jurisdiction, as

per Article 131 of the Indian Constitution, to resolve fiscal

disputes between the Government of India and one or more

states, between the Government of India and any state(s)

versus other state(s), and between two or more states."
41,Freedom of inter-state trade and commerce has been regulated by the _ Indian Constitution under Article:,19(1) (d-e),301,301 to 307,All of the above,U.P.P.C.S. (Pre),1999.0,c,"Exp) Option c is the correct answer

The freedom of trade, commerce, and intercourse is

provided under Part XIII of the Indian Constitution

in Articles 301 to 307. Article 301 lays down the general

principles of trade and commerce whereas Article 302 to

305 enunciates the restrictions which trade is subjected

to. Article 306 has been repealed and Article 307 allows

Parliament to appoint authority for implementing Articles

301 to 304. The source for adopting these provisions was the

Australian Constitution."
42,Who among the following chairs the Zonal Council,Prime Minister of India,Home Minister of India,Chief Ministers of the zones in rotations,Finance Minister of India,Uttarakhand P.C.S. (Pre),2021.0,b,"Exp) Option b is the correct auswer

Zonal Councils are advisory councils and are made up of

the states of India that have been grouped into five zones to

foster cooperation among them. These were set up vide Part-

LI of the States Reorganization Act, 1956. The Union Home

Minister is the common chairman of five zonal councils.

Each chief minister acts as a vice chairman of the council

by rotation, holding office for a period of one year at a

time.

| Important Tips

| + ‘The Northeastern states are not covered by any of

| the Zonal Councils and their special problems are |
addressed by another statutory body, the North |
Eastern Council at Shillong, created by the North |
Eastern Council Act, 1971. |

e This council originally comprised Arunachal Pradesh,
Assam, Manipur, Meghalaya, Mizoram, Nagaland
and Tripura; later the state of Sikkim was also added
vide North Eastern Council (Amendment) Act, 2002 |
notified on 23 December 2002.

« The union territories of Andaman and Nicobar
Islands and Lakshadweep are not members of any
of the Zonal Councils. However, they are presently
special invitees to the Southern Zonal Council."
43,Which of the following institutes are considered necessary to promote ‘Unity among diversity’ in the Indian Federalism?,Inter-State Councils & National Development Council,Finance Commission & Regional Council,Unitary Judicial System & All India Services,All of the above,Uttarakhand P.C.S. (Pre),2016.0,d,"Exp) Option d is the correct answer,

The Constitution establishes a federal system of government,
where power is divided between the center and the states.
This allows for regional autonomy and diversity within a

unificd framework. Jawaharlal Nehru used this famous
phrase ‘Unity in Diversity’ in his book ‘Discovery of India’
This phrase is used even today as an expression of harmony
and unity amongst different regions and cultures. AH
institutes i.e. Inter-State Councils, National Devclopment
Council, Finance Commission, Regional Council, Unitary
Judicial System and All India Services institutes are
considered necessary to promote ‘Unity among diversity’
in the Indian Federalism."
44,"Given below are two statements, one is labelled as Assertion (A) and the other as
Reason (R):
Assertion (A): Women, Dalits, Poor and Minority groups are the biggest stakeholders of Democracy in India.
Reason (R): Democracy in India has emerged as the carrier for the desire of Self Respect.
Select the correct answer from the codes given below.",Both (A) and (R) are true and (R) is the correct explanation of (A).,Both (A) and (R) are true but (R) is not the correct explanation of (A).,(A) is true but (R) is false.,(A) is false but (R) is true.,R.A.S./R.T.S. (Pre),2013.0,a,"Exp) Option a is the correct answer.

Women, Dalits, Poor and Minority groups are the biggest
stakeholders of Democracy in India. As the constitution
protects their rights and has many provisions for their
welfare and empowerment such as Fundamental rights,
Directive Principle of State Policy (DPSPs), and many
political rights. The weaker section of society needs more
external support and assistance for their empowerment
unlike the dominant section of society. So maximum
benefits of a democratic systern of governance are taken by
these groups. The reason is that the democracy has emerged
as the carrier for the desire of Self Respect. Their identity
and dignity are well protected by the constitution of India
and through various parliamentary laws. Hence, both (A)
and (R) are truc and (R) is the correct explanation of (A)."
45,"Given below are two statements one is labelled as Assertion (A) and the other is labelled as Reason (R).
Assertion (A):  Sarkaria Commission recommended that Article 356 should be sparingly used.
Reason (R): The political parties that came to form the Government at the Centre misused Article 356,
Code:","(R) is true, but (A) is false.","Both (A) and (R) are true, but (R) is not the correct explanation of (A).",Both (A) and (R) are true and (R) is the correct explanation of (A).,"(A) is true, but (R) is false.",R.A.S./R.T.S. (Pre) (Re. Exam.),2013.0,c,"Exp) Option c is the correct answer

Assertion (A) is true: Article 356 deals with President’s
Rule in case of constitutional breakdown in a state. Sarkaria
Commission recommended using it sparingly, maintaining
federal structure, and avoiding undue Central Government
interference in state affairs.

Reason (R) is true: The political parties in power at the
Centre have frequently misused Article 356. Since India’s
independence, it has been invoked over 100 times to impose
President’s Rule in various states. In most cases it was used for
political considerations rather than any genuine breakdown
of constitutiona] machinery in the States.

(R) is the correct explanation of (A): The reason behind
the Sarkaria Commission’s recommendation to use Article
356 sparingly was precisely because it had been misused by
the political parties that came to form the Government at
the Centre."
46,"Given below are two statements, one is labelled as Assertion (A) and the other as
Reason (R):
Assertion (A): The primary objective of India’s federal design was to weave a nation out of its many diverse parts and protect national integration.

Reason (R): Accommodation of diversities has built a stronger, not weaker, Indian nationhood.

Code:","(A) is false, but (R) is true.",Both (A) and (R) are individually true and (R) is the correct explanation of (A).,"Both (A) and (R) are individually true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.",R.A.S./R.T.S. (Pre),2013.0,b,"Exp) Option b is the correct answer.

The federal system was adopted in India to safeguard and
promote the unity of the country, and accommodate regional
diversity. Such accommodation of diversitics has built a
stronger nation. Most of Indian States have different ethnicity,
culture, languages, etc, but still India as nation stood firm
and robust. Federal system was designed to facilitate many
diverse parts and protect national integration because
accommodation of these diversities has built a stronger
Indian nationhood. Hence, both (A) and (R) are true, and
(R) is the correct explanation of (A)."
47,"Inthe Indian Fiscal federal system resources are allocated from the centre to the states, which of the following is not a means of resource allocation at present",Grant-in-aid,Centrally sponsored schemes,Transfer for plan implementation under Gadgil formula,Tax sharing,Jharkhand P.C.S. (Pre),2021.0,c,"Exp) Option c is the correct answer
The Gadgil-Mukherjee Formula, devised in 1969, allocated
central assistance to states based on population, per capita
income, and special problems. It is no longer in use, and
allocation now occurs through grant-in-aid, centrally
sponsored schemes, and tax sharing as per Finance
Commission recommendations. The Planning Commission
was replaced by NITI Aayog in 2015, leading to changes
in resource allocation mechanisms in India’s fiscal federal
system."
48,"Under constitutional provision of tax
assignment in India, which of the following is a tax exclusively imposed and collected by the states?",Income Tax,Land Revenue,Corporation Tax,GST,Jharkhand P.C.S. (Pre),2021.0,b,"Exp) Option b is the correct answer
Under Article 246 of the Indian Constitution, which deals
with the distribution of legislative powers between the Union
and the States, “Land Revenue” is exclusively imposed and
collected by the States under the State List (List Il). The
State Governments have the authority to levy taxes on land
and agricultural income, and they exercise this power as part
of their revenue generation."
49,"Under which Article of the Constitution of India, Taxes are levied and collected by the
centre but distributed between the centre and the States?",Article 268,Article 269,Article 270,Article 271,Jharkhand P.C.S. (Pre),2016.0,c,"Exp) Option c is the correct answer
Under Article 270 of the Indian Constitution, taxes on
income, excluding agricultural income, are levied and
collected by the Government of India, These taxes’ net
proceeds, except those attributed to Union territories or
taxes on Union emoluments, are not part of the Consolidated
Fund of India but are assigned to States where the tax is
leviable. These proceeds are distributed among the States
as prescribed."
50,"Which Commission advocated the establishment of a Permanent Inter-State Council, called  Inter-Governmental Council’?",Punchhi Commission,Sarkaria Commission,Radhakrishnan Commission,Moily Commission,Jharkhand P.C.S. (Pre),2013.0,b,"Exp) Option b is the correct answer
The Sarkaria Commission recommended establishing
a Permanent Inter-State Council (Inter-Governmental
Council) to foster cooperation and resolve disputes between
the central government and _ states, promoting federal
principles, dialogues, and consensus-building for governance
and policy implementation."
51,Which Article of the Indian Constitution describes “The Executive power of every State shall be so exercised as not to impede or prejudice the exercise of the Executive power of the Union”?,Article 257,Article 258,Article 355,Article 356,Uttarkhand P.C.S. (Pre),2011.0,a,"Exp) Option a is the correct answer
Article 257(1) states that, “The executive power of every
State shall be so exercised as not to impede or prejudice
the exercise of the executive power of the Union, and the
executive power of the Union shall extend to the giving of
such directions to a State as may appear to the Government
of India to be necessary for that purpose”. This provision
enables the Central Government to intervene when necessary
to maintain the integrity and unity of the nation and to
ensure the smooth functioning of the federal structure.
Important Tips
Article 258 of the Constitution of India, deals with the
“Power of the Union to confer powers, etc, on States in
certain cases.”

« Clause (1) empowers the President, with the
consent of the State Governor, to entrust functions,
conditionally or unconditionally, to the State
Government or its officers concerning matters falling
under the executive power of the Union.

e Clause (2) enables Parliament to make laws that
apply to a State, even if the State Legislature lacks
the authority to enact laws on that subject. It allows
the conferment of powers and imposition of duties on
the State or its officers and authorities.

« Clause (3) addresses the reimbursement of any
additional administrative costs incurred by the State
due to the exercise of powers and duties conferred
upon it under this article. The Government of India
pays an agreed amount, or in case of disagreement,
an arbitrator appointed by the Chief Justice of India
determines the compensation."
52,"Which unitary elements are found in Indian Federal System?
(i) Written Constitution
(ii) Rigid Constitution
(iii) Supremacy of the Constitution
(iv) Appointment of Governor
(v) Decentralization of Powers
(vi) President’s approval on state bills
(vii) Constitutional Crisis
(viii) One Supreme Court
Code:","i, iti, vii","ii, v, viii","i, ii, v","iv, vi, vii
(e) None of the above",Chhattisgarh P.C.S. (Pre),2017.0,d,"Exp) Option d is the correct answer.

A unitary government is one in which all the powers are
vested in the national government. The regional governments,
if exist, derive their authority from the national government.
The Indian Constitution also contains a large number of
unitary or non-federal features such as a strong Centre,
single Constitution, single citizenship, flexibility of
Constitution, integrated judiciary, appointment of state
governor by the Centre, all-India services, emergency
provisions (Constitutional crisis), President’s approval on
state bills, no equality of state representation and so on.
Whereas, some of federal features are, Written Constitution,
Rigid Constitution, Supremacy of the Constitution,
Decentralization of Powers (7 Schedule), independent
judiciary headed by the Supreme Court (which hears cases
related center and States), Bicameralism and so on.

Federal Government .. ., | Unitary Government .

1, Dual Government (that | 1. Single government,
is, national government that is, the national
and regional government which
government) may create regional

governments

2. Written Constitution 2. Constitution may be

written (France) or
unwritten (Britain)

3. Division of powers |3. No division of powers.
between the national and All powers are vested in
regional government the national government

4. Supremacy of the] 4. Constitution may be
Constitution supreme (Japan) or may

not be supreme (Britain)

5. Rigid Constitution 5. Constitution may be

rigid (France) or flexible
(Britain)

6. Independent judiciary | 6. Judiciary may be

independent or may not

be independent

“, Bicameral legislature 7. Legislature may be

i bicameral (Britain) or
unicameral (China)"
53,Which of the following States/UTs are included in the Northern Zonal Council?,"Uttarakhand, Uttar Pradesh, Haryana,Punjab, Jammu and Kashmir","Haryana, Punjab, Himachal Pradesh,Rajasthan and NCT of Delhi","Uttar Pradesh, Uttarakhand, Punjab Haryana and Rajasthan","Uttarakhand, Uttar Pradesh, Himachal Pradesh, Punjab and Haryana",CDS  (I),2023.0,b,"Exp) Option b is the correct answer

The Northern Zonal Council isa zonal council that comprises

the states and union territories of Chandigarh, National

Capital Territory of Delhi, Haryana, Himachal Pradesh,

Jammu and Kashmir, Punjab, Rajasthan and Ladakh.

Important Tip:

Five Zonal Councils were set up vide Part-III of the States

Re-organisation Act, 1956. The present composition of

each of these Zonal Councils is as under:

« The Northern Zonal Council, comprising the States
of Haryana, Himachal Pradesh, Punjab, Rajasthan,
National Capital Territory of Delhi and Union Territory
of Chandigarh, Jammu & Kashmir and Ladakh,

« The Central Zonal Council, comprising the States of
Chhattisgarh, Uttarakhand, Uttar Pradesh and Madhya
Pradesh;

« The Eastern Zonal Council, comprising the States of
Bihar, Jharkhand, Orissa, Sikkim and West Bengal;

e The Western Zonal Council, comprising the States of
Goa, Gujarat, Maharashtra and the Union Territories
of Daman & Diu and Dadra & Nagar Haveli;

¢ The Southern Zonal Council, comprising the States of
Andhra Pradesh, Karnataka, Kerala, Tamil Nadu and
the Union Territory of Puducherry.

© The North Eastern States i.e. (i) Assam (ii) Arunachal |
Pradesh (iii) Manipur (iv) Tripura (v) Mizoram (vi)
Meghalaya and (vii) Nagaland are not included in the
Zonal Councils and their special problems are looked |
after by the North Eastern Council, set up under the |
North Eastern Council Act, 1972. ;"
54,Which one of the following is not a characteristic feature of Indian Federalism?,The federating units consented to form a union,Residuary powers vest with the Centre,Single citizenship,An extensive Union and Concurrent list,CDS,2022.0,a,"Exp) Option a is the correct answer.
The Indian Federation is not the result of an agreement
among the states, unlike the American Federation.
Article 1 describes India as a ‘Union of States’ which implies
two things: one, Indian Federation is not the result of an
agreement by the states; and two, no state has the right to
secede from the federation.

Important Tips

Indian Federation system is based on the Canadian

Model, where a unitary state transforms into a federation

by granting provinces autonomy to promote regional

interests.

Characteristics features of Indian Federalism:

+ Distribution of Powers: Powers divided between
central and state governments. Schedule 7 divides
subjects between Centre and States and maintains an
extensive concurrent list over which both centre and
states have jurisdiction. Residuary power rests with
Central Government.

« Dual government: India has a dual polity system with
separate governments at the central and state levels.

+ Written Constitution: Federal structure defined by
written constitution,

* Bicameralism: The Constitution establishes a
bicameral legislature comprising the Rajya Sabha and
Lok Sabha.

« Supremacy of Constitution: Constitution is supreme
law.

« Independent Judiciary: Judiciary interprets and
enforces Constitution.

¢ Rigidity of Constitution: The Constitution’s
rigidity requires joint action of the Central and state
governments to amend provisions related to the federal
structure."
55,M.M. Punchhi Commission on Centre-State Relationship has recommended the disposal of a bill reserved for the consideration of the Union Executive within,four months,Six months,Eight months,five months,CDS  (1),2021.0,b,"Exp) Option b is the correct answer

The M.M. Punchhi Commission on Centre-State Relations

recommended that a bill reserved for the consideration

of the Union Executive should be disposed of within six
months. The Punchhi Commission, officially known as the

Commiission on Centre-State Relations, was established in

2007 to examine and review the relationship between the

central government and state governments in India."
56,The Inter-State Council was set-up in 1990 on the recommendation of,Punchhi Commission,Sarkaria Commission,Rajamannar Commission,Mungerilal Commission,CDS Pre. 1,2019.0,b,"Exp) Option b is the correct answer.

« Article-263 in Part XI of the Constitution provides for
the establishment of an Inter-State Counci for better
coordination among the states and between Centre and
States.

« In 1990, the Inter-State Council was established on the
recommendation of Sarkaria Commission (1983-87)

» The present composition of the Council is as follows:

(1) Prime Minister as the Chairman

(1) Chief Minister of all the States and Union ‘lerritories

(HI) Administrators of Union Territories not having
Assemblies

(IV) Governor’s of States under President rule

(V) Six Central Cabinet Ministers

Important Tips

¢ Punchhi Commission (2007) : is related to the
Commission on Centre-State relations.

e Raiamannar Commission (1969) : is related to
examine all aspects of centre and state.

« Mungerilal Commission (1977) : Identification
backward castes in Bihar."
57,Which one of the following is not a feature of Indian federalism?,Courts can interpret the Constitution and powers different levels of the Government.,Sources of revenue for the Union Government and the State Governments are specified.,Powers of the Union and the States are specified in the Constitution.,Indian federalism is based on the principle of Separation of Powers.,CAPF,2022.0,d,"Exp) Option d is the correct answer.

Indian federalism rather follows the principle of a “blended”

or “cooperative” federalism, where there is a significant

degree of cooperation and coordination between the Union

Government and the State Governments. The Constitution

provides for a distribution of powers between the Union

and the States (through Union and States list), but it also

allows for concurrent powers and shared responsibilities.
Important Tip

Some of the features of Indian Federalism:

1. Division of Powers: Clear division of powers between
the Union Government and State Governments.

2. Written Constitution: Indian federalism is based ona
written Constitution.

3. Supremacy of the Constitution: The Constitution is
the supreme law of the land.

4. Independent Judiciary: Presence of an independent
judiciary to interpret and protect the Constitution.

5. Dual Polity: Recognition of a dual polity consisting of
the Union Government and State Governments.

6. Rigid Constitution: The Indian Constitution requires
special procedures for amendments.

7. Distribution of Powers: Powers allocated through
Union List, State List, and Concurrent List.

8. Strong Center: The Union Government holds more
extensive powers compared to State Governments.

9, Cooperative Federalism: Emphasis on collaboration
and coordination between Union and _ State
Governments.

10. Independent Election Commission: An independent
body responsible for conducting elections at national
and state levels."
58,"Which of the following is/are source/ sources of Law in India?
1. Constitution of India
2. Statutes
3. Customary Law
4. Case Law
Select the correct answer using the code given below.",1 only,"1,2 and 4 only",2 and 3 only,"1, 2,3 and 4",CAPF,2022.0,d,"Exp) Option d is the correct answer.

Option 1 is correct- The Constitution of India is the
supreme law of the land. It lays down the fundamental
principles, rights, and duties of citizens, and establishes
the structure and functioning of the government. The
Constitution serves as the foundation and source of all laws
in India.

Option 2 is correct- Statutes, also known as legislation or
acts, are laws enacted by the Parliament of India or the
State Legislative Assemblies. These laws are formulated and
passed by the respective legislative bodies and cover various

subjects, such as criminal law, civil law, taxation, labor
laws, and more. Statutes are an important source of law in
India.
Option 3 is correct- Customary law refers to the practices,
customs, and traditions that are followed by a specific
community or group of people. Customary laws have
legal recognition and are applicable in specific regions or
communities, particularly in matters related to personal
laws, inheritance, marriage, and other cultural practices.

Option 4 is correct- Case law, also known as judicial

precedent, refers to the decisions and interpretations made

by the courts while deciding legal disputes. The judgments
delivered by higher courts, particularly the Supreme Court
of India, create precedents that serve as a source of law.

These precedents help in interpreting laws and establishing

legal principles for future cases."
59,"Match List I with List II and select the correct answer using the codes given below the lists:
A. Pluralist 1. Power is always democracy exercised by a a privileged few
B. People’s 2. Highest and democracy harmonious development of individual capabilities
C. Developmental | 3. Social equality democracy through common ownership of wealth
D. Elitist 4, Capacity of democracy groups to ensure Governmental  responsiveness Codes: 

A B C D",4 3 2 1,4 2 3 1,1 2 3 4,1 3 2 4,CAPF,2020.0,a,"Exp) Option a is the correct answer.

A. Pluralist democracy - (4) Capacity of groups to ensure
Governmental responsiveness. Pluralist democracy refers
to a system where power is dispersed among different
interest groups, and these groups have the ability to
influence government decisions and policies.

B. People’s democracy - (3) Social equality through
common ownership of wealth. People’s democracy
aims for social equality by advocating for common
ownership of wealth and resources, ensuring equitable
distribution among all members of society.

C. Developmental democracy - (2) Highest and
harmonious development of individual capabilities.
Developmental democracy focuses on promoting the
holistic development of individual capabilities,
allowing individuals to reach their full potential in a
harmonious society.

D. Elitist democracy - (1) Power is always exercised by a
privileged few, Elitist democracy refers to a system where
power is concentrated in the hands of a small, privileged
group, often excluding the majority of the population
from decision-making processes."
60,Which one ofthe following isa characteristic of Presidential form of government?,President is not a part of legislative body,It does not separate Legislative and Executive functions,President follows the principle of collective responsibility,The tenure of the President depends on the legislature,CAPF,2016.0,a,"Exp) Option a is the correct answer.

In a presidential form of government, the President is

separate from the legislative body, which means that the

President is not a member of the legislature. The President is

the head of the executive branch and is elected independently

of the legislature. This separation of powers ensures a clear
distinction between the executive and legislative functions.

Option b is incorrect: The Presidential form of government

does separate the legislative and executive functions,

with the President being the head of the executive branch
and the legislature having its own separate powers and
responsibilities.

Option c is incorrect: The principle of collective

responsibility is usually associated with parliamentary

systems, where the executive (Prime Minister and

Cabinet) is collectively responsible to the legislature. In
a presidential system, the President is not bound by the
principle of collective responsibility.
Option d is incorrect: In a presidential form of government,
the tenure of the President is typically fixed and does not
depend on the legislature. The President serves a fixed term
as specified by the constitution and is not subject to removal
by the legislature, except under specific circumstances
outlined in the constitution."
61,Which one of the following is not a feature of Indian federalism?,Every State Government has powers of its own,Courts have the power to interpret the constitution and the powers of different levels of Government,States are subordinate to the Central Government,Sources of revenue for each level of government are clearly specified.,CAPF,2016.0,c,"Exp) Option c is the correct answer.
Statement a is correct: Indian federalism grants powers to
both the central government and the state governments.
Each state government has its own legislative and executive
powers to govern their respective territories.
Statement b is correct: The judiciary in India, particularly
the Supreme Court, has the authority to interpret the
constitution and determine the scope of powers and
jurisdiction of different levels of government. The judiciary
acts as a neutral arbiter in resolving disputes between the
central government and state governments.
Statement c is incorrect: States are subordinate to the
Central Government: This statement is not a feature of
Indian federalism. In Indian federalism, both the central
government and state governments are sovereign in their
respective spheres of power. While the central government
has certain powers and responsibilitics that are applicable
to the entire country, state governments also possess
independent powers to govern their respective states.
Statement d is correct: Indian federalism entails a division
of fiscal powers between the central government and
state governments. While the Constitution provides for the
assignment of revenue sources to each level of government,
the distribution of fiscal resources can be subject to periodic
revisions and negotiations between the central government
and state governments."
62,The setting up of the Inter-State Council in 1990 was meant to:,substitute the National Development  Council,strengthen the federal provisions of the Constitution,be an institutional interface between the Judiciary and the Government,provide membership to local customary bodies,CAPF,2015.0,b,"Exp) Option b is the correct answer.
The sctting up of the Inter-State Council in 1990 was
aimed at strengthening the federal provisions of the
Constitution of India. The Inter-State Council serves as
a platform for coordination and cooperation between the
Union government and the state governments. It facilitates
the discussion and resolution of issues and disputes between
the Union and states, promoting cooperative federalism.
Important Tips

« The Inter-State Council is a non-permanent
constitutional body that was established by a
presidential order on 28 May 1990 based on Article
263 of the Constitution of India.

« The main purpose of the Inter-State Council is to
enhance the coordination between the Centre and the
States and to discuss or investigate policies, subjects of
common interest, and disputes among States"
63,"Which of the following statements regarding the residuary powers under the Constitution of India is/are correct?
1. Residuary powers have been given to the Union Parliament.
2. In the matter of residuary powers, the Constitution of India follows the Constitution of Australia.
3. Schedule 7 of the Constitution of India provides a list of residuary powers.
4. The Government of India Act, 1935 placed residuary powers in the hands of the Governor-General.
Select the correct answer using the codes given below. 
Codes:",l and 3,2 and 3,l and 4,Only 4,CAPF,2014.0,c,"Exp) Option c is the correct answer.

Statement 1 is correct: Residuary powers have been given
to the Union Parliament by Article 248 and Entry 97 of the
Union List. These provisions give Parliament exclusive power
to make any law with respect to any matter not enumerated
in List II or List IN, including any tax not mentioned in
cither of those lists.

Statement 2 is incorrect: In the matter of residuary powers,
the Constitution of India does not follow the Constitution
of Australia, but follows the Constitution of Canada. The
Constitution of Australia does not vest the residuary powers
in any level of government, but Icaves them to be determined
by judicial interpretation. The Constitution of Canada, on
the other hand, vests the residuary powers in the federal
government by Section 91 of its Constitution Act, 1867.
Statement 3 is incorrect: Schedule 7 of the Constitution
of India does not provide a list of residuary powers, but
provides three lists of subjects on which Parliament and state
legislatures can make laws. These are List I (Union List), List
II (State List) and List III (Concurrent List). The residuary
powers are those that are not covered by any of these lists.
Statement 4 is correct: Government of India Act, 1935 placed
residuary powers in the hands of the Governor-General.
This was done to ensure that no important subject was left
out from legislative competence and to give flexibility to deal
with unforeseen situations. ‘he Governor-General could
Iegislate on any matter that was not included in any of the
seven lists provided by this Act"
64,"Which of the following statements about the Presidential system is/are correct? 1. The Head of Government is also the Head of State.
2. The Executive can veto Legislative acts.
Select the correct answer using the codes given below. Codes:",Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,CAPF,2014.0,c,"Exp) Option c is the correct answer,

Statement I is correct: The head of government is also
the head of state in the presidential system. The president
represents the nation both internally and externally, and has
the authority to appoint and dismiss cabinet members, issue
executive orders, veto legislative acts, negotiate treatics,
command the armed forces, etc.

Statement 2 is correct: Executive can veto legislative acts
in the presidential system. The president has the power to
reject or approve bills passed by the legislature, and can also
propose legislation to the legislature. However, the legislature
can override the president’s veto by a supermajority vote in
some cases"
65,Article 300 of the Indian Constitution deals with-,suits and proceedings,government contracts,Attorney General,"restriction on trade and commerce
(e) None of the above/More than one of the above",67 B.P.S.C. (Pre),2022.0,a,"Exp) Option a is the correct answer

Article 300 of the Indian Constitution deals with “Suits
and proceedings.” It states that the Union Government
(Government of India) and State Governments (Government
of a State) can sue or be sued in their respective names,"
