q_no,q_statement,q_markdown,a,b,c,d,correct_option,explanation,exam,year,subject_name,section_name,topic_name,subtopic_name,microtopic_name,unit,is_check,for_review,added_at,updated_at
48,<p>The idea of the Preamble has been borrowed in Indian Constitution from the Constitution of:</p>,"The idea of the Preamble has been borrowed in Indian Constitution from the
Constitution of:",Italy,Canada,France,USA,d,"Exp) Option d is the correct answer

The Preamble to the Indian Constitution is based on the
‘Objectives Resolution, drafted and moved by Pandit Nehru,
and adopted by the Constituent Assembly. It is a borrowed
feature from the Constitution of the USA. It has been
amended by the 42nd Constitutional Amendment Act
(1976), which added three new words-Socialist, Secular and
Integrity.",UPPCS Prelims,2015,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333293+00:00,2025-06-20T09:58:05.591407+00:00
49,"<p>Match list-I with list-I] and select the correct answer using the codes given below the lists:</p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%"">
	<tbody>
		<tr>
			<td>List I</td>
			<td>List II</td>
		</tr>
		<tr>
			<td>A. Article 76</td>
			<td>1. Comptroller and Auditor General of India</td>
		</tr>
		<tr>
			<td>B. Article 148</td>
			<td>2. Jurisdiction of &nbsp;Supreme Court&nbsp;</td>
		</tr>
		<tr>
			<td>C. Article 75(I)</td>
			<td>3. Attorney General of&nbsp; India</td>
		</tr>
		<tr>
			<td>D. Article 131</td>
			<td>4, Appointment of Union Ministers</td>
		</tr>
	</tbody>
</table>

<p>Code: A B C D</p>","Match list-I with list-I] and select the correct answer using the codes given
below the lists:

List I | List II  
---|---  
A. Article 76 | 1\. Comptroller and Auditor General of India  
B. Article 148 | 2\. Jurisdiction of  Supreme Court   
C. Article 75(I) | 3\. Attorney General of  India  
D. Article 131 | 4, Appointment of Union Ministers  
  
Code: A B C D",1 2 3 4,3 1 4 2,4 1 2 3,2 3 4 1,b,"Exp) Option b is the correct answer.
Option A matches with Option 3: Article 76 of the
Constitution of India, 1950 carves an advisory role for

Attorney General to counsel the Government in legal
matters.
Option B matches with Option 1: Article 148 provides for
a Comptroller and Auditor-General of India who shall be
appointed by the President by warrant under his hand and
seal and shall only be removed from office in like manner
and on like grounds as a Judge of the Supreme Court.
Option C matches with Option 4; Article 75(1) in The
Constitution Of India 1949 deals with (1) The Prime Minister
‘shall be appointed by the President and the other Ministers
shall be appointed by the President on the advice of the
Prime Minister.
Option D matches with Option 2: Article 131 of the
Constitution gives exclusive and original jurisdiction to the
Supreme Court in matters of law between states or between
states and the Union.",UPPCS Mains,2015,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333323+00:00,2025-06-20T12:44:49.832278+00:00
50,<p>Fourth Schedule of the Constitution of India deals with</p>,Fourth Schedule of the Constitution of India deals with,Allocation of seats in the Council of States,Political defection,Panchayat system,Languages,a,"Exp) Option a is the correct answer,
The Fourth Schedule of the Indian Constitution deals
with the allocation of seats in the Rajya Sabha, which is
the Council of States or the upper house of Parliament. ‘The
number of seats is based on the population of the state or
union territory. The states with the largest populations have
the most seats in the Council of States.",UPPCS Mains,2015,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333350+00:00,2025-06-20T09:58:57.967175+00:00
51,<p>The Eleventh Schedule of the Constitution is related to which of the following?</p>,"The Eleventh Schedule of the Constitution is related to which of the
following?",Municipality,Panchayati Raj,Centre-State relationship,Removal of corruption,b,"Exp) Option b is the correct answer.
The Eleventh Schedule of the Constitution of India contains
a list of 29 matters that are to be entrusted to Panchayats
at the district, intermediate and village levels. The Eleventh
Schedule was added to the Constitution by the 73rd
Amendment Act of 1992, which was enacted to strengthen
Panchayati Raj institutions in India
Important Tips
29. Matters listed in Eleventh Schedule.
1. Agriculture, including agricultural extension.
2. Land improvement, implementation of land reforms,
land consolidation and soil conservation.
3. Minor irrigation, water management and watershed
development.
4. Animal husbandry, dairying and poultry.
5. Fisheries. |
‘| 6. Social forestry and farm forestry.
7. Minor forest produces. |
8. Small scale industries, including food processing
industries.
9. Khadi, village and cottage industries.

10. Rural housing.
11. Drinking water.
12. Fuel and fodder.
13. Roads, culverts, bridges, ferries, waterways and other
means of communication.
14. Rural electrification, including distribution of
electricity.
15. Non-conventional energy sources.
16. Poverty alleviation programme.
17. Education, including primary and secondary schools.
18. lechnical training and vocational education.
19. Adult and non-formal education.
20. Libraries.
21. Cultural activities
22. Markets and fairs.
23. Health and sanitation, including hospitals, primary
health centers and dispensaries.
24. Family welfare.
25. Women and child development.
26. Social welfare, including welfare of the handicapped
and mentally retarded.
27. Welfare of the weaker sections, and in particular, of
the Scheduled Castes and the Scheduled Tribes,
28. Public distribution system.
29. Maintenance of community assets.",UPPCS Prelims,2015,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333377+00:00,2025-06-20T09:59:31.332951+00:00
52,<p>Which part of the Indian Constitution has been described as the &lsquo;Soul of the Constitution?</p>,"Which part of the Indian Constitution has been described as the 'Soul of the
Constitution?",Fundamental Rights,Directive Principles of State Policy,The Preamble,Right to Constitutional Remedies,d,"Exp) Option d is the correct answer.
Article 32 of the Constitution is considered very important,
often called “the soul of the constitution.” It provides
remedies to protect our fundamental rights. The Supreme
Court has the power to issue orders, known as writs, like
habeas corpus, mandamus, certiorari, Prohibition, and
Quo-Warranto to enforce these rights. The Supreme Court
acts as a guardian and protector of our fundamental rights.",UPPCS Mains,2015,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333402+00:00,2025-06-20T10:00:02.798894+00:00
53,<p>Which one of the following features of citizenship in India is correct?</p>,Which one of the following features of citizenship in India is correct?,Dual Citizenship of the State and Nation,Single Citizenship of a State,Single Citizenship of whole of India,Dual Citizenship of India and another Country,c,"Exp) Option c is the correct answer.
While the Indian Constitution adopts a federal structure
with dual governance (central and state), it establishes a
single citizenship, namely Indian citizenship. In India,
citizens pledge allegiance solely to the Union, and there is
no distinct concept of state citizenship. In contrast, federal
states like the USA and Switzerland have embraced the
concept of dual citizenship, allowing individuals to possess
citizenship at both the national and state levels.",UPPCS Prelims,2015,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333428+00:00,2025-06-20T10:00:38.114274+00:00
54,<p>By which one of the following Acts was the Federal Court in India created?</p>,By which one of the following Acts was the Federal Court in India created?,"Indian Council Act, 1861","Government of India Act, 1909","Government of India Act, 1919",None of the above,d,"Exp) Option d is the correct answer.
The Federal Court of India was created by the Government
of India Act 1935, which was an Act of the British Parliament
that introduced a federal system of governance in India. The

Federal Court of India had original, appellate and advisory
jurisdiction, and functioned until the Supreme Court of
India which was established in 1950.",UPPCS Prelims,2014,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333454+00:00,2025-06-20T10:01:30.745954+00:00
55,"<p>Who among the following were the members of the drafting committee of the Constitution?</p>

<ol>
	<li>N. Gopalaswami</li>
	<li>Jawaharlal Nehru</li>
	<li>Alladi Krishnaswamy Ayyar</li>
	<li>&nbsp;Sardar Patel</li>
</ol>

<p>Select the correct answer using the codes given below.</p>","Who among the following were the members of the drafting committee of the
Constitution?

  1. N. Gopalaswami
  2. Jawaharlal Nehru
  3. Alladi Krishnaswamy Ayyar
  4.  Sardar Patel

Select the correct answer using the codes given below.","1, 3 and 4",1 and 4 only,1 and 3 only,"2, 3 and 4",c,"Exp) Option c is the correct answer.

N. Gopalaswami and Alladi Krishnaswami Ayyar were

the members of the drafting committee of the Constitution,

which was responsible for preparing a draft of the new

Constitution of India based on the decisions taken by the

Constituent Assembly.

e Jawaharlal Nehru was the Chairman of both the
Union Powers Committee and the Union Constitution
Committee, which were responsible for determining
the main principles of the Union Constitution and its
structure and form.

¢ Sardar Patel was the Chairman of both the Provincial
Constitution Committee and the Advisory Committee on
Fundamental Rights, Minorities and Tribal and Excluded
Areas, which were responsible for providing a model
Provincial Constitution and dealing with the issues of
fundamental rights, minorities and tribal and excluded
areas in the new Constitution",UPPCS Prelims,2014,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333480+00:00,2025-06-20T10:03:50.870431+00:00
56,<p>Who was the Constitution Advisor at the time of the formation of the Constitution?</p>,"Who was the Constitution Advisor at the time of the formation of the
Constitution?",Dr. B. R. Ambedkar,Dr. Rajendra Prasad,B.N. Rau,K. M. Munshi,c,"Exp) Option c is the correct answer.
B. N. Rau was a jurist and a civil servant who was appointed
as the Constitutional Advisor to the Constituent Assembly
in 1946. He prepared the initial draft of the Constitution
based on the recommendations of various committees and
his study of other constitutions. He also consulted eminent
jurists and scholars such as Sir Ivor Jennings, Sir Alladi
Krishnaswamy Iyer, and K. M. Munshi for their opinions
and suggestions. He played a vital role in shaping the
Constitution of India and was later appointed as a judge of
the International Court of Justice in The Hague.",UPPCS Prelims,2014,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333505+00:00,2025-06-20T10:04:15.910771+00:00
57,<p>The first-day session of Indian Constituent Assembly was chaired by-</p>,The first-day session of Indian Constituent Assembly was chaired by-,Dr. Rajendra Prasad,Dr. Sachchidanand Sinha,Dr. B. Ambedkar,Pt. Jawaharlal Nehru,b,"Exp) Option b is the correct answer.
Dr. Sachchidanand Sinha was the one who chaired the
first-day session of the Indian Constituent Assembly, which
was held on 9 December 1946. Dr. Sachchidananda Sinha,
the oldest member of the Assembly, was elected as the
temporary Chairman of the Assembly, as per the French
practice. He presided over the first-day session and delivered
his inaugural address. Dr. Rajendra Prasad was elected as
the permanent President of the Constituent Assembly on 11
December 1946 and presided over its subsequent sessions.
He later became the first President of India.",UPPCS Mains,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333530+00:00,2025-06-20T10:04:38.845650+00:00
58,<p>In Indian political system which one is supreme?</p>,In Indian political system which one is supreme?,The Supreme Court,The Constitution,The Parliament,Religion,b,"Exp) Option b is the correct answer
In Indian political system the Constitution of India is
supreme because it enables the government to fulfill the
aspirations of a society and create conditions for a just
society. It provides a set of basic rules that allow for minimal
coordination amongst members of society. It sets some limits
on what a government can impose on its citizens.

Important Tips

+ The constitution was made by the drafting committee
headed by Dr. B. R. Ambedkar.

« The committee took 2 years, 11 months, and 17 days
to write.

« It was ratified on 26th November 1949 and enacted on
26th January 1950. |",UPPCS Mains,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333555+00:00,2025-06-20T10:05:16.857357+00:00
59,<p>Which part of our Constitution envisages a three-tier system of Panchayats?</p>,Which part of our Constitution envisages a three-tier system of Panchayats?,Part IX,Part X,Part XI,Part XII,a,"Exp) Option a is the correct answer
The 73rd constitutional amendment act added Part IX to
the Indian Constitution, “The Panchayats” and it also added
the Eleventh Schedule which consists of the 29 functional
items of the panchayats. Part IX of the Constitution contains
Article 243 and Article 243A to 2430 and envisages a three-
tier system of Panchayats. With the Act, Panchayati Raj
systems come under the purview of the justiciable part of the
Constitution and mandates states to adopt the system.
Important Tips

The 73rd constitutional amendment act has two parts:

compulsory and voluntary.

« Compulsory provisions must be added to state laws,
which include the creation of the new Panchayati Raj
systems.

e Voluntary provisions, on the other hand, are the
discretion of the state government",UPPCS Prelims,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333581+00:00,2025-06-20T10:05:41.663411+00:00
60,<p>Which one of the following is not correctly matched?</p>,Which one of the following is not correctly matched?,Article 39A :  Equal Justice and Free Legal Aid,Article 40  :  Organization of Village Panchayats from Executive,Article 44  :  Uniform Civil Code,Article 48  :  Separation of Judiciary from Executive,d,"Exp) Option d is the correct answer

Article 48 of the Constitution of India directs the state to
make efforts for banning animal slaughtering of cows and
calves and other milch and draught cattle. Article 39A is
related to the rights of citizens to have free access to the legal
process, without any discrimination on account of class, sex,
race and creed. Article 40 of the Indian constitution deals
with the organisation of village panchayat. According to
Article 44, the State shall endeavour to secure for the citizens
a uniform civil code throughout the territory of India.",UPPCS Prelims,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333606+00:00,2025-06-20T10:06:03.558286+00:00
61,<p>Who/which of the following is competent to prescribe conditions for acquisition of citizenship?</p>,"Who/which of the following is competent to prescribe conditions for
acquisition of citizenship?",Election Commission,President,Parliament and State Legislatures jointly,Parliament,d,"Exp) Option d is the correct answer.

Article 11 of the Constitution of India gives the Parliament
the power to make laws with respect to the acquisition and
termination of citizenship. This includes the power to
prescribe conditions for the acquisition of citizenship.",UPPCS Mains,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333632+00:00,2025-06-20T10:06:35.052337+00:00
62,<p>Which Act for the first time made it possible for Indians to take some share in the administration of their country?</p>,"Which Act for the first time made it possible for Indians to take some share
in the administration of their country?","Charter Act, 1833","Charter Act, 1853","Government of India Act, 1858","Indian Councils Act, 1861",d,"Exp) Option d is the correct answer.

The Indian Councils Act of 1861 was an important milestone
in India’s journey towards self-governance. It introduced for
the first time the concept of representation of Indians in
the administration of their country. The act expanded the
legislative councils and allowed the appointment of Indians
as non-official members.",UPPCS Prelims,2012,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333659+00:00,2025-06-20T10:06:54.214048+00:00
63,<p>Which part and chapter of the Indian Constitution deal with the legislative relation between the Union and the States?</p>,"Which part and chapter of the Indian Constitution deal with the legislative
relation between the Union and the States?",Part XI and Chapter I,Part XI and Chapter II,Part XII and Chapter I,Part XII and Chapter II,a,"Exp) Option a is the correct answer
India is a “Union of States” according to the Constitution
of India. Center-state relation is mentioned in Part XI of
the constitution. Chapter I of Part XI (Article 245-254)
of the Indian Constitution specified two-fold division of
Legislative powers between the Union and the States:
1. with respect of territory
2. with respect of subject matter",UPPCS Mains,2012,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333684+00:00,2025-06-20T10:07:23.850893+00:00
64,<p>In which of the following cases Supreme Court held that &ldquo;The Preamble forms part of the constitution&quot;?</p>,"In which of the following cases Supreme Court held that ""The Preamble forms
part of the constitution""?",Union of India Vs. Dr. Kohli,Banarsidas Vs. State of U.P.,Bommai Vs. Union of India,Malak Singh Vs. State of Punjab,c,"Exp) Option c is the correct answer.
In the Bommai case, the Supreme Court held that the
Preamble is a part of the Constitution and that it must be
read along with the other provisions of the Constitution. The
Court held that the Preamble sets out the goals and values
that the Constitution is based on. The other provisions of the
Constitution must be interpreted in a way that is consistent
with the Preamble.

Important Tips

1. Union of India Vs. Dr. Kohli: This case pertains to
service matters and the interpretation of constitutional |
provisions related to promotions and seniority in |
government services. |

2. Banarsidas Vs. State of U.P: This case involves |
a dispute regarding the validity of certain land ;
acquisition proceedings. |

3. Bommai Vs. Union of India: This landmark case dealt
with the issue of the dismissal of state governments
under Article 356 of the Constitution. The |
Supreme Court held that the power to dismiss state |
governments should be exercised sparingly and within |
the constitutional limits.

4. Malak Singh Vs. State of Punjab: This case involves
issues related to the transfer of land and the validity |
of certain state laws. |",UPPCS Prelims,2012,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333709+00:00,2025-06-20T10:08:39.038938+00:00
65,<p>Which one of the following Acts led to the separation of Burma from India?</p>,Which one of the following Acts led to the separation of Burma from India?,"The Indian Councils Act, 1909","Government of India Act, 1919","Government of India Act, 1935","Indian Independence Act, 1947",c,"Exp) Option c is the correct answer.

Government of India Act, 1935 led to the separation of
Burma from India, as it divided the previous legislation
into two separate Acts: The Government of India Act,
1935. and the Government of Burma Act, 1935. The Act
recognized Burma as a separate colony, with its own
governor, legislature, and administration. The separation
of Burma from India was a result of various factors, such
as the growing resentment of the Burmese population
towards Indian immigration and domination, the desire of
the British and other foreign interests to exploit Burma's
resources independently, and the recognition of the cultural
and historical differences between Burma and India.",UPPCS Mains,2011,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333735+00:00,2025-06-20T10:09:11.548085+00:00
66,<p>Who amongst the following advised that the Indian National Congress should be disbanded as a political party after the independence of India?</p>,"Who amongst the following advised that the Indian National Congress should be
disbanded as a political party after the independence of India?",C. Rajagopalachari,Jai Prakash Narayan,Acharya Kripalani,Mahatma Gandhi,d,"Exp) Dption d is the correct answer.

Mahatma Gandhi wrote in an article published in Harijan on

February 2, 1948, that the Congress “has outlived its use”
and advised “to disband the existing Congress organisation
and flower into a Lok Sevak Sangh (Society to Serve the
People)”. He made this suggestion in the context of a debate
on the future role of the party in the post-independence
period,",UPPCS Mains,2011,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333762+00:00,2025-06-20T10:10:10.853740+00:00
67,"<p>Match list-I with list-II and select the correct answer by using the codes given below the lists:</p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%"">
	<tbody>
		<tr>
			<td>List I</td>
			<td>List II</td>
		</tr>
		<tr>
			<td>A. Part IX of the Indian Constitution</td>
			<td>1. Union Territories</td>
		</tr>
		<tr>
			<td>B. Part VIII of the Indian Constitution</td>
			<td>2. Municipalities&nbsp;</td>
		</tr>
		<tr>
			<td>C. Part IV A of the Indian Constitution</td>
			<td>3. Panchayats</td>
		</tr>
		<tr>
			<td>D. Part IX A of the Indian Constitution .</td>
			<td>4. Fundamental Duties</td>
		</tr>
	</tbody>
</table>

<p>Code: A B C D</p>","Match list-I with list-II and select the correct answer by using the codes
given below the lists:

List I | List II  
---|---  
A. Part IX of the Indian Constitution | 1\. Union Territories  
B. Part VIII of the Indian Constitution | 2\. Municipalities   
C. Part IV A of the Indian Constitution | 3\. Panchayats  
D. Part IX A of the Indian Constitution . | 4\. Fundamental Duties  
  
Code: A B C D",3 1 4 2,1 2 3 4,2 4 1 3,4 3 2 1,a,"Exp) Option a is the correct answer

Option A matches with Option 3: Part 1X of the Constitution
was inserted by the Constitution (Seventy-third Amendment)
Act, 1992. It contains provisions for local self-government at
the rural level or Panchayats.

Option B matches with Option 1: Part VIII of the
Constitution contains provisions for the administration
of the Union Territories, including the National Capital
Territory of Delhi. The Union Territories are small regions
of strategic or historical significance which are governed
directly by the Union government

Option C matches with Option 4; Part IVA of the Indian
Constitution deals with Fundamental Duties. As of now,
there are 11 Fundamental duties.

Option D matches with Option 2: Part [XA of the
Constitution was inserted by the Constitution (Seventy-
fourth Amendment) Act, 1992. It contains provisions for
local self-government at the urban level or Municipalities.",UPPCS Mains,2009,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333789+00:00,2025-06-20T12:50:08.818049+00:00
68,"<p>Consider the following statements in regard to the Preamble of Constitution and select the correct one using the code given below:&nbsp;</p>

<ol>
	<li>The Objectives Resolution by Jawaharlal Nehru finally became Preamble.</li>
	<li>&nbsp;It is non-Justiciable.</li>
	<li>&nbsp;It can&rsquo;t be amended.</li>
	<li>&nbsp;Preamble cannot override the specific provision of the Constitution.</li>
</ol>

<p>Code:</p>","Consider the following statements in regard to the Preamble of Constitution
and select the correct one using the code given below:

  1. The Objectives Resolution by Jawaharlal Nehru finally became Preamble.
  2.  It is non-Justiciable.
  3.  It can't be amended.
  4.  Preamble cannot override the specific provision of the Constitution.

Code:",Only 1 and 2,"Only 1, 2 and 4","Only 1, 2 and 3","Only 2, 3 and 4",b,"Exp) Option b is the correct answer.

Statement 1 is correct- The Preamble of the Indian
Constitution is based on the “Objectives Resolution”
drafted by Jawaharlal Nehru and adopted by the Constituent
Assembly of India. It served as the foundation for the final
Preamble.

Statement 2 is correct- The Preamble is non-justiciable,
meaning that it cannot be enforced in a court of law. It is
not legally binding and does not grant enforceable rights
or remedies.

Statement 3 is incorrect- The Preamble can be amended,
but it requires a special majority in Parliament as prescribed
under Article 368 of the Constitution.

Statement 4 is correct- The Preamble cannot override the
specific provisions such as Article 13, Article 14, Article 16,
Article 32, Article 368, etc of the Constitution. If there is a
conflict between the Preamble and a specific provision, the
latter takes precedence.",UPPCS Prelims,2009,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333814+00:00,2025-06-20T10:13:30.594963+00:00
69,"<p>Under which of the following Acts, Dyarchy was introduced at Central level?</p>","Under which of the following Acts, Dyarchy was introduced at Central level?",Act of 1909,"Government of India Act, 1919","Government of India Act, 1935","Indian Independence Act, 1947",c,"Exp) Option c is the correct answer.

Government of India Act, 1935 introduced the system of
dyarchy at the central level, which meant that some subjects
such as defence, foreign affairs, and ecclesiastical affairs were
reserved for the Governor-General and his executive council,
while other subjects such as finance, commerce, health, and
education were transferred to the Federal Legislature and the
Council of Ministers. This was the first time that dyarchy

was applied at the central level in British India, However,
this provision of the Act did not come into operation at
all. The act also abolished dyarchy in the provinces and
introduced ‘provincial autonomy’ in its place

Important Tips

Features of Government of India Act, 1935: -

¢ It provided for the establishment of an All-India
Federation consisting of provinces and princely states
as units.

e It introduced bicameralism in six out of eleven
provinces. Thus, the legislatures of Bengal, Bombay,
Madras, Bihar, Assam and the United Provinces were
made bicameral.

« It further extended the principle of communal
representation by providing separate electorates for
depressed classes (scheduled castes), women and
labour (workers),

« It extended franchise. About 10 per cent of the total
population got the voting right.

- It provided for the establishment of a Reserve Bank of
India to control the currency and credit of the country.",UPPCS Prelims,2008,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333839+00:00,2025-06-20T10:13:52.903638+00:00
70,<p>The Indian Legislature was made bicameral for the first time by</p>,The Indian Legislature was made bicameral for the first time by,Indian Council Act of 1892,Indian Council Act of 1909,The Government of India Act of 1919,The Government of India Act of 1935,c,"Exp) Option c is the correct answer.
The Government of India Act of 1919 was thus enacted,
which came into force in 1921. This Act is also known as
Montagu-Chelmsford Reforms (Montagu was the Secretary
of State for India and Lord Chelmsford was the Viceroy of
India).
The act introduced, for the first time, bicameralism and
direct elections in the country. Thus, the Indian Legislative
Council was repiaced by a bicameral legislature consisting
of an Upper House (Council of State) and a Lower House
(Legislative Assembly). The majority of members of both the
Houses were chosen by direct election.
$$
Important Tips

Features of Government of India Act of 1919:

« It relaxed the central control over the provinces by
demarcating and separating the central and provincial
subjects.

« It further divided the provincial subjects into two
parts—transferred and reserved.

¢ It required that the three of the six members of
the Viceroy’s executive Council (other than the
commander-in-chief) were to be Indian.

« It extended the principle of communal representation
by providing separate electorates for Sikhs, Indian
Christians, Anglo-Indians and Europeans.

* It created a new office of the High Commissioner for
India in London and transferred to him some of the
functions hitherto performed by the Secretary of State
for India. -

¢ It provided for the establishment of a public service
commission. Hence, a Central Public Service
Commission was set up in 1926 for recruiting civil
servants :",UPPCS Mains,2008,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333864+00:00,2025-06-20T10:14:14.817822+00:00
71,<p>The power of the President to issue ordinance is a relic of</p>,The power of the President to issue ordinance is a relic of,"GOI Act, 1919","GOI Act, 1935","GOI Act, 1909","Indian Independence Act, 1947",b,"Exp) Option b is the correct answer.

The President’s power to promulgate ordinances was

inspired from section 42 of the Government of India Act,

1935. The Act gave the President the authority to promulgate

ordinances during the recess of Parliament, if he was satisfied

that immediate action was necessary.",UPPCS Mains,2008,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333890+00:00,2025-06-20T10:14:44.157406+00:00
72,<p>The proposal for framing of the Constitution of India by an elected Constituent Assembly was made by</p>,"The proposal for framing of the Constitution of India by an elected
Constituent Assembly was made by",Simon Commission,"Government of India Act, 1935",Cripps Mission,British Cabinet Delegation,c,"Exp) Option c is the correct answer.
The demand for Constituent Assembly was finally accepted
in principle by the British Government in what is known

as the ‘August Offer’ of 1940. In 1942, Sir Stafford Cripps, a

member of the cabinet, came to India with a draft proposal

of the British Government on the framing of an independent

Constitution to be adopted after the World War II.

Cripps Mission proposed that after the end of the war, a
constituent assembly would be convened to frame a new
constitution. Members of this assembly would be partly
elected by the provincial assemblies through proportional
representation and partly nominated by the princes.",UPPCS Mains,2008,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333916+00:00,2025-06-20T10:16:09.506398+00:00
73,<p>Who was the Chairman of the Provincial Constitution Committee of the Constituent Assembly?</p>,"Who was the Chairman of the Provincial Constitution Committee of the
Constituent Assembly?",Dr. B. R. Ambedkar,Pt. Jawaharlal Nehru,Dr. Rajendra Prasad,Sardar Patel,d,"Exp) Option d is the correct answer.
Sardar Patel was the Chairman of the Provincial
Constitution Committee of the Constituent Assembly, which
was set up to discuss and provide for a model Provincial
Constitution, which would determine the system and form
of government at the provincial level. The Committee held
several meetings in 1947 and discussed various issues such
as the role and functions of the Governor, the composition
of the provincial legislatures, and the division of powers
between the Centre and the provinces.
Important Tips

« Dr. B.R. Ambedkar was the Chairman of the Drafting
Committee, which was responsible for preparing a
draft of the new Constitution of India.

¢ Pt. Jawaharlal Nehru was the Chairman of both the
Union Powers Committee and the Union Constitution
Committee, which were responsible for determining
the main principles of the Union Constitution and its
structure and form.

« Dr. Rajendra Prasad was not the Chairman of any
major committee, but he was the President of the
Constituent Assembly and also chaired two minor
committees: the Rules of Procedure Committee and
the Steering Committee. |",UPPCS Mains,2008,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333941+00:00,2025-06-20T10:16:48.544766+00:00
74,<p>The feature of Federal system of the Indian Constitution is inspired by the constitution of-</p>,"The feature of Federal system of the Indian Constitution is inspired by the
constitution of-",Canada,United Kingdom,USA,Ireland,a,"Exp) Option a is the correct answer

The Constitution of India is the lengthiest written

constitution in the world. Its provisions were borrowed from

the Government of India Act 1935 and the Constitutions

of the US, Ireland, Britain, Canada, Australia, Germany,

the USSR, France, South Africa, Japan, and other countries

The federal nature of the Indian constitution was adopted

from the Constitution of Canada.",UPPCS Mains,2006,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333966+00:00,2025-06-20T10:17:09.355930+00:00
75,<p>Which one of the following describes India as a Secular State?</p>,Which one of the following describes India as a Secular State?,Fundamental Rights,Preamble to the Constitution,9th Schedule,Directive Principles,b,"Exp) Option b is the correct answer.

The Preamble to the Constitution of India states that India

is a secular state. The Preamble to the Constitution of India

begins with the words “WE, THE PEOPLE OF INDIA, having

solemnly resolved to constitute India into a SOVEREIGN,

SOCIALIST, SECULAR, DEMOCRATIC REPUBLIC”.

The word “secular” means that the state does not have an

official religion and does not favor any particular religion.

| Important Tips
Indian secularism is based on the principle of Sarva
Dharma Sambhava, which means “equal respect for
all religions.” This principle is reflected in the Indian
Constitution, which guarantees the freedom of religion
to all citizens. Western secularism, on the other hand, is
based on the principle of separation of church and state.
This principle means that the state should not be involved
in religious matters, and that religion should not be used
to justify state policies. .",UPPCS Mains,2005,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.333992+00:00,2025-06-20T10:18:17.019602+00:00
76,<p>Which among the following is the correct expression of the term &lsquo;Secular&rsquo; in India?</p>,"Which among the following is the correct expression of the term 'Secular' in
India?",India has many religions.,Indians have religious freedom.,Following religion depends upon the will of an individual.,There is no religion of the State in India.,d,"Exp) Option d is the correct answer.

The term ‘Secular’ in India means that the State does not

have an official or designated religion. It implies that the

government treats all religions equally and does not favor or

promote any particular religion. This principle of secularism

allows individuals to practice their own religion freely and

grants religious freedom to all citizens.",UPPCS Mains,2005,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.334018+00:00,2025-06-20T10:18:50.518013+00:00
